都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1164439,3926352,18649,11,717238,3710,424842
青森県,231065,415661,4818,5,151129,470,74648
岩手県,179264,583713,3385,0,103563,332,71984
宮城県,417686,1101690,22338,17,204624,612,190112
秋田県,164419,80243,8861,1,89825,397,65336
山形県,185434,336151,6923,0,90443,279,87789
福島県,308217,1156057,3568,2,180682,388,123579
茨城県,485201,1985898,20816,14,301424,872,162089
栃木県,320046,1091454,5779,9,215803,648,97816
群馬県,337471,1066435,8512,6,225131,688,103140
埼玉県,1482579,4514498,19466,22,1160893,2743,299477
千葉県,1178497,3279837,17990,16,904076,2822,253609
東京都,3743953,10556037,53404,30,3093983,6458,590108
神奈川県,1837273,5730242,59940,53,1450734,3338,323261
新潟県,359024,1139722,6746,6,223993,246,128039
富山県,186505,425127,3532,1,123822,217,58934
石川県,220962,763788,4114,4,155716,349,60783
福井県,154216,515161,2086,0,110918,132,41080
山梨県,140128,658915,1470,1,93672,218,44768
長野県,349718,1258302,17178,8,330014,560,1966
岐阜県,402954,1526379,793,4,284881,761,116519
静岡県,626524,2111249,8701,5,478956,853,138014
愛知県,1693391,4760308,58508,27,1612432,3261,19190
三重県,329847,958097,10340,7,226621,620,92266
滋賀県,295403,1119105,5652,5,225722,426,63603
京都府,560125,1354981,13366,87,459222,1215,86322
大阪府,2398792,10954796,73311,46,2032077,6895,286509
兵庫県,1180268,2465506,13810,15,986750,3069,176639
奈良県,276620,849217,30073,9,195268,626,50653
和歌山県,172777,319456,280,12,129448,322,42727
鳥取県,95041,906669,9325,0,44778,132,40806
島根県,119160,440927,6078,1,111933,140,1009
岡山県,362983,996914,11798,7,330078,511,20596
広島県,588276,3096847,16556,9,409656,926,161138
山口県,213978,981359,3166,5,158495,454,51863
徳島県,118187,384336,1513,3,90741,241,25692
香川県,183840,473491,3020,4,138120,363,42337
愛媛県,217841,763862,3983,4,156705,360,56793
高知県,124149,494109,5173,3,94023,351,24602
福岡県,1249925,3918607,28955,10,1029285,2153,189532
佐賀県,194937,377021,13039,0,125171,289,56438
長崎県,253868,915199,22056,2,177499,375,53938
熊本県,401105,540288,7755,10,320699,749,71902
大分県,218583,1009928,2310,3,172076,431,43766
宮崎県,231927,238860,3981,2,189320,426,38200
鹿児島県,335452,800170,4092,1,286186,569,44605
沖縄県,529654,1286612,4893,4,494076,826,29859
