都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1306484,3964610,17929,7,717238,4389,566928
青森県,273097,415661,4390,4,151129,619,116959
岩手県,225374,658736,3230,1,103563,572,118009
宮城県,517546,1219592,21545,6,204624,882,290495
秋田県,193626,81563,8624,1,89825,553,94624
山形県,218032,357380,6610,0,90443,342,120637
福島県,387171,1156057,3568,1,180682,569,202352
茨城県,616406,1985898,20435,22,301424,1193,293354
栃木県,404517,1196553,5592,9,215803,966,182156
群馬県,425096,1184772,8084,9,225131,992,190889
埼玉県,1755723,4977145,18669,29,1160893,3559,572602
千葉県,1425156,3586421,18058,29,904076,3512,499510
東京都,4264395,11460571,50166,30,3093983,7606,1112640
神奈川県,2164485,6498499,24718,36,1450734,3983,685050
新潟県,437914,1240492,6556,1,223993,364,207001
富山県,226883,468409,3317,3,123822,297,99447
石川県,268810,763788,3983,1,155716,471,108640
福井県,192969,564408,1999,2,110918,183,79869
山梨県,182457,756196,1330,1,93672,346,87109
長野県,436206,1387724,7634,1,428768,794,990
岐阜県,519343,1712805,497,3,284881,1019,232946
静岡県,829151,2368870,8937,12,478956,1245,340013
愛知県,2049130,5334974,28210,40,2013265,3985,3670
三重県,440326,1080771,10292,5,226621,934,202479
滋賀県,360523,1244095,5539,2,225722,616,128646
京都府,659349,1497438,13256,47,459222,1530,185341
大阪府,2764755,12018662,43188,86,2032077,7985,681505
兵庫県,1435307,2465506,13510,15,986750,3603,431444
奈良県,335310,948298,30046,11,195268,775,109221
和歌山県,228986,319456,210,5,129448,476,98852
鳥取県,134564,1079668,9264,0,44778,238,80284
島根県,159348,503752,2288,0,156638,269,153
岡山県,473186,1132746,10641,13,457083,771,4691
広島県,772074,3293865,16259,10,409656,1237,344922
山口県,298066,1133706,3110,1,158495,678,135783
徳島県,157443,426290,1424,5,90741,375,64903
香川県,241910,529647,2888,5,138120,556,100346
愛媛県,301324,922142,3941,3,156705,614,140064
高知県,159071,494109,5101,6,94023,542,59405
福岡県,1543318,3918607,28715,19,1029285,2944,482374
佐賀県,253965,377021,12928,4,125171,447,115419
長崎県,325931,1059701,22739,2,177499,571,125122
熊本県,519948,540288,7384,24,320699,1192,190673
大分県,292296,1009928,2322,2,172076,658,117240
宮崎県,311406,238860,3911,3,189320,715,117460
鹿児島県,426734,916963,3803,10,286186,805,135940
沖縄県,570527,1367934,3213,5,494076,873,72365
