"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",1325210,17625,717238,4483,7,585864,3964610,"JP-01"
"Aomori","青森県",276476,4176,151129,638,0,120533,415661,"JP-02"
"Iwate","岩手県",231053,3200,103563,597,0,123693,679920,"JP-03"
"Miyagi","宮城県",528769,21394,204624,920,7,301831,1258599,"JP-04"
"Akita","秋田県",197397,8419,89825,580,2,98573,81563,"JP-05"
"Yamagata","山形県",222552,6468,90443,353,1,125288,364863,"JP-06"
"Fukushima","福島県",396552,3568,180682,801,0,211501,1156057,"JP-07"
"Ibaraki","茨城県",630436,19821,301424,1263,8,307928,1985898,"JP-08"
"Tochigi","栃木県",415866,5413,215803,1037,6,193613,1232608,"JP-09"
"Gunma","群馬県",434460,7867,225131,1052,3,200410,1222468,"JP-10"
"Saitama","埼玉県",1782116,17809,1160893,3784,15,599630,5103645,"JP-11"
"Chiba","千葉県",1449655,16588,904076,3779,10,525212,3698650,"JP-12"
"Tokyo","東京都",4308241,47991,3093983,7885,13,1158382,11785979,"JP-13"
"Kanagawa","神奈川県",2197574,7711,1450734,4183,9,734946,6797436,"JP-14"
"Niigata","新潟県",447482,6376,223993,420,1,216693,1275697,"JP-15"
"Toyama","富山県",233271,3186,123822,305,1,105958,484023,"JP-16"
"Ishikawa","石川県",274855,3891,155716,485,3,114763,763788,"JP-17"
"Fukui","福井県",197259,1882,110918,194,0,84265,585429,"JP-18"
"Yamanashi","山梨県",187169,1204,93672,384,0,91909,788940,"JP-19"
"Nagano","長野県",449396,3125,445850,838,1,417,1435847,"JP-20"
"Gifu","岐阜県",533438,257,284881,1082,2,247218,1783406,"JP-21"
"Shizuoka","静岡県",855174,8490,478956,1347,3,366381,2456954,"JP-22"
"Aichi","愛知県",2088587,9267,2073225,4214,13,1881,5586064,"JP-23"
"Mie","三重県",453549,10115,226621,1020,4,215793,1127045,"JP-24"
"Shiga","滋賀県",369409,5323,225722,651,2,137713,1336739,"JP-25"
"Kyoto","京都府",670777,12928,459222,1614,25,197013,1537905,"JP-26"
"Osaka","大阪府",2806268,22572,2032077,8297,39,743322,12418473,"JP-27"
"Hyogo","兵庫県",1452889,13048,986750,3760,7,449331,2465506,"JP-28"
"Nara","奈良県",342320,29895,195268,829,5,116328,983830,"JP-29"
"Wakayama","和歌山県",235516,117,129448,507,2,105444,319456,"JP-30"
"Tottori","鳥取県",138808,9186,44778,252,0,84592,1115352,"JP-31"
"Shimane","島根県",164523,1205,162888,289,0,141,522108,"JP-32"
"Okayama","岡山県",485424,3419,479753,817,9,1435,1172792,"JP-33"
"Hiroshima","広島県",789715,15946,409656,1318,2,362795,3322058,"JP-34"
"Yamaguchi","山口県",308399,3014,158495,722,0,146168,1172735,"JP-35"
"Tokushima","徳島県",163325,1360,90741,399,1,70825,445194,"JP-36"
"Kagawa","香川県",249224,2715,138120,594,2,107795,549369,"JP-37"
"Ehime","愛媛県",310805,3816,156705,667,5,149617,953860,"JP-38"
"Kochi","高知県",166815,5053,94023,575,4,67164,494109,"JP-39"
"Fukuoka","福岡県",1571424,27080,1029285,3113,4,511946,3918607,"JP-40"
"Saga","佐賀県",258590,12777,125171,473,0,120169,377021,"JP-41"
"Nagasaki","長崎県",332926,22062,177499,621,1,132744,1110087,"JP-42"
"Kumamoto","熊本県",529481,6921,320699,1268,2,200593,540288,"JP-43"
"Oita","大分県",299546,2190,172076,742,0,124538,1009928,"JP-44"
"Miyazaki","宮崎県",317141,3796,189320,763,1,123262,238860,"JP-45"
"Kagoshima","鹿児島県",436245,1454,286186,860,0,147745,931717,"JP-46"
"Okinawa","沖縄県",574676,1003,494076,911,0,78686,1399813,"JP-47"
