都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,879739,3430992,18341,6,717238,2786,141374
青森県,172495,415661,4342,1,151129,336,16688
岩手県,125047,506437,3281,1,103563,208,17995
宮城県,294781,976946,21735,5,204624,431,67991
秋田県,118659,76794,8643,3,89825,267,19924
山形県,131653,305862,6761,0,90443,217,34232
福島県,216103,1156057,3568,1,180682,308,31545
茨城県,393206,1815549,20134,6,301424,729,70919
栃木県,246104,1004673,5443,5,215803,530,24328
群馬県,261203,956933,8200,0,225131,525,27347
埼玉県,1259546,4152400,18287,14,1160893,2503,77863
千葉県,1001079,3035555,16347,3,904076,2663,77993
東京都,3310113,9829441,49701,18,3093983,6022,160407
神奈川県,1573287,5089975,22202,19,1450734,3077,97274
新潟県,262894,1022253,6562,2,223993,183,32156
富山県,144836,383725,3230,1,123822,185,17599
石川県,178417,763788,3943,3,155716,298,18460
福井県,123736,476717,1973,0,110918,104,10741
山梨県,106301,585964,1400,0,93672,172,11057
長野県,248965,1110999,13403,1,234444,373,745
岐阜県,320577,1375253,406,0,284881,632,34658
静岡県,529230,1943340,8351,1,478956,779,41144
愛知県,1437100,4338675,21375,7,1407731,2989,5005
三重県,274011,887867,10144,0,226621,553,36693
滋賀県,250489,1012998,5391,2,225722,368,19008
京都府,497647,1260032,13032,16,459222,1127,24266
大阪府,2188987,10252910,35697,24,2032077,6636,114577
兵庫県,1054896,2465506,13141,8,986750,2924,52081
奈良県,240452,779849,29907,2,195268,561,14716
和歌山県,145670,319456,226,4,129448,270,15726
鳥取県,71052,782233,9227,0,44778,86,16961
島根県,92253,388970,2595,0,89347,99,212
岡山県,298707,919348,4511,4,289740,423,4033
広島県,472361,2862669,16194,1,409656,788,45723
山口県,179668,873058,3037,1,158495,404,17732
徳島県,99293,352602,1371,2,90741,189,6992
香川県,154745,431819,2728,1,138120,309,13588
愛媛県,176109,682145,3825,2,156705,290,15289
高知県,105682,494109,5028,0,94023,310,6321
福岡県,1119283,3918607,26809,4,1029285,2036,61153
佐賀県,165288,377021,12797,0,125171,241,27079
長崎県,223698,819049,21485,0,177499,339,24375
熊本県,347993,540288,7009,1,320699,661,19624
大分県,186365,957860,2173,1,172076,397,11719
宮崎県,205207,238860,3825,1,189320,391,11671
鹿児島県,310372,763912,1261,0,286186,552,22373
沖縄県,511118,1235800,2107,3,494076,798,14137
