都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1089660,3750661,18803,6,717238,3362,350257
青森県,211483,415661,4669,4,151129,403,55282
岩手県,159500,558918,3385,1,103563,278,52274
宮城県,372566,1066133,22430,18,204624,542,144970
秋田県,147986,78993,8888,1,89825,329,48944
山形県,168260,324675,6893,1,90443,257,70667
福島県,273796,1156057,3568,2,180682,351,89195
茨城県,445936,1985898,20645,7,301424,800,123067
栃木県,290011,1056211,5662,6,215803,597,67949
群馬県,306387,1026048,8333,5,225131,620,72303
埼玉県,1387866,4374493,19311,26,1160893,2623,205039
千葉県,1099920,3188882,17110,8,904076,2755,175979
東京都,3563664,10281664,52391,20,3093983,6228,411062
神奈川県,1728955,5509369,49908,33,1450734,3202,225111
新潟県,321268,1096149,6724,5,223993,209,90342
富山県,170077,411375,3415,0,123822,206,42634
石川県,204297,763788,4138,2,155716,323,44120
福井県,141908,499868,2059,0,110918,122,28809
山梨県,128157,641504,1476,2,93672,197,32812
長野県,318430,1212938,19921,3,295905,496,2108
岐阜県,369138,1467943,717,1,284881,702,82838
静岡県,584408,2051926,8445,2,478956,818,96189
愛知県,1589077,4609487,51632,21,1520409,3102,13934
三重県,305394,925795,10286,4,226621,584,67903
滋賀県,276218,1089355,5609,3,225722,393,44494
京都府,531392,1319393,13340,61,459222,1180,57650
大阪府,2305511,10700230,54302,29,2032077,6772,212360
兵庫県,1120698,2465506,13544,16,986750,3006,117398
奈良県,259844,822895,30006,3,195268,597,33973
和歌山県,160824,319456,216,2,129448,301,30859
鳥取県,83609,846945,9314,0,44778,114,29403
島根県,107779,421075,4199,0,102849,125,606
岡山県,335572,981045,11209,7,318885,469,5009
広島県,540608,3048140,16385,7,409656,880,113687
山口県,198285,910816,3073,1,158495,429,36288
徳島県,109306,373681,1446,2,90741,217,16902
香川県,171152,458693,2874,4,138120,330,29828
愛媛県,197004,735424,3903,1,156705,324,36072
高知県,115165,494109,5076,2,94023,335,15731
福岡県,1182951,3918607,27679,5,1029285,2100,123887
佐賀県,179994,377021,12938,0,125171,267,41618
長崎県,239173,880718,21702,2,177499,353,39619
熊本県,372957,540288,7214,6,320699,698,44346
大分県,202674,1009928,2265,2,172076,410,27923
宮崎県,217624,238860,3851,2,189320,406,24047
鹿児島県,322909,783438,2277,1,286186,561,33885
沖縄県,521344,1267455,3661,7,494076,820,22787
