都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1336241,3964610,17366,3,717238,4543,597094
青森県,278618,415661,4178,0,151129,640,122671
岩手県,234045,709475,3158,0,103563,613,126711
宮城県,535610,1299438,21198,3,204624,946,308842
秋田県,199637,81563,8383,1,89825,593,100836
山形県,225906,372201,6506,0,90443,357,128600
福島県,402635,1156057,3568,3,180682,837,217548
茨城県,635433,1985898,19610,0,301424,1282,313117
栃木県,421024,1267973,5287,3,215803,1064,198870
群馬県,438844,1257396,7778,0,225131,1087,204848
埼玉県,1793608,5226042,17498,6,1160893,3931,611286
千葉県,1458899,3824278,15908,4,904076,3894,535021
東京都,4329326,12095887,47202,8,3093983,8023,1180118
神奈川県,2210748,7086033,2858,8,1450734,4269,752887
新潟県,454557,1318666,6372,1,223993,437,223755
富山県,236057,500677,3095,0,123822,313,108827
石川県,277656,763788,3849,0,155716,505,117586
福井県,199275,606129,1802,0,110918,196,86359
山梨県,189751,818639,1147,0,93672,406,94526
長野県,456544,1483324,1592,0,454730,865,643
岐阜県,539771,1836874,86,2,284881,1104,253700
静岡県,864252,2537859,8092,0,478956,1387,375817
愛知県,2103646,5785141,3270,2,2095098,4297,981
三重県,458817,1169270,10043,0,226621,1041,221112
滋賀県,372667,1372915,5239,0,225722,672,141034
京都府,675434,1573188,12807,13,459222,1651,201754
大阪府,2822277,12795175,15022,15,2032077,8432,766746
兵庫県,1463739,2465506,12840,5,986750,3829,460320
奈良県,345023,1018251,29825,0,195268,860,119070
和歌山県,238127,319456,43,2,129448,517,108119
鳥取県,141316,1149370,9173,0,44778,260,87105
島根県,167545,540742,483,1,166674,296,92
岡山県,489676,1230729,986,4,486837,845,1008
広島県,798087,3344570,15820,0,409656,1352,371259
山口県,312907,1211226,2912,1,158495,746,150754
徳島県,166075,459740,1321,0,90741,418,73595
香川県,251804,567796,2577,2,138120,616,110491
愛媛県,315491,981848,3729,1,156705,692,154365
高知県,168837,494109,4988,1,94023,590,69236
福岡県,1582181,3918607,26560,2,1029285,3175,523161
佐賀県,260510,377021,12740,1,125171,491,122108
長崎県,335853,1158535,21304,2,177499,640,136410
熊本県,533378,540288,6828,1,320699,1298,204553
大分県,302529,1009928,2133,0,172076,767,127553
宮崎県,319476,238860,3759,0,189320,775,125622
鹿児島県,440596,941272,524,0,286186,883,153003
沖縄県,576722,1426150,748,1,494076,1004,80894
