都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1337867,3964610,17360,2,717238,4549,598720
青森県,279019,415661,4157,0,151129,642,123091
岩手県,234338,712952,3157,0,103563,615,127003
宮城県,536472,1305630,21170,2,204624,952,309726
秋田県,199913,81563,8373,1,89825,595,101120
山形県,226464,373370,6530,0,90443,359,129132
福島県,403577,1156057,3568,0,180682,844,218483
茨城県,635992,1985898,19581,2,301424,1288,313699
栃木県,421686,1273037,5284,0,215803,1067,199532
群馬県,439499,1261555,7770,1,225131,1090,205508
埼玉県,1795401,5246780,17446,5,1160893,3947,613115
千葉県,1460382,3849699,15921,3,904076,3904,536481
東京都,4332929,12144038,47188,4,3093983,8040,1183718
神奈川県,2212681,7129445,2566,4,1450734,4279,755102
新潟県,455751,1326089,6357,1,223993,439,224962
富山県,236353,502674,3084,0,123822,313,109134
石川県,278029,763788,3848,0,155716,506,117959
福井県,199514,609074,1800,0,110918,196,86600
山梨県,190073,820966,1143,0,93672,409,94849
長野県,457660,1491414,1392,0,456073,865,670
岐阜県,540621,1844159,100,1,284881,1110,254530
静岡県,865096,2551481,8077,0,478956,1390,376673
愛知県,2105685,5823180,2727,1,2097810,4303,845
三重県,459394,1177987,10036,0,226621,1041,221696
滋賀県,373047,1378145,5237,0,225722,673,141415
京都府,676044,1578708,12800,11,459222,1652,202370
大阪府,2824480,12858246,14331,12,2032077,8456,769616
兵庫県,1464915,2465506,12811,4,986750,3847,461507
奈良県,345456,1022399,29816,0,195268,864,119508
和歌山県,238478,319456,38,1,129448,519,108473
鳥取県,141683,1152606,9166,0,44778,262,87477
島根県,168031,540742,423,1,167154,296,158
岡山県,490185,1239668,826,2,487816,846,697
広島県,799407,3348300,15804,1,409656,1356,372591
山口県,313602,1217831,2902,1,158495,746,151459
徳島県,166402,462013,1305,0,90741,419,73937
香川県,252132,570933,2564,2,138120,617,110831
愛媛県,315943,990106,3715,2,156705,693,154830
高知県,169081,494109,4987,2,94023,593,69478
福岡県,1583491,3918607,26460,3,1029285,3179,524567
佐賀県,260679,377021,12721,0,125171,492,122295
長崎県,336206,1165616,21293,2,177499,642,136772
熊本県,533692,540288,6781,2,320699,1301,204911
大分県,302876,1009928,2103,0,172076,769,127928
宮崎県,319750,238860,3762,0,189320,776,125892
鹿児島県,441239,942645,467,0,286186,884,153702
沖縄県,577172,1430650,641,0,494076,1007,81448
