都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,803968,3295742,17932,2,717238,2689,66109
青森県,164007,415661,4306,0,151129,315,8257
岩手県,115764,484630,3229,0,103563,200,8772
宮城県,275007,949221,21445,0,204624,406,48532
秋田県,109624,76055,8631,2,89825,244,10924
山形県,118380,296847,6529,0,90443,204,21204
福島県,200750,1156057,3568,0,180682,292,16208
茨城県,379412,1815549,19954,1,301424,711,57323
栃木県,234806,986188,5336,3,215803,513,13154
群馬県,249022,932112,8023,1,225131,498,15370
埼玉県,1225017,4072106,17880,9,1160893,2470,43774
千葉県,975723,2972674,16131,1,904076,2631,52885
東京都,3241666,9650136,48563,11,3093983,5971,93149
神奈川県,1530822,4953188,12765,18,1450734,3047,64276
新潟県,247288,995421,6376,0,223993,174,16745
富山県,137263,379156,3227,0,123822,181,10033
石川県,170490,763788,3914,0,155716,294,10566
福井県,119255,468725,1889,0,110918,102,6346
山梨県,100672,565403,1259,0,93672,168,5573
長野県,226453,1076590,6111,0,219287,362,693
岐阜県,307169,1343455,278,0,284881,611,21399
静岡県,512163,1896535,8219,4,478956,762,24226
愛知県,1397212,4257008,10849,10,1381976,2950,1437
三重県,264690,864875,10120,1,226621,546,27403
滋賀県,242530,995754,5300,0,225722,351,11157
京都府,487928,1239147,12862,7,459222,1117,14727
大阪府,2148440,10042455,30722,19,2032077,6572,79069
兵庫県,1031764,2465506,12990,4,986750,2907,29117
奈良県,234371,763564,29880,2,195268,552,8671
和歌山県,139738,319456,132,0,129448,259,9899
鳥取県,67039,752116,9199,0,44778,85,12977
島根県,87508,377993,1411,0,85783,98,216
岡山県,288240,899165,4904,3,280578,416,2342
広島県,450360,2788928,15967,0,409656,779,23958
山口県,171980,857064,2974,3,158495,395,10116
徳島県,96450,344232,1318,0,90741,179,4212
香川県,147916,419655,2604,0,138120,302,6890
愛媛県,169105,659423,3728,1,156705,289,8383
高知県,103345,494109,5019,0,94023,306,3997
福岡県,1101406,3918607,26710,5,1029285,2009,43402
佐賀県,161747,377021,12803,1,125171,233,23540
長崎県,218145,793605,21333,0,177499,335,18978
熊本県,339963,540288,6965,1,320699,656,11643
大分県,181799,935464,2160,1,172076,388,7175
宮崎県,201082,238860,3801,1,189320,382,7579
鹿児島県,306256,756460,1192,0,286186,548,18330
沖縄県,507393,1220631,2958,4,494076,775,9584
