都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1330531,3964610,17518,2,717238,4515,591260
青森県,277276,415661,4156,0,151129,639,121352
岩手県,232778,691233,3178,0,103563,606,125431
宮城県,532080,1274126,21273,4,204624,935,305248
秋田県,198401,81563,8399,2,89825,585,99592
山形県,223818,367790,6467,1,90443,355,126553
福島県,399231,1156057,3568,0,180682,819,214162
茨城県,632838,1985898,19683,2,301424,1269,310462
栃木県,418273,1245745,5326,5,215803,1049,196095
群馬県,436365,1234637,7836,2,225131,1069,202329
埼玉県,1787270,5150301,17594,12,1160893,3847,604936
千葉県,1453802,3738199,16295,8,904076,3837,529594
東京都,4317476,11898666,47421,11,3093983,7975,1168097
神奈川県,2203647,6904849,4310,11,1450734,4221,744382
新潟県,450449,1291531,6377,0,223993,431,219648
富山県,234849,491183,3121,0,123822,307,107599
石川県,276372,763788,3874,2,155716,492,116290
福井県,198365,597801,1852,0,110918,195,85400
山梨県,188457,798599,1181,0,93672,391,93213
長野県,452448,1456473,2177,1,449909,851,489
岐阜県,536638,1803554,163,2,284881,1092,250502
静岡県,859700,2491511,8301,3,478956,1362,371081
愛知県,2095745,5671347,5111,6,2084413,4246,1975
三重県,456111,1150732,10079,1,226621,1032,218379
滋賀県,371159,1350667,5293,1,225722,663,139481
京都府,673080,1551397,12829,14,459222,1632,199397
大阪府,2814285,12563390,18168,27,2032077,8368,755672
兵庫県,1458451,2465506,12903,10,986750,3778,455020
奈良県,343720,998012,29873,1,195268,842,117737
和歌山県,236880,319456,59,1,129448,513,106860
鳥取県,139899,1129382,9171,0,44778,256,85694
島根県,165988,527504,882,1,164643,293,170
岡山県,487679,1205601,2266,5,483159,830,1424
広島県,793661,3331810,15884,2,409656,1332,366789
山口県,310638,1186342,2925,2,158495,737,148481
徳島県,164685,450629,1342,0,90741,407,72195
香川県,250532,556592,2625,3,138120,611,109176
愛媛県,312944,964697,3799,3,156705,678,151762
高知県,167750,494109,5006,5,94023,581,68140
福岡県,1576538,3918607,26690,3,1029285,3143,517420
佐賀県,259471,377021,12751,0,125171,485,121064
長崎県,334286,1130445,21776,1,177499,628,134383
熊本県,531351,540288,6900,5,320699,1281,202471
大分県,301007,1009928,2156,0,172076,752,126023
宮崎県,318151,238860,3770,0,189320,768,124293
鹿児島県,438359,935763,832,1,286186,868,150473
沖縄県,575455,1408447,707,0,494076,920,79752
