"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",60783,92,59230,1472,0,11,1167051,"JP-01"
"Aomori","青森県",5895,6,5851,38,1,0,95683,"JP-02"
"Iwate","岩手県",3486,0,3433,53,0,0,127002,"JP-03"
"Miyagi","宮城県",16269,12,16139,118,1,0,249432,"JP-04"
"Akita","秋田県",1909,8,1874,27,0,0,26975,"JP-05"
"Yamagata","山形県",3551,8,3487,56,0,0,104385,"JP-06"
"Fukushima","福島県",9484,4,9305,175,2,0,431093,"JP-07"
"Ibaraki","茨城県",24406,17,24171,218,2,0,40491,"JP-08"
"Tochigi","栃木県",15448,10,15322,116,1,0,499689,"JP-09"
"Gunma","群馬県",16805,58,16571,176,0,0,315010,"JP-10"
"Saitama","埼玉県",115632,114,114472,1046,15,0,1525328,"JP-11"
"Chiba","千葉県",100345,84,99231,1025,2,5,1128121,"JP-12"
"Tokyo","東京都",381721,293,378274,3154,12,0,3840004,"JP-13"
"Kanagawa","神奈川県",168943,126,167509,1308,8,0,1680680,"JP-14"
"Niigata","新潟県",7996,12,7923,61,0,0,296006,"JP-15"
"Toyama","富山県",4867,8,4807,52,0,0,121073,"JP-16"
"Ishikawa","石川県",7963,5,7807,129,0,22,201792,"JP-17"
"Fukui","福井県",3113,7,3068,38,0,0,121177,"JP-18"
"Yamanashi","山梨県",5155,0,5126,29,0,0,121233,"JP-19"
"Nagano","長野県",8875,9,8825,97,0,56,335860,"JP-20"
"Gifu","岐阜県",19170,80,18863,218,1,9,431641,"JP-21"
"Shizuoka","静岡県",26755,16,26530,209,0,0,656577,"JP-22"
"Aichi","愛知県",106393,135,105102,1156,4,0,1384461,"JP-23"
"Mie","三重県",14803,27,14937,163,0,324,244929,"JP-24"
"Shiga","滋賀県",12411,20,12288,103,0,0,271930,"JP-25"
"Kyoto","京都府",35895,42,35559,291,1,3,439476,"JP-26"
"Osaka","大阪府",202582,445,197655,3047,41,1435,3758997,"JP-27"
"Hyogo","兵庫県",78496,170,76931,1396,3,1,787697,"JP-28"
"Nara","奈良県",15898,40,15709,149,0,0,262297,"JP-29"
"Wakayama","和歌山県",5295,4,5124,62,0,105,66546,"JP-30"
"Tottori","鳥取県",1668,3,1635,5,0,25,154919,"JP-31"
"Shimane","島根県",1724,45,1674,5,1,0,59148,"JP-32"
"Okayama","岡山県",15350,33,15099,136,1,82,276298,"JP-33"
"Hiroshima","広島県",22083,55,21826,202,0,0,932963,"JP-34"
"Yamaguchi","山口県",5744,34,5617,93,0,0,197624,"JP-35"
"Tokushima","徳島県",3287,4,3218,65,0,0,108442,"JP-36"
"Kagawa","香川県",4703,0,4664,38,0,1,134977,"JP-37"
"Ehime","愛媛県",5391,41,5268,82,0,0,159777,"JP-38"
"Kochi","高知県",4166,7,4126,33,0,0,103172,"JP-39"
"Fukuoka","福岡県",74456,80,73746,621,6,9,1314117,"JP-40"
"Saga","佐賀県",5858,11,5870,30,0,53,109852,"JP-41"
"Nagasaki","長崎県",6117,13,6031,73,0,0,188461,"JP-42"
"Kumamoto","熊本県",14392,5,14251,136,1,0,124358,"JP-43"
"Oita","大分県",8186,0,8102,84,0,0,279169,"JP-44"
"Miyazaki","宮崎県",6151,6,6088,41,0,16,73034,"JP-45"
"Kagoshima","鹿児島県",9102,1,9035,66,0,0,171584,"JP-46"
"Okinawa","沖縄県",50251,90,49743,396,0,22,410917,"JP-47"
