都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1345760,3964610,17377,4,717238,4571,606574
青森県,280571,415661,4165,0,151129,649,124628
岩手県,235504,725329,3163,2,103563,617,128161
宮城県,539250,1330188,21146,3,204624,960,312520
秋田県,201092,81563,8348,0,89825,600,102319
山形県,228236,376192,6486,0,90443,363,130944
福島県,406420,1156057,3568,0,180682,850,221320
茨城県,638357,2491785,19623,1,301424,1293,316017
栃木県,424026,1292713,5255,1,215803,1079,201889
群馬県,441483,1281835,7743,1,225131,1099,207510
埼玉県,1801637,5316657,17422,1,1160893,3981,619341
千葉県,1466568,3896640,15878,2,904076,3924,542690
東京都,4350693,12337108,47275,3,3093983,8071,1201364
神奈川県,2221681,7296979,3769,8,1450734,4312,762866
新潟県,459553,1352424,6350,2,223993,447,228763
富山県,237472,510535,3088,1,123822,315,110247
石川県,279541,763788,3854,0,155716,511,119460
福井県,200812,613941,1815,0,110918,198,87881
山梨県,191542,826529,1153,1,93672,415,96302
長野県,461356,1513283,1370,0,459831,878,723
岐阜県,543258,1878659,59,0,284881,1118,257200
静岡県,867926,2599557,8054,0,478956,1405,379511
愛知県,2112763,5929103,2880,1,2104737,4323,823
三重県,461215,1191912,10057,0,226621,1050,223487
滋賀県,374316,1396930,5234,0,225722,677,142683
京都府,678667,1597966,12806,7,459222,1659,204980
大阪府,2832990,13063924,15005,8,2032077,8515,777393
兵庫県,1469670,2465506,12835,3,986750,3891,466194
奈良県,346716,1038222,29827,2,195268,873,120748
和歌山県,239890,319456,37,1,129448,523,109882
鳥取県,142744,1173150,9164,0,44778,265,88537
島根県,169000,548079,322,0,168304,301,73
岡山県,491766,1260400,574,1,489886,856,450
広島県,804500,3359179,15830,4,409656,1366,377648
山口県,315070,1229898,2890,0,158495,752,152933
徳島県,167232,469991,1301,0,90741,421,74769
香川県,253395,579027,2601,1,138120,620,112054
愛媛県,316997,1010109,3706,2,156705,695,155891
高知県,169532,494109,4977,0,94023,600,69932
福岡県,1588021,3918607,26411,0,1029285,3189,529136
佐賀県,261345,377021,12730,0,125171,493,122951
長崎県,337100,1187255,21235,0,177499,646,137720
熊本県,535488,540288,6764,2,320699,1310,206715
大分県,303959,1009928,2095,0,172076,774,129014
宮崎県,320547,238860,3747,0,189320,777,126703
鹿児島県,442945,947276,315,0,286186,887,155557
沖縄県,578620,1444728,778,0,494076,1013,82753
