"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",416778,20126,391507,2113,4,3032,2496279,"JP-01"
"Aomori","青森県",78627,9407,69097,123,0,0,290664,"JP-02"
"Iwate","岩手県",47390,6129,41158,103,0,0,328072,"JP-03"
"Miyagi","宮城県",112733,10378,99943,205,4,2207,672578,"JP-04"
"Akita","秋田県",38418,4912,33432,74,1,0,66164,"JP-05"
"Yamagata","山形県",36369,4082,32186,101,0,0,208405,"JP-06"
"Fukushima","福島県",77076,7530,69317,229,0,0,917904,"JP-07"
"Ibaraki","茨城県",184750,10631,173658,461,3,0,1477266,"JP-08"
"Tochigi","栃木県",110126,11866,97975,285,2,0,804855,"JP-09"
"Gunma","群馬県",114450,13828,102375,331,2,2084,718632,"JP-10"
"Saitama","埼玉県",670128,69591,598868,1669,11,0,3164177,"JP-11"
"Chiba","千葉県",546865,32648,480588,1825,5,31804,2324540,"JP-12"
"Tokyo","東京都",1913436,206530,1702285,4621,14,0,7765804,"JP-13"
"Kanagawa","神奈川県",915488,59527,853698,2263,39,0,3523661,"JP-14"
"Niigata","新潟県",89794,9088,80615,91,2,0,733696,"JP-15"
"Toyama","富山県",49403,7230,42074,99,2,0,277188,"JP-16"
"Ishikawa","石川県",72155,7561,64371,200,0,23,556202,"JP-17"
"Fukui","福井県",48166,5859,42258,49,1,0,364576,"JP-18"
"Yamanashi","山梨県",41073,4250,36772,69,0,18,401267,"JP-19"
"Nagano","長野県",92113,6270,82408,206,0,3229,815972,"JP-20"
"Gifu","岐阜県",131122,12192,116444,357,0,2129,1009994,"JP-21"
"Shizuoka","静岡県",222141,26120,190380,434,1,5207,1413403,"JP-22"
"Aichi","愛知県",676772,72129,602528,2115,7,0,3076564,"JP-23"
"Mie","三重県",107204,12180,96975,323,0,2274,601120,"JP-24"
"Shiga","滋賀県",112068,9481,102362,225,1,0,724514,"JP-25"
"Kyoto","京都府",250222,23174,222084,763,32,4201,923420,"JP-26"
"Osaka","大阪府",1213341,143971,1064108,5262,28,0,7966606,"JP-27"
"Hyogo","兵庫県",518932,44097,472566,2274,18,5,1784954,"JP-28"
"Nara","奈良県",113822,13637,99782,403,7,0,579419,"JP-29"
"Wakayama","和歌山県",56761,5476,50918,122,0,245,205575,"JP-30"
"Tottori","鳥取県",23378,4068,19046,21,0,243,482422,"JP-31"
"Shimane","島根県",37019,8795,28190,34,1,0,273942,"JP-32"
"Okayama","岡山県",120423,5799,107799,255,1,6570,657510,"JP-33"
"Hiroshima","広島県",190086,12330,177249,507,6,0,2056813,"JP-34"
"Yamaguchi","山口県",61946,8642,53113,191,1,0,642271,"JP-35"
"Tokushima","徳島県",30240,3603,26572,87,2,22,245504,"JP-36"
"Kagawa","香川県",60987,6659,54190,138,0,0,311286,"JP-37"
"Ehime","愛媛県",61207,9904,51158,145,1,0,431383,"JP-38"
"Kochi","高知県",37824,4320,33387,117,1,0,340220,"JP-39"
"Fukuoka","福岡県",558974,58981,480133,1308,8,18552,3075463,"JP-40"
"Saga","佐賀県",76783,9363,62434,119,0,4867,324202,"JP-41"
"Nagasaki","長崎県",81958,10067,73366,134,1,1609,490831,"JP-42"
"Kumamoto","熊本県",154729,19807,134586,336,5,0,357887,"JP-43"
"Oita","大分県",78183,10666,67339,178,0,0,683554,"JP-44"
"Miyazaki","宮崎県",77713,11885,65552,155,1,121,202016,"JP-45"
"Kagoshima","鹿児島県",123870,15939,105120,221,1,2590,498048,"JP-46"
"Okinawa","沖縄県",320319,34863,284861,503,20,92,1004541,"JP-47"
