都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1170252,3950388,18668,8,717238,3724,430622
青森県,232672,415661,4854,5,151129,473,76216
岩手県,181053,586488,3400,0,103563,337,73753
宮城県,421286,1105670,22349,17,204624,619,193694
秋田県,165656,80243,8907,2,89825,403,66521
山形県,186689,336540,6941,0,90443,282,89023
福島県,311106,1156057,3568,3,180682,394,126462
茨城県,488936,1985898,20873,14,301424,882,165757
栃木県,322945,1095228,5769,8,215803,656,100717
群馬県,340254,1068666,8513,6,225131,693,105917
埼玉県,1491798,4527246,19474,19,1160893,2761,308670
千葉県,1186010,3279837,18036,16,904076,2831,261067
東京都,3760973,10578958,53588,33,3093983,6481,606921
神奈川県,1847687,5751199,62525,47,1450734,3352,331076
新潟県,362184,1143163,6746,5,223993,246,131199
富山県,187898,426026,3537,4,123822,218,60321
石川県,222384,763788,4121,4,155716,351,62196
福井県,155208,515161,2096,0,110918,132,42062
山梨県,141247,672973,1480,1,93672,220,45875
長野県,352114,1260818,17372,8,332310,570,1862
岐阜県,406055,1530906,806,4,284881,767,119601
静岡県,630568,2122994,8720,7,478956,858,142034
愛知県,1703299,4777433,60284,30,1620453,3274,19288
三重県,331810,958097,10354,5,226621,623,94212
滋賀県,297349,1120104,5649,6,225722,429,65549
京都府,562732,1358235,13412,89,459222,1216,88882
大阪府,2407955,10983104,75086,46,2032077,6907,293885
兵庫県,1185768,2465506,13866,13,986750,3080,182072
奈良県,278266,851462,30087,8,195268,630,52281
和歌山県,173900,319456,282,9,129448,325,43845
鳥取県,96127,917621,9324,0,44778,133,41892
島根県,120371,440927,6344,2,112690,144,1193
岡山県,365625,996914,15110,6,341859,516,8140
広島県,592591,3096847,16606,9,409656,930,165399
山口県,215717,981359,3166,5,158495,458,53598
徳島県,118999,384379,1508,3,90741,243,26507
香川県,185235,475048,3073,4,138120,366,43676
愛媛県,220075,775641,3994,3,156705,363,59013
高知県,124969,494109,5160,4,94023,352,25434
福岡県,1257232,3918607,29093,7,1029285,2161,196693
佐賀県,196562,377021,13035,0,125171,290,58066
長崎県,255482,918687,22144,2,177499,377,55462
熊本県,404303,540288,7764,10,320699,757,75083
大分県,220263,1009928,2317,2,172076,435,45435
宮崎県,233402,238860,3999,1,189320,429,39654
鹿児島県,336779,801961,4440,2,286186,569,45584
沖縄県,530301,1288096,4938,5,494076,830,30457
