都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1333902,3964610,17388,2,717238,4535,594741
青森県,278025,415661,4190,0,151129,640,122066
岩手県,233581,702481,3163,0,103563,609,126246
宮城県,534263,1290185,21207,5,204624,938,307494
秋田県,199208,81563,8408,2,89825,588,100387
山形県,225060,370122,6468,0,90443,355,127794
福島県,401287,1156057,3568,2,180682,828,216209
茨城県,634493,1985898,19632,1,301424,1279,312158
栃木県,420014,1258129,5287,2,215803,1058,197866
群馬県,437930,1248255,7789,2,225131,1078,203932
埼玉県,1791146,5193480,17543,6,1160893,3898,608812
千葉県,1456840,3796186,15967,6,904076,3878,532919
東京都,4324486,12015565,47264,8,3093983,8002,1175237
神奈川県,2207921,7008695,3241,10,1450734,4251,749695
新潟県,452752,1306538,6375,1,223993,431,221953
富山県,235639,496671,3107,1,123822,313,108397
石川県,277176,763788,3851,0,155716,501,117108
福井県,198933,602544,1821,0,110918,196,85998
山梨県,189333,808357,1162,0,93672,401,94098
長野県,455013,1471579,1972,1,452758,861,578
岐阜県,538687,1824044,126,2,284881,1103,252577
静岡県,862713,2518078,8163,0,478956,1375,374219
愛知県,2100546,5738147,3804,4,2091305,4286,1151
三重県,457923,1160021,10065,1,226621,1039,220198
滋賀県,372114,1363481,5257,1,225722,669,140466
京都府,674529,1564649,12804,15,459222,1648,200855
大阪府,2819270,12699351,15915,15,2032077,8406,762872
兵庫県,1461835,2465506,12869,6,986750,3799,458417
奈良県,344476,1010665,29842,0,195268,858,118508
和歌山県,237645,319456,51,1,129448,516,107630
鳥取県,140821,1138838,9168,0,44778,260,86615
島根県,167022,536252,683,0,165925,296,118
岡山県,488986,1214527,1420,7,485425,839,1302
広島県,796343,3338430,15832,3,409656,1346,369509
山口県,312081,1203138,2919,1,158495,741,149926
徳島県,165618,455906,1341,0,90741,412,73124
香川県,251339,563372,2589,1,138120,613,110017
愛媛県,314570,973737,3745,2,156705,685,153435
高知県,168420,494109,5001,1,94023,584,68812
福岡県,1580206,3918607,26596,3,1029285,3164,521161
佐賀県,260209,377021,12751,0,125171,489,121798
長崎県,335305,1147792,21330,1,177499,636,135840
熊本県,532623,540288,6876,1,320699,1292,203756
大分県,301972,1009928,2149,1,172076,763,126984
宮崎県,319038,238860,3765,0,189320,774,125179
鹿児島県,439771,939104,752,0,286186,879,151954
沖縄県,576196,1419449,795,1,494076,926,80399
