name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,743606,17827,717238,2580,2,5961,3082438,JP-01
Aomori,青森県,156370,4308,151129,293,2,640,415661,JP-02
Iwate,岩手県,107815,3224,103563,191,1,837,454694,JP-03
Miyagi,宮城県,258134,21432,204624,391,3,31687,873061,JP-04
Akita,秋田県,99843,8623,89825,222,1,1173,74932,JP-05
Yamagata,山形県,105120,6624,90443,194,0,7859,285732,JP-06
Fukushima,福島県,186024,3568,180682,260,0,1514,1156057,JP-07
Ibaraki,茨城県,361529,20062,301424,676,3,39367,1654084,JP-08
Tochigi,栃木県,223188,5426,215803,488,2,1471,951865,JP-09
Gunma,群馬県,235191,8131,225131,465,2,1464,889043,JP-10
Saitama,埼玉県,1186551,18022,1160893,2363,11,5273,3932470,JP-11
Chiba,千葉県,944114,16849,904076,2547,7,20642,2843675,JP-12
Tokyo,東京都,3160002,49542,3093983,5800,17,10677,9346515,JP-13
Kanagawa,神奈川県,1481870,21720,1450734,2961,25,6455,4696361,JP-14
Niigata,新潟県,232468,6447,223993,151,0,1877,950078,JP-15
Toyama,富山県,128203,3199,123822,176,0,1006,362031,JP-16
Ishikawa,石川県,160989,3965,155716,281,0,1027,763788,JP-17
Fukui,福井県,113663,1919,110918,98,0,728,455127,JP-18
Yamanashi,山梨県,95519,1227,93672,153,0,467,511528,JP-19
Nagano,長野県,206531,4645,200644,344,1,898,1025598,JP-20
Gifu,岐阜県,292441,4981,284881,583,0,1996,1291190,JP-21
Shizuoka,静岡県,490492,8320,478956,737,3,2479,1812685,JP-22
Aichi,愛知県,1357573,28090,1322512,2855,8,4116,4093625,JP-23
Mie,三重県,252278,10225,226621,524,3,14908,820741,JP-24
Shiga,滋賀県,232650,5373,225722,317,2,1238,957553,JP-25
Kyoto,京都府,475971,12966,459222,1051,17,2732,1201980,JP-26
Osaka,大阪府,2090318,44280,2032077,6412,30,7549,9673599,JP-27
Hyogo,兵庫県,1004007,13185,986750,2845,8,1227,2465506,JP-28
Nara,奈良県,226568,29897,195268,522,5,881,735835,JP-29
Wakayama,和歌山県,132687,151,129448,249,2,2839,319456,JP-30
Tottori,鳥取県,62586,9230,44778,73,1,8505,710191,JP-31
Shimane,島根県,82092,2014,79721,92,0,265,359474,JP-32
Okayama,岡山県,273640,6379,259947,403,4,6911,851339,JP-33
Hiroshima,広島県,425739,16038,409656,747,3,702,2686976,JP-34
Yamaguchi,山口県,163089,2988,158495,385,2,1221,827032,JP-35
Tokushima,徳島県,92683,1364,90741,171,0,407,325497,JP-36
Kagawa,香川県,141920,2670,138120,289,3,841,402938,JP-37
Ehime,愛媛県,161650,3793,156705,288,0,864,626853,JP-38
Kochi,高知県,99892,5047,94023,294,3,528,494109,JP-39
Fukuoka,福岡県,1076260,27228,1029285,1935,8,17812,3918607,JP-40
Saga,佐賀県,156757,12820,125171,221,2,18545,377021,JP-41
Nagasaki,長崎県,211588,21719,177499,325,3,12045,750243,JP-42
Kumamoto,熊本県,329604,7054,320699,633,5,1218,540288,JP-43
Oita,大分県,175258,2209,172076,359,4,614,888535,JP-44
Miyazaki,宮崎県,194947,3867,189320,358,4,1402,238860,JP-45
Kagoshima,鹿児島県,298276,1245,286186,535,2,10310,741382,JP-46
Okinawa,沖縄県,499198,3073,494076,714,5,1335,1180007,JP-47
