"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",1048329,18812,717238,3194,16,309085,3682145,"JP-01"
"Aomori","青森県",195503,4587,151129,387,4,39400,415661,"JP-02"
"Iwate","岩手県",151019,3381,103563,259,1,43816,548173,"JP-03"
"Miyagi","宮城県",353765,22318,204624,507,17,126316,1052112,"JP-04"
"Akita","秋田県",140366,8799,89825,317,1,41425,78366,"JP-05"
"Yamagata","山形県",160285,6949,90443,254,1,62639,320332,"JP-06"
"Fukushima","福島県",259865,3568,180682,340,2,75275,1156057,"JP-07"
"Ibaraki","茨城県",433405,20567,301424,773,9,110641,1985898,"JP-08"
"Tochigi","栃木県",278466,5651,215803,581,4,56431,1045619,"JP-09"
"Gunma","群馬県",294708,8322,225131,591,6,60664,1008015,"JP-10"
"Saitama","埼玉県",1353225,18997,1160893,2591,17,170744,4320266,"JP-11"
"Chiba","千葉県",1073005,16888,904076,2728,12,149313,3146212,"JP-12"
"Tokyo","東京都",3497687,51901,3093983,6162,17,345641,10145118,"JP-13"
"Kanagawa","神奈川県",1689147,42853,1450734,3154,30,192406,5392417,"JP-14"
"Niigata","新潟県",306828,6727,223993,199,2,75909,1078664,"JP-15"
"Toyama","富山県",163492,3442,123822,201,2,36027,404171,"JP-16"
"Ishikawa","石川県",197828,4094,155716,317,1,37701,763788,"JP-17"
"Fukui","福井県",137513,2048,110918,117,0,24430,493162,"JP-18"
"Yamanashi","山梨県",123220,1478,93672,189,0,27881,625587,"JP-19"
"Nagano","長野県",304190,20118,282645,450,2,977,1186889,"JP-20"
"Gifu","岐阜県",356588,725,284881,690,0,70292,1445285,"JP-21"
"Shizuoka","静岡県",570136,8423,478956,802,1,81955,2021666,"JP-22"
"Aichi","愛知県",1548763,44032,1493442,3074,23,8215,4531998,"JP-23"
"Mie","三重県",297692,10276,226621,577,3,60218,911828,"JP-24"
"Shiga","滋賀県",269598,5555,225722,378,3,37943,1076650,"JP-25"
"Kyoto","京都府",522060,13286,459222,1161,53,48391,1305713,"JP-26"
"Osaka","大阪府",2275542,48671,2032077,6736,22,188058,10609111,"JP-27"
"Hyogo","兵庫県",1103280,13391,986750,2984,17,100155,2465506,"JP-28"
"Nara","奈良県",254501,29961,195268,584,7,28688,810242,"JP-29"
"Wakayama","和歌山県",157380,211,129448,293,2,27428,319456,"JP-30"
"Tottori","鳥取県",80191,9291,44778,104,0,26018,834664,"JP-31"
"Shimane","島根県",104152,4117,99672,113,3,250,412406,"JP-32"
"Okayama","岡山県",326652,9986,308906,456,7,7304,964408,"JP-33"
"Hiroshima","広島県",525995,16355,409656,859,10,99125,2976836,"JP-34"
"Yamaguchi","山口県",193828,3066,158495,417,1,31850,901613,"JP-35"
"Tokushima","徳島県",106725,1417,90741,206,1,14361,367846,"JP-36"
"Kagawa","香川県",167089,2843,138120,323,3,25803,450877,"JP-37"
"Ehime","愛媛県",191584,3938,156705,319,1,30622,721794,"JP-38"
"Kochi","高知県",112288,5068,94023,325,1,12872,494109,"JP-39"
"Fukuoka","福岡県",1165751,27532,1029285,2084,3,106850,3918607,"JP-40"
"Saga","佐賀県",175905,12913,125171,262,0,37559,377021,"JP-41"
"Nagasaki","長崎県",235129,21711,177499,351,1,35568,862032,"JP-42"
"Kumamoto","熊本県",366067,7145,320699,689,3,37534,540288,"JP-43"
"Oita","大分県",198497,2242,172076,404,3,23775,1001437,"JP-44"
"Miyazaki","宮崎県",214373,3864,189320,403,1,20786,238860,"JP-45"
"Kagoshima","鹿児島県",319636,1983,286186,561,1,30906,778864,"JP-46"
"Okinawa","沖縄県",518277,3035,494076,815,8,20351,1259907,"JP-47"
