都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1234161,3964610,18518,10,717238,4055,494350
青森県,252135,415661,4616,3,151129,538,95852
岩手県,202506,616664,3375,1,103563,419,95149
宮城県,466759,1150642,22260,19,204624,734,239141
秋田県,178814,81161,8762,3,89825,471,79756
山形県,201099,343532,6931,0,90443,311,103414
福島県,344160,1156057,3568,2,180682,453,159457
茨城県,542543,1985898,21002,21,301424,979,219138
栃木県,357149,1133987,5867,10,215803,765,134714
群馬県,376771,1111426,8402,14,225131,799,142439
埼玉県,1612067,4701189,19620,40,1160893,2955,428599
千葉県,1289449,3392797,18547,18,904076,3000,363826
東京都,3998553,10919695,53930,45,3093983,6779,843861
神奈川県,1989865,5974666,71120,42,1450734,3568,464443
新潟県,398160,1180738,6743,5,223993,285,167139
富山県,204754,427812,3415,6,123822,252,77265
石川県,240551,763788,4107,3,155716,389,80339
福井県,171762,534033,2127,1,110918,145,58572
山梨県,156906,689858,1538,0,93672,261,61435
長野県,385737,1301510,15636,3,369196,671,234
岐阜県,453127,1590207,881,3,284881,862,166503
静岡県,699901,2193960,9127,4,478956,931,210887
愛知県,1847531,4924051,73488,19,1760507,3493,10043
三重県,373853,993801,10404,3,226621,703,136125
滋賀県,322489,1163417,5690,7,225722,488,90589
京都府,602112,1411997,13512,86,459222,1306,128072
大阪府,2551598,11354510,91426,67,2032077,7167,420928
兵庫県,1280087,2465506,14091,30,986750,3233,276013
奈良県,301714,878644,30131,11,195268,670,75645
和歌山県,195136,319456,249,5,129448,377,65062
鳥取県,112301,968115,9316,0,44778,159,58048
島根県,137848,466454,6905,2,130076,179,688
岡山県,408431,1045577,18510,11,356939,586,32396
広島県,665795,3256361,16621,14,409656,1019,238499
山口県,247183,1031617,3234,3,158495,532,84922
徳島県,133361,397548,1573,3,90741,282,40765
香川県,207290,491631,3224,7,138120,429,65517
愛媛県,254051,830611,4098,6,156705,433,92815
高知県,138405,494109,5149,7,94023,409,38824
福岡県,1378690,3918607,30613,17,1029285,2334,316458
佐賀県,220823,377021,13106,3,125171,342,82204
長崎県,282191,958393,23329,3,177499,424,80939
熊本県,455121,540288,8159,17,320699,881,125382
大分県,250561,1009928,2425,1,172076,498,75562
宮崎県,263083,238860,4059,5,189320,504,69200
鹿児島県,368594,841336,9129,7,286186,606,72673
沖縄県,544133,1313857,7551,5,494076,837,41669
