name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,740518,17867,717238,2575,2,2838,3071957,JP-01
Aomori,青森県,156026,4293,151129,287,2,317,415661,JP-02
Iwate,岩手県,107414,3240,103563,191,1,420,453848,JP-03
Miyagi,宮城県,257027,21442,204624,390,6,30571,868963,JP-04
Akita,秋田県,99414,8638,89825,221,3,730,74931,JP-05
Yamagata,山形県,104587,6647,90443,193,0,7304,285126,JP-06
Fukushima,福島県,185293,3568,180682,260,0,783,1156057,JP-07
Ibaraki,茨城県,360021,20077,301424,672,5,37848,1654084,JP-08
Tochigi,栃木県,222467,5426,215803,488,2,750,951477,JP-09
Gunma,群馬県,234284,8126,225131,463,2,564,889043,JP-10
Saitama,埼玉県,1183789,18013,1160893,2358,11,2525,3923165,JP-11
Chiba,千葉県,942214,16849,904076,2540,7,18749,2843675,JP-12
Tokyo,東京都,3154675,49653,3093983,5792,20,5247,9326724,JP-13
Kanagawa,神奈川県,1478641,22376,1450734,2960,25,2571,4662342,JP-14
Niigata,新潟県,231561,6479,223993,151,0,938,946705,JP-15
Toyama,富山県,127694,3204,123822,173,0,495,361157,JP-16
Ishikawa,石川県,160473,3937,155716,280,0,540,763788,JP-17
Fukui,福井県,113234,1921,110918,98,0,297,453291,JP-18
Yamanashi,山梨県,95270,1236,93672,153,0,209,511528,JP-19
Nagano,長野県,205424,3991,199312,344,1,1777,1020358,JP-20
Gifu,岐阜県,291518,4981,284881,583,0,1073,1286200,JP-21
Shizuoka,静岡県,488972,8320,478956,737,3,959,1805640,JP-22
Aichi,愛知県,1354618,29073,1319979,2853,8,2713,4090285,JP-23
Mie,三重県,251236,10233,226621,523,1,13859,820741,JP-24
Shiga,滋賀県,232024,5367,225722,315,2,620,956287,JP-25
Kyoto,京都府,475063,12992,459222,1048,23,1801,1200085,JP-26
Osaka,大阪府,2086723,44943,2032077,6403,33,3300,9662874,JP-27
Hyogo,兵庫県,1002045,13928,984442,2844,8,831,2462063,JP-28
Nara,奈良県,226108,29892,195268,522,4,426,733770,JP-29
Wakayama,和歌山県,132327,2190,129448,248,4,441,319456,JP-30
Tottori,鳥取県,62310,9233,44778,72,1,8227,705151,JP-31
Shimane,島根県,81827,2076,79352,92,0,307,359474,JP-32
Okayama,岡山県,272840,6379,259947,403,4,6111,851339,JP-33
Hiroshima,広島県,424614,15911,407916,746,3,41,2686976,JP-34
Yamaguchi,山口県,162583,3002,158495,382,2,704,827032,JP-35
Tokushima,徳島県,92487,1372,90741,171,3,203,289701,JP-36
Kagawa,香川県,141430,2670,138120,287,3,353,402591,JP-37
Ehime,愛媛県,161266,3796,156705,288,1,477,626299,JP-38
Kochi,高知県,99683,5056,94023,293,4,311,494109,JP-39
Fukuoka,福岡県,1074699,27281,1029285,1929,9,16204,3918607,JP-40
Saga,佐賀県,156414,12831,125171,220,2,18192,377021,JP-41
Nagasaki,長崎県,211206,21756,177499,322,3,11629,747352,JP-42
Kumamoto,熊本県,329032,7067,320699,629,5,637,540288,JP-43
Oita,大分県,174828,2223,172076,352,4,177,888535,JP-44
Miyazaki,宮崎県,194643,3880,189320,356,2,1087,238860,JP-45
Kagoshima,鹿児島県,297668,1372,286186,534,2,9576,740329,JP-46
Okinawa,沖縄県,498725,3084,494076,714,4,851,1178432,JP-47
