"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns"
"Hokkaido","北海道",945,450,444,51,28,0
"Aomori","青森県",27,10,17,"-","-",10
"Iwate","岩手県",0,0,0,0,0,0
"Miyagi","宮城県",88,7,80,1,"-",0
"Akita","秋田県",16,16,0,"-","-",16
"Yamagata","山形県",69,11,58,"-","-",0
"Fukushima","福島県",81,36,45,0,"-",0
"Ibaraki","茨城県",168,81,78,9,3,10
"Tochigi","栃木県",56,24,32,"-","-",24
"Gunma","群馬県",147,63,66,18,2,0
"Saitama","埼玉県",967,377,548,42,11,0
"Chiba","千葉県",880,373,467,40,12,156
"Tokyo","東京都",4868,2518,2170,180,71,0
"Kanagawa","神奈川県",1150,458,645,47,30,0
"Niigata","新潟県",82,35,47,"-","-",0
"Toyama","富山県",216,126,77,13,"-",0
"Ishikawa","石川県",278,130,132,16,"-",0
"Fukui","福井県",122,20,94,8,2,20
"Yamanashi","山梨県",56,8,48,0,1,0
"Nagano","長野県",74,37,37,"-",2,0
"Gifu","岐阜県",150,22,122,6,1,0
"Shizuoka","静岡県",73,26,46,1,2,0
"Aichi","愛知県",494,110,350,34,"-",3
"Mie","三重県",45,11,33,1,0,0
"Shiga","滋賀県",97,30,66,1,"-",0
"Kyoto","京都府",347,107,227,13,"-",0
"Osaka","大阪府",1743,653,1031,59,50,12
"Hyogo","兵庫県",688,168,486,34,24,0
"Nara","奈良県",90,21,67,2,"-",0
"Wakayama","和歌山県",62,12,48,2,"-",0
"Tottori","鳥取県",3,2,1,0,"-",0
"Shimane","島根県",24,13,11,"-","-",13
"Okayama","岡山県",24,9,15,"-","-",1
"Hiroshima","広島県",165,81,82,2,"-",0
"Yamaguchi","山口県",37,4,33,"-","-",0
"Tokushima","徳島県",5,1,3,1,"-",1
"Kagawa","香川県",28,8,20,0,0,0
"Ehime","愛媛県",48,7,38,3,2,0
"Kochi","高知県",74,7,64,3,0,0
"Fukuoka","福岡県",654,162,468,24,"-",0
"Saga","佐賀県",45,23,22,0,1,2
"Nagasaki","長崎県",17,2,14,1,0,0
"Kumamoto","熊本県",48,27,18,3,2,0
"Oita","大分県",60,7,52,1,"-",7
"Miyazaki","宮崎県",17,5,12,"-","-",0
"Kagoshima","鹿児島県",11,3,8,"-","-",3
"Okinawa","沖縄県",142,45,92,5,5,0
