"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",61098,173,59454,1472,2,1,1208256,"JP-01"
"Aomori","青森県",5897,0,5859,38,0,0,99436,"JP-02"
"Iwate","岩手県",3487,0,3434,53,0,0,130532,"JP-03"
"Miyagi","宮城県",16280,3,16158,118,0,1,255894,"JP-04"
"Akita","秋田県",1925,0,1898,27,0,0,27377,"JP-05"
"Yamagata","山形県",3555,3,3496,56,0,0,108269,"JP-06"
"Fukushima","福島県",9487,2,9309,176,1,0,446731,"JP-07"
"Ibaraki","茨城県",24447,10,24217,220,0,0,40552,"JP-08"
"Tochigi","栃木県",15479,11,15351,117,0,0,509818,"JP-09"
"Gunma","群馬県",16851,23,16652,176,1,0,328758,"JP-10"
"Saitama","埼玉県",115804,86,114662,1056,8,0,1573303,"JP-11"
"Chiba","千葉県",100452,35,99386,1028,0,3,1171334,"JP-12"
"Tokyo","東京都",382144,176,378804,3164,8,0,3967143,"JP-13"
"Kanagawa","神奈川県",169225,107,167806,1312,1,0,1740433,"JP-14"
"Niigata","新潟県",8019,11,7947,61,0,0,307457,"JP-15"
"Toyama","富山県",4867,0,4815,52,0,0,125512,"JP-16"
"Ishikawa","石川県",7968,0,7817,129,0,22,206055,"JP-17"
"Fukui","福井県",3115,0,3077,38,0,0,123539,"JP-18"
"Yamanashi","山梨県",5156,1,5126,29,0,0,126115,"JP-19"
"Nagano","長野県",8883,1,8841,97,0,56,348979,"JP-20"
"Gifu","岐阜県",19245,10,19016,218,0,1,448786,"JP-21"
"Shizuoka","静岡県",26786,9,26565,209,0,3,684896,"JP-22"
"Aichi","愛知県",106556,63,105333,1160,1,0,1437845,"JP-23"
"Mie","三重県",14812,3,14972,163,0,326,255278,"JP-24"
"Shiga","滋賀県",12432,13,12315,104,0,0,281768,"JP-25"
"Kyoto","京都府",35986,36,35658,291,0,1,452143,"JP-26"
"Osaka","大阪府",203067,175,199830,3062,17,0,3956474,"JP-27"
"Hyogo","兵庫県",78662,59,77207,1396,4,0,817995,"JP-28"
"Nara","奈良県",15928,6,15773,149,0,0,270920,"JP-29"
"Wakayama","和歌山県",5300,1,5132,62,0,105,67308,"JP-30"
"Tottori","鳥取県",1669,0,1639,5,0,25,160927,"JP-31"
"Shimane","島根県",1732,2,1725,5,0,0,61558,"JP-32"
"Okayama","岡山県",15523,83,15262,136,3,42,294005,"JP-33"
"Hiroshima","広島県",22155,13,21940,202,0,0,955323,"JP-34"
"Yamaguchi","山口県",5788,3,5692,93,0,0,204869,"JP-35"
"Tokushima","徳島県",3291,1,3224,66,0,0,112019,"JP-36"
"Kagawa","香川県",4705,0,4666,38,0,1,139050,"JP-37"
"Ehime","愛媛県",5412,4,5326,82,0,0,165694,"JP-38"
"Kochi","高知県",4167,0,4134,33,0,0,105447,"JP-39"
"Fukuoka","福岡県",74594,72,73887,624,5,11,1359984,"JP-40"
"Saga","佐賀県",5866,2,5889,30,0,55,114347,"JP-41"
"Nagasaki","長崎県",6119,1,6045,73,0,0,194821,"JP-42"
"Kumamoto","熊本県",14395,0,14259,136,0,0,124621,"JP-43"
"Oita","大分県",8186,0,8102,84,0,0,289914,"JP-44"
"Miyazaki","宮崎県",6151,0,6094,41,0,16,73041,"JP-45"
"Kagoshima","鹿児島県",9103,1,9036,66,0,0,173714,"JP-46"
"Okinawa","沖縄県",50304,12,49900,398,0,6,420842,"JP-47"
