都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1199266,3964610,18553,9,717238,3862,459613
青森県,241683,415661,4794,2,151129,500,85260
岩手県,191379,598592,3419,1,103563,367,84030
宮城県,441048,1123010,22221,20,204624,659,213544
秋田県,171926,80766,8942,2,89825,429,72730
山形県,193321,340989,6889,0,90443,292,95697
福島県,325806,1156057,3568,6,180682,416,141140
茨城県,511148,1985898,20835,16,301424,916,187973
栃木県,337920,1109758,5807,8,215803,698,115612
群馬県,356119,1089053,8399,8,225131,732,121857
埼玉県,1542928,4600791,19443,23,1160893,2843,359749
千葉県,1229894,3334035,18227,21,904076,2884,304707
東京都,3860414,10716182,53544,44,3093983,6581,706306
神奈川県,1906565,5858461,68490,54,1450734,3425,383916
新潟県,378763,1160204,6719,6,223993,263,147788
富山県,195736,430946,3493,5,123822,234,68187
石川県,230311,763788,4136,4,155716,361,70098
福井県,162228,524388,2110,1,110918,136,49064
山梨県,147414,672973,1462,0,93672,234,52046
長野県,366875,1279733,17039,9,347192,613,2031
岐阜県,425324,1557024,850,5,284881,801,138792
静岡県,656648,2158911,8965,5,478956,879,167848
愛知県,1764092,4852916,67124,35,1670842,3359,22767
三重県,348071,974646,10361,2,226621,651,110438
滋賀県,308234,1139920,5680,5,225722,453,76379
京都府,579116,1378462,13478,77,459222,1241,105175
大阪府,2465352,11126958,85731,55,2032077,6995,340549
兵庫県,1223111,2465506,13969,22,986750,3128,219264
奈良県,288242,864468,30101,16,195268,644,62229
和歌山県,182140,319456,231,6,129448,342,52119
鳥取県,102840,942877,9326,0,44778,145,48591
島根県,128084,454164,7449,3,119194,161,1280
岡山県,382784,1025328,15110,6,341859,542,25273
広島県,620432,3144451,16541,10,409656,972,193263
山口県,227257,1003938,3213,2,158495,483,65066
徳島県,124777,388483,1553,3,90741,258,32225
香川県,193439,482411,3000,4,138120,387,51932
愛媛県,233584,789278,4002,7,156705,391,72486
高知県,130507,494109,5179,4,94023,368,30937
福岡県,1306989,3918607,29691,7,1029285,2221,245792
佐賀県,206566,377021,13053,0,125171,307,68035
長崎県,265837,938340,22511,4,177499,395,65432
熊本県,425813,540288,7873,9,320699,793,96448
大分県,232116,1009928,2365,3,172076,458,57217
宮崎県,243842,238860,4006,1,189320,453,50063
鹿児島県,347965,815179,6213,4,286186,574,54992
沖縄県,535063,1300774,5115,2,494076,834,35038
