都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,766718,3188712,17826,1,717238,2625,29029
青森県,159546,415661,4240,1,151129,308,3869
岩手県,111113,469670,3223,0,103563,196,4131
宮城県,265742,925291,21398,1,204624,402,39318
秋田県,103777,75365,8446,0,89825,235,5271
山形県,110147,290796,6578,0,90443,195,12931
福島県,192392,1156057,3568,0,180682,260,7882
茨城県,370925,1815549,19911,3,301424,697,48893
栃木県,228542,970927,5377,1,215803,504,6858
群馬県,241754,910836,8002,2,225131,476,8145
埼玉県,1205628,4000767,17845,7,1160893,2431,24459
千葉県,959715,2912854,16314,2,904076,2597,36728
東京都,3200709,9497577,48543,8,3093983,5912,52271
神奈川県,1507460,4816479,13896,21,1450734,3009,39821
新潟県,238965,969327,6493,2,223993,167,8312
富山県,132270,370030,3192,0,123822,180,5076
石川県,165323,763788,3924,1,155716,284,5399
福井県,116312,460154,1869,0,110918,99,3426
山梨県,97617,543086,1222,0,93672,158,2565
長野県,215259,1045614,4960,1,209816,351,132
岐阜県,298942,1316407,4981,0,284881,597,8483
静岡県,500813,1850415,8247,2,478956,755,12855
愛知県,1377138,4174818,10654,7,1364249,2891,656
三重県,258757,846333,10146,1,226621,540,21450
滋賀県,237325,980227,5304,1,225722,332,5967
京都府,481967,1221623,12898,21,459222,1093,8754
大阪府,2117623,9861363,27254,20,2032077,6515,51777
兵庫県,1016769,2465506,12987,6,986750,2885,14147
奈良県,230133,748180,29860,0,195268,534,4471
和歌山県,135671,319456,63,0,129448,253,5907
鳥取県,64675,730387,9184,0,44778,78,10635
島根県,84503,368464,1212,0,83108,95,88
岡山県,280114,871130,3912,4,273230,412,2560
広島県,438200,2749321,16011,2,409656,769,11764
山口県,167079,842776,2949,1,158495,391,5244
徳島県,94606,335036,1347,1,90741,176,2342
香川県,144285,410738,2613,2,138120,297,3255
愛媛県,164981,643289,3754,1,156705,289,4233
高知県,101610,494109,5047,1,94023,299,2241
福岡県,1088488,3918607,26852,3,1029285,1984,30367
佐賀県,159177,377021,12776,0,125171,227,21003
長崎県,214952,770191,21402,3,177499,331,15720
熊本県,334358,540288,6985,2,320699,646,6028
大分県,178317,912725,2170,2,172076,387,3684
宮崎県,198008,238860,3825,2,189320,372,4491
鹿児島県,302647,749957,1475,0,286186,547,14439
沖縄県,503794,1200073,2953,5,494076,757,6008
