都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1262323,3964610,18329,8,717238,4155,522601
青森県,260813,415661,4489,4,151129,553,104642
岩手県,211561,628535,3365,0,103563,463,104170
宮城県,488128,1167717,22090,14,204624,780,260634
秋田県,184553,81376,8799,4,89825,508,85421
山形県,207982,347301,6901,0,90443,321,110317
福島県,360858,1156057,3568,3,180682,487,176121
茨城県,569218,1985898,20973,18,301424,1029,245792
栃木県,374889,1148655,5871,13,215803,844,152371
群馬県,395788,1126185,8382,10,225131,871,161404
埼玉県,1670491,4782198,19572,41,1160893,3069,486957
千葉県,1342021,3392797,18924,23,904076,3105,415916
東京都,4110682,11055720,53457,55,3093983,6997,956245
神奈川県,2058723,6139287,57118,61,1450734,3676,547195
新潟県,414043,1194647,6770,6,223993,297,182983
富山県,212952,447462,3421,8,123822,265,85444
石川県,251823,763788,4121,3,155716,415,91571
福井県,180171,542361,2165,1,110918,156,66932
山梨県,166870,714668,1596,0,93672,270,71332
長野県,405217,1324543,17523,5,386228,712,754
岐阜県,479468,1624804,878,3,284881,897,192812
静岡県,747936,2230789,9233,3,478956,997,258750
愛知県,1922762,5040236,64354,35,1839225,3641,15542
三重県,397807,993801,10429,8,226621,751,160006
滋賀県,335798,1189305,5665,5,225722,511,103900
京都府,624186,1436170,13584,67,459222,1349,150031
大阪府,2636845,11511802,97124,72,2032077,7360,500284
兵庫県,1336156,2465506,14071,30,986750,3312,332023
奈良県,314672,893320,30141,15,195268,685,88578
和歌山県,209146,319456,287,6,129448,408,79003
鳥取県,121130,1003886,9327,0,44778,180,66845
島根県,146628,466454,6734,1,139176,210,508
岡山県,434301,1045577,15355,13,397010,638,21298
広島県,710092,3303453,16678,15,409656,1064,282694
山口県,269476,1055687,3211,5,158495,590,107180
徳島県,142699,402620,1608,1,90741,304,50046
香川県,221075,501365,3291,5,138120,477,79187
愛媛県,274442,854802,4087,5,156705,491,113159
高知県,147061,494109,5170,10,94023,451,47417
福岡県,1447422,3918607,31387,16,1029285,2493,384257
佐賀県,235778,377021,13123,2,125171,376,97108
長崎県,299704,987140,23929,2,177499,457,97819
熊本県,482890,540288,8025,32,320699,977,153189
大分県,268657,1009928,2492,1,172076,523,93566
宮崎県,285163,238860,4111,3,189320,559,91173
鹿児島県,392912,869590,11895,9,286186,643,94188
沖縄県,555416,1326701,10618,7,494076,841,49881
