都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1252024,3964610,18310,7,717238,4120,512356
青森県,257701,415661,4538,4,151129,547,101487
岩手県,208512,620516,3366,0,103563,445,101138
宮城県,479674,1160349,21985,17,204624,756,252309
秋田県,182584,81376,8845,6,89825,491,83423
山形県,205584,346798,6905,0,90443,314,107922
福島県,354614,1156057,3568,2,180682,482,169882
茨城県,554402,1985898,20768,31,301424,1006,231204
栃木県,367713,1139212,5849,11,215803,824,145237
群馬県,388573,1116216,8333,11,225131,848,154261
埼玉県,1646563,4743462,19484,42,1160893,3003,463183
千葉県,1320486,3392797,18815,23,904076,3048,394547
東京都,4067729,10990436,53086,53,3093983,6904,913756
神奈川県,2029032,6115901,48854,66,1450734,3605,525839
新潟県,407770,1190601,6703,5,223993,294,176780
富山県,210114,445306,3388,7,123822,261,82643
石川県,247361,763788,4117,3,155716,405,87123
福井県,177068,534033,2115,1,110918,154,63881
山梨県,162933,689858,1537,0,93672,263,67461
長野県,397414,1321879,12416,3,380962,692,3344
岐阜県,469809,1606980,732,4,284881,883,183313
静岡県,723873,2220973,9191,6,478956,963,234763
愛知県,1891595,5029413,45331,23,1813482,3531,29251
三重県,384742,993801,10378,7,226621,739,147004
滋賀県,330377,1178421,5665,8,225722,496,98494
京都府,614879,1422110,13529,74,459222,1326,140802
大阪府,2601938,11414772,80122,75,2032077,7274,482465
兵庫県,1308974,2465506,13975,29,986750,3277,304972
奈良県,309367,889936,30146,19,195268,679,83274
和歌山県,203351,319456,257,7,129448,398,73248
鳥取県,117531,991874,9326,0,44778,173,63254
島根県,143475,466454,5180,0,136482,201,1612
岡山県,422896,1045577,21616,13,375427,619,25234
広島県,687794,3256361,16589,12,409656,1043,260506
山口県,261216,1055687,3206,5,158495,566,98949
徳島県,139056,401034,1541,2,90741,296,46478
香川県,216216,498259,3268,2,138120,459,74369
愛媛県,267463,841854,4031,6,156705,463,106264
高知県,144144,494109,5159,7,94023,437,44525
福岡県,1417980,3918607,30860,16,1029285,2417,355418
佐賀県,230432,377021,13118,2,125171,361,91782
長崎県,293230,980866,23760,0,177499,442,91529
熊本県,472547,540288,8043,29,320699,937,142868
大分県,262305,1009928,2482,3,172076,509,87238
宮崎県,276918,238860,4056,3,189320,534,83008
鹿児島県,383255,854437,8501,10,286186,630,87938
沖縄県,551014,1319269,7870,5,494076,837,48231
