都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1344082,3964610,17365,4,717238,4565,604914
青森県,280259,415661,4158,0,151129,648,124324
岩手県,235238,723134,3163,1,103563,617,127895
宮城県,538715,1326773,21129,3,204624,958,312004
秋田県,200815,81563,8345,0,89825,600,102045
山形県,227877,376073,6491,1,90443,363,130580
福島県,405950,1156057,3568,1,180682,850,220850
茨城県,637702,2491785,19588,1,301424,1293,315397
栃木県,423544,1288403,5251,0,215803,1076,201414
群馬県,441092,1279876,7729,1,225131,1095,207137
埼玉県,1800194,5305024,17405,2,1160893,3977,617919
千葉県,1465155,3896640,15862,2,904076,3923,541294
東京都,4346526,12309001,47153,3,3093983,8067,1197323
神奈川県,2219574,7278606,3255,7,1450734,4311,761274
新潟県,458855,1347957,6347,1,223993,445,228070
富山県,237248,509578,3070,0,123822,315,110041
石川県,279214,763788,3844,0,155716,509,119145
福井県,200547,613941,1809,0,110918,196,87624
山梨県,191150,824620,1155,0,93672,415,95908
長野県,460750,1510486,1344,0,459193,877,664
岐阜県,542726,1875418,44,0,284881,1116,256685
静岡県,867375,2593494,8059,0,478956,1403,378957
愛知県,2111304,5909870,2568,2,2103387,4322,1027
三重県,460920,1191912,10052,0,226621,1047,223200
滋賀県,374048,1393711,5222,0,225722,676,142428
京都府,678068,1595092,12788,5,459222,1658,204400
大阪府,2831052,13026849,14964,6,2032077,8500,775511
兵庫県,1468763,2465506,12824,3,986750,3885,465304
奈良県,346426,1035869,29824,1,195268,873,120461
和歌山県,239636,319456,40,1,129448,523,109625
鳥取県,142575,1169750,9163,0,44778,265,88369
島根県,168859,548079,362,0,168116,300,81
岡山県,491512,1254240,659,1,489229,855,769
広島県,803576,3357572,15808,2,409656,1365,376747
山口県,314819,1229898,2882,1,158495,751,152691
徳島県,167066,468903,1300,0,90741,421,74604
香川県,253138,577503,2596,1,138120,619,111803
愛媛県,316787,1003995,3703,2,156705,695,155684
高知県,169444,494109,4975,0,94023,600,69846
福岡県,1587116,3918607,26403,1,1029285,3189,528239
佐賀県,261191,377021,12726,1,125171,493,122801
長崎県,336915,1184008,21230,0,177499,646,137540
熊本県,535301,540288,6763,0,320699,1310,206529
大分県,303724,1009928,2094,0,172076,774,128780
宮崎県,320412,238860,3745,0,189320,776,126571
鹿児島県,442717,946645,385,1,286186,886,155260
沖縄県,578274,1442542,733,0,494076,1012,82453
