"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",955632,18701,717238,2938,10,216755,3532894,"JP-01"
"Aomori","青森県",181310,4400,151129,351,2,25430,415661,"JP-02"
"Iwate","岩手県",135575,3353,103563,224,2,28435,521177,"JP-03"
"Miyagi","宮城県",316905,22059,204624,452,7,89770,1004377,"JP-04"
"Akita","秋田県",127779,8771,89825,292,3,28891,77609,"JP-05"
"Yamagata","山形県",144105,6749,90443,234,1,46679,314067,"JP-06"
"Fukushima","福島県",233593,3568,180682,319,2,49024,1156057,"JP-07"
"Ibaraki","茨城県",407906,20395,301424,740,7,85347,1985898,"JP-08"
"Tochigi","栃木県",258202,5547,215803,550,7,36302,1020269,"JP-09"
"Gunma","群馬県",273760,8256,225131,543,4,39830,977067,"JP-10"
"Saitama","埼玉県",1296129,18681,1160893,2527,19,114028,4221652,"JP-11"
"Chiba","千葉県",1027656,16600,904076,2689,5,104291,3068485,"JP-12"
"Tokyo","東京都",3383921,50870,3093983,6071,23,232997,9977661,"JP-13"
"Kanagawa","神奈川県",1618067,31919,1450734,3103,32,132311,5240308,"JP-14"
"Niigata","新潟県",279968,6609,223993,186,4,49180,1048958,"JP-15"
"Toyama","富山県",152033,3306,123822,191,1,24714,386456,"JP-16"
"Ishikawa","石川県",186227,3993,155716,304,2,26214,763788,"JP-17"
"Fukui","福井県",129074,2010,110918,104,0,16042,486909,"JP-18"
"Yamanashi","山梨県",113175,1525,93672,175,0,17803,599588,"JP-19"
"Nagano","長野県",271769,16962,250853,393,1,3561,1153563,"JP-20"
"Gifu","岐阜県",335098,549,284881,655,1,49013,1400879,"JP-21"
"Shizuoka","静岡県",545345,8375,478956,795,0,57219,1984119,"JP-22"
"Aichi","愛知県",1480091,28714,1434003,3015,16,14359,4412937,"JP-23"
"Mie","三重県",282463,10181,226621,561,1,45100,897859,"JP-24"
"Shiga","滋賀県",257793,5415,225722,372,4,26284,1030482,"JP-25"
"Kyoto","京都府",507154,13146,459222,1140,31,33646,1276030,"JP-26"
"Osaka","大阪府",2223906,41427,2032077,6668,26,143734,10395398,"JP-27"
"Hyogo","兵庫県",1073938,13280,986750,2950,11,70958,2465506,"JP-28"
"Nara","奈良県",245637,29947,195268,567,9,19855,795075,"JP-29"
"Wakayama","和歌山県",150456,227,129448,278,3,20503,319456,"JP-30"
"Tottori","鳥取県",74514,9245,44778,94,0,20397,807366,"JP-31"
"Shimane","島根県",97416,3438,93146,102,1,730,395495,"JP-32"
"Okayama","岡山県",309370,6421,294248,436,2,8265,937285,"JP-33"
"Hiroshima","広島県",492663,16223,409656,802,3,65982,2901046,"JP-34"
"Yamaguchi","山口県",185924,3054,158495,409,1,23966,881730,"JP-35"
"Tokushima","徳島県",102646,1426,90741,191,1,10288,359219,"JP-36"
"Kagawa","香川県",160000,2754,138120,315,1,18811,440890,"JP-37"
"Ehime","愛媛県",182644,3882,156705,308,3,21749,697264,"JP-38"
"Kochi","高知県",108220,5047,94023,312,0,8838,494109,"JP-39"
"Fukuoka","福岡県",1137600,27058,1029285,2056,6,79201,3918607,"JP-40"
"Saga","佐賀県",169335,12836,125171,245,0,31083,377021,"JP-41"
"Nagasaki","長崎県",228584,21607,177499,339,0,29139,840539,"JP-42"
"Kumamoto","熊本県",355374,7108,320699,670,4,26897,540288,"JP-43"
"Oita","大分県",190830,2189,172076,400,0,16165,975064,"JP-44"
"Miyazaki","宮崎県",208887,3829,189320,395,2,15343,238860,"JP-45"
"Kagoshima","鹿児島県",314041,1594,286186,553,1,25708,769592,"JP-46"
"Okinawa","沖縄県",513932,2279,494076,812,4,16765,1242891,"JP-47"
