都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1339970,3964610,17364,4,717238,4554,600814
青森県,279514,415661,4151,0,151129,645,123589
岩手県,234613,716978,3155,0,103563,616,127279
宮城県,537420,1313998,21167,3,204624,955,310674
秋田県,200191,81563,8351,1,89825,596,101419
山形県,226957,374805,6500,0,90443,360,129654
福島県,404645,1156057,3568,2,180682,848,219547
茨城県,636781,2491785,19577,2,301424,1291,314489
栃木県,422374,1279502,5261,0,215803,1070,200240
群馬県,440111,1269907,7741,1,225131,1093,206146
埼玉県,1797234,5271612,17419,2,1160893,3956,614966
千葉県,1462159,3849699,15915,3,904076,3912,538256
東京都,4337711,12210116,47143,2,3093983,8055,1188530
神奈川県,2215129,7190474,2625,4,1450734,4295,757475
新潟県,457096,1335548,6352,0,223993,440,226311
富山県,236714,505807,3082,0,123822,313,109497
石川県,278490,763788,3836,0,155716,509,118429
福井県,199888,611698,1813,0,110918,196,86961
山梨県,190469,822767,1149,0,93672,412,95236
長野県,459012,1499968,1476,2,457232,870,566
岐阜県,541456,1857968,92,1,284881,1113,255370
静岡県,866040,2572684,8091,0,478956,1395,377598
愛知県,2107866,5855472,2543,1,2099984,4311,1028
三重県,460003,1186034,10039,0,226621,1042,222301
滋賀県,373433,1385046,5225,1,225722,675,141811
京都府,676818,1585183,12808,12,459222,1654,203134
大阪府,2826992,12929551,14761,6,2032077,8473,771681
兵庫県,1466417,2465506,12812,3,986750,3869,462986
奈良県,345842,1028764,29827,1,195268,866,119881
和歌山県,238960,319456,30,1,129448,522,108960
鳥取県,142068,1162736,9155,0,44778,263,87872
島根県,168429,544639,453,1,167587,299,90
岡山県,490745,1247165,593,2,488643,853,656
広島県,801235,3354251,15806,1,409656,1359,374414
山口県,314131,1217831,2891,0,158495,749,151996
徳島県,166720,465072,1312,0,90741,420,74247
香川県,252504,573570,2581,1,138120,618,111185
愛媛県,316309,996992,3725,3,156705,694,155185
高知県,169259,494109,4978,0,94023,597,69661
福岡県,1584898,3918607,26419,4,1029285,3182,526012
佐賀県,260884,377021,12709,0,125171,492,122512
長崎県,336481,1173450,21276,1,177499,645,137061
熊本県,534628,540288,6759,1,320699,1305,205865
大分県,303230,1009928,2098,0,172076,772,128284
宮崎県,319998,238860,3745,0,189320,776,126157
鹿児島県,441893,944497,504,1,286186,884,154319
沖縄県,577578,1435601,718,1,494076,1011,81773
