"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",352592,21679,329383,2054,5,524,2226336,"JP-01"
"Aomori","青森県",55612,2355,53153,104,0,0,243369,"JP-02"
"Iwate","岩手県",33843,2650,31104,89,0,0,275664,"JP-03"
"Miyagi","宮城県",85276,3737,80956,195,1,388,574010,"JP-04"
"Akita","秋田県",29950,1501,28383,66,0,0,61683,"JP-05"
"Yamagata","山形県",27941,1862,25986,93,0,0,193206,"JP-06"
"Fukushima","福島県",62538,3568,58750,220,0,0,817462,"JP-07"
"Ibaraki","茨城県",157140,3030,153674,436,1,0,1240444,"JP-08"
"Tochigi","栃木県",90110,3101,86737,272,3,0,744355,"JP-09"
"Gunma","群馬県",93340,2976,90045,319,2,0,638434,"JP-10"
"Saitama","埼玉県",546035,9588,534866,1581,2,0,2807490,"JP-11"
"Chiba","千葉県",446462,6831,435965,1774,4,1892,2076474,"JP-12"
"Tokyo","東京都",1529320,40015,1484831,4474,3,0,6803139,"JP-13"
"Kanagawa","神奈川県",747515,13198,732130,2187,9,0,2180686,"JP-14"
"Niigata","新潟県",70480,3511,66878,91,1,0,642863,"JP-15"
"Toyama","富山県",36788,2337,34358,93,1,0,245784,"JP-16"
"Ishikawa","石川県",54361,3786,50357,195,1,23,437496,"JP-17"
"Fukui","福井県",34301,1743,32513,45,0,0,321797,"JP-18"
"Yamanashi","山梨県",31872,944,30867,68,0,7,318457,"JP-19"
"Nagano","長野県",72204,2921,68945,193,0,145,716541,"JP-20"
"Gifu","岐阜県",99014,4692,93451,331,0,540,874232,"JP-21"
"Shizuoka","静岡県",167185,7891,158446,408,0,440,1231686,"JP-22"
"Aichi","愛知県",532061,18367,511641,2053,5,0,2685021,"JP-23"
"Mie","三重県",80902,3182,79337,300,0,1917,507221,"JP-24"
"Shiga","滋賀県",89413,2825,86369,219,0,0,629154,"JP-25"
"Kyoto","京都府",201041,7700,191850,713,5,778,824013,"JP-26"
"Osaka","大阪府",965005,28967,931007,5031,17,0,7010529,"JP-27"
"Hyogo","兵庫県",418878,11472,405177,2229,4,0,1547328,"JP-28"
"Nara","奈良県",91697,3873,87439,385,0,0,511131,"JP-29"
"Wakayama","和歌山県",41560,1326,39908,117,0,209,171562,"JP-30"
"Tottori","鳥取県",14723,997,13514,20,1,192,391668,"JP-31"
"Shimane","島根県",16637,933,15689,15,0,0,210439,"JP-32"
"Okayama","岡山県",96185,5287,85600,247,0,5051,568423,"JP-33"
"Hiroshima","広島県",152825,10765,141576,484,0,0,1847128,"JP-34"
"Yamaguchi","山口県",43502,2596,40731,175,1,0,567065,"JP-35"
"Tokushima","徳島県",21785,1101,20604,82,0,2,211433,"JP-36"
"Kagawa","香川県",47311,2608,44580,123,1,0,271969,"JP-37"
"Ehime","愛媛県",38746,1855,36752,139,3,0,352673,"JP-38"
"Kochi","高知県",27024,1986,24927,111,1,0,282783,"JP-39"
"Fukuoka","福岡県",419037,15241,395470,1248,2,7078,2652135,"JP-40"
"Saga","佐賀県",51674,2112,47122,105,0,2335,273092,"JP-41"
"Nagasaki","長崎県",54304,3545,53560,124,1,2925,374469,"JP-42"
"Kumamoto","熊本県",96243,5892,90063,288,3,0,277559,"JP-43"
"Oita","大分県",52916,2737,50019,160,1,0,578522,"JP-44"
"Miyazaki","宮崎県",51549,3940,47544,141,1,76,188225,"JP-45"
"Kagoshima","鹿児島県",80667,4665,75256,194,0,552,407447,"JP-46"
"Okinawa","沖縄県",209094,15885,192711,459,11,39,827447,"JP-47"
