"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns"
"Hokkaido","北海道",966,432,472,62,24,0
"Aomori","青森県",27,6,21,0,0,0
"Iwate","岩手県",0,0,0,0,0,0
"Miyagi","宮城県",88,7,80,1,0,0
"Akita","秋田県",16,1,15,0,0,0
"Yamagata","山形県",69,11,58,0,2,0
"Fukushima","福島県",81,29,52,0,"-",0
"Ibaraki","茨城県",168,66,93,9,2,17
"Tochigi","栃木県",56,24,32,0,5,6
"Gunma","群馬県",147,58,71,18,2,0
"Saitama","埼玉県",970,285,642,43,9,0
"Chiba","千葉県",885,303,542,40,12,0
"Tokyo","東京都",4987,1890,2901,196,56,0
"Kanagawa","神奈川県",1193,404,732,57,34,0
"Niigata","新潟県",82,32,50,0,0,1
"Toyama","富山県",221,101,105,15,2,0
"Ishikawa","石川県",283,114,150,19,4,0
"Fukui","福井県",122,18,96,8,2,0
"Yamanashi","山梨県",56,7,49,0,1,0
"Nagano","長野県",75,25,50,"-",2,0
"Gifu","岐阜県",150,17,127,6,1,0
"Shizuoka","静岡県",73,15,57,1,2,0
"Aichi","愛知県",495,92,369,34,4,0
"Mie","三重県",45,10,34,1,0,0
"Shiga","滋賀県",97,24,72,1,1,0
"Kyoto","京都府",352,88,251,13,3,0
"Osaka","大阪府",1750,588,1101,61,50,1
"Hyogo","兵庫県",694,148,512,34,20,0
"Nara","奈良県",90,20,68,2,0,0
"Wakayama","和歌山県",63,11,49,3,0,1
"Tottori","鳥取県",3,2,1,0,0,0
"Shimane","島根県",24,12,12,0,1,0
"Okayama","岡山県",25,7,18,"-","-",1
"Hiroshima","広島県",165,74,89,2,3,0
"Yamaguchi","山口県",37,4,33,"-","-",0
"Tokushima","徳島県",5,0,4,1,0,0
"Kagawa","香川県",28,7,21,0,0,0
"Ehime","愛媛県",48,6,39,3,0,0
"Kochi","高知県",74,6,65,3,0,0
"Fukuoka","福岡県",655,154,477,24,11,1
"Saga","佐賀県",45,22,23,0,0,2
"Nagasaki","長崎県",17,2,14,1,0,0
"Kumamoto","熊本県",48,21,24,3,2,0
"Oita","大分県",60,5,54,1,0,0
"Miyazaki","宮崎県",17,5,12,"-",0,0
"Kagoshima","鹿児島県",11,3,8,0,0,0
"Okinawa","沖縄県",142,30,106,6,4,0
