都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,787564,3245049,17850,0,717238,2655,49821
青森県,162172,415661,4281,1,151129,310,6452
岩手県,113665,476119,3217,0,103563,198,6687
宮城県,271049,937359,21448,0,204624,404,44573
秋田県,107382,76055,8543,1,89825,240,8774
山形県,114869,295465,6594,0,90443,198,17634
福島県,197342,1156057,3568,0,180682,286,12806
茨城県,375742,1815549,19860,0,301424,704,53754
栃木県,232318,978615,5333,1,215803,513,10669
群馬県,246008,919928,8031,1,225131,489,12357
埼玉県,1217214,4040507,17901,7,1160893,2453,35967
千葉県,969196,2941588,16172,3,904076,2615,46333
東京都,3225097,9582658,48355,9,3093983,5947,76812
神奈川県,1521108,4890086,12326,19,1450734,3026,55022
新潟県,244003,983758,6404,0,223993,170,13436
富山県,135316,374942,3199,1,123822,181,8114
石川県,168514,763788,3911,1,155716,290,8597
福井県,118070,464610,1873,0,110918,101,5178
山梨県,99448,553533,1253,1,93672,162,4361
長野県,221624,1063994,5857,1,214776,361,630
岐阜県,304107,1328405,4981,0,284881,604,13641
静岡県,507268,1878055,8225,5,478956,758,19329
愛知県,1389242,4231747,10099,5,1374881,2913,1349
三重県,262044,855649,10137,1,226621,545,24741
滋賀県,240564,988331,5289,0,225722,341,9212
京都府,485567,1230351,12884,11,459222,1108,12353
大阪府,2136299,9959545,28526,18,2032077,6541,69155
兵庫県,1024697,2465506,12996,5,986750,2903,22048
奈良県,232589,758265,29860,0,195268,546,6915
和歌山県,138010,319456,122,0,129448,254,8186
鳥取県,66006,741132,9203,0,44778,83,11942
島根県,86335,373118,1382,0,84505,98,350
岡山県,285054,879946,3440,4,277139,415,4060
広島県,444681,2780898,15993,1,409656,772,18260
山口県,169905,850137,2973,2,158495,395,8042
徳島県,95872,340996,1329,1,90741,177,3625
香川県,146295,416258,2594,1,138120,301,5280
愛媛県,167243,650766,3760,2,156705,289,6489
高知県,102709,494109,5032,1,94023,303,3351
福岡県,1096016,3918607,26778,3,1029285,2003,37950
佐賀県,160712,377021,12767,0,125171,230,22544
長崎県,216934,784912,21361,3,177499,333,17741
熊本県,337813,540288,6930,2,320699,654,9530
大分県,180397,923001,2156,1,172076,388,5777
宮崎県,199802,238860,3802,1,189320,378,6302
鹿児島県,304951,753699,1310,0,286186,548,16907
沖縄県,506011,1212857,2938,3,494076,763,8234
