都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,973645,3566700,18709,10,717238,2977,234721
青森県,183575,415661,4400,1,151129,357,27689
岩手県,138013,527535,3345,2,103563,230,30875
宮城県,322863,1012243,22153,5,204624,458,95628
秋田県,129964,77609,8757,2,89825,295,31087
山形県,146859,315550,6734,0,90443,238,49444
福島県,237687,1156057,3568,2,180682,324,53113
茨城県,412346,1985898,20409,9,301424,744,89769
栃木県,261174,1025719,5569,5,215803,558,39244
群馬県,277051,986012,8274,6,225131,553,43093
埼玉県,1305428,4240994,18627,16,1160893,2537,123371
千葉県,1034189,3103835,16704,6,904076,2698,110711
東京都,3401968,10017500,51131,22,3093983,6086,250768
神奈川県,1629692,5281678,35205,28,1450734,3109,140644
新潟県,284397,1056751,6653,5,223993,191,53560
富山県,153900,396722,3331,0,123822,191,26556
石川県,188144,763788,4019,2,155716,305,28104
福井県,130314,486909,2004,0,110918,104,17288
山梨県,114920,599588,1560,0,93672,176,19512
長野県,277547,1158830,17864,2,256880,395,2408
岐阜県,338456,1410138,620,1,284881,659,52296
静岡県,549479,1991218,8379,1,478956,795,61349
愛知県,1490814,4431888,32390,19,1444610,3028,10786
三重県,284985,897859,10204,1,226621,564,47596
滋賀県,259421,1034405,5442,5,225722,373,27884
京都府,509480,1283303,13213,27,459222,1141,35904
大阪府,2231936,10436510,41738,28,2032077,6680,151441
兵庫県,1078587,2465506,13317,11,986750,2956,75564
奈良県,247045,798676,29945,9,195268,569,21263
和歌山県,151521,319456,228,1,129448,278,21567
鳥取県,75360,812495,9249,0,44778,96,21237
島根県,98413,403929,3585,1,94227,106,495
岡山県,311902,937285,6421,2,294248,440,10793
広島県,498351,2919519,16268,6,409656,818,71609
山口県,187138,891635,3040,0,158495,411,25192
徳島県,103367,362041,1423,0,90741,192,11011
香川県,161053,443796,2762,1,138120,315,19856
愛媛県,184032,699086,3884,2,156705,309,23134
高知県,108802,494109,5050,1,94023,312,9417
福岡県,1142170,3918607,27124,5,1029285,2064,83697
佐賀県,170293,377021,12851,1,125171,250,32021
長崎県,229665,845613,21595,1,177499,340,30231
熊本県,356943,540288,7155,5,320699,673,28416
大分県,191906,981600,2191,0,172076,400,17239
宮崎県,209668,238860,3830,2,189320,396,16122
鹿児島県,314941,771173,1717,2,286186,555,26483
沖縄県,514623,1248672,2257,5,494076,812,17478
