都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,755093,3130701,17767,3,717238,2594,17494
青森県,157988,415661,4279,0,151129,302,2278
岩手県,109584,461810,3241,1,103563,195,2585
宮城県,262088,914051,21411,3,204624,396,35657
秋田県,101874,75365,8541,2,89825,228,3280
山形県,107794,289500,6596,0,90443,195,10560
福島県,189005,1156057,3568,0,180682,260,4495
茨城県,366549,1815549,20053,5,301424,690,44382
栃木県,226035,962222,5431,1,215803,494,4307
群馬県,238618,898772,8083,1,225131,471,4933
埼玉県,1196719,3968562,18027,6,1160893,2404,15395
千葉県,952431,2877602,16504,4,904076,2582,29269
東京都,3182331,9423737,48983,14,3093983,5867,33498
神奈川県,1495661,4754406,18614,21,1450734,2977,23336
新潟県,235730,960641,6456,2,223993,163,5118
富山県,130418,356326,3195,0,123822,177,3224
石川県,163130,763788,3930,1,155716,284,3200
福井県,115055,455127,1902,0,110918,98,2137
山梨県,96566,532573,1231,0,93672,154,1509
長野県,210578,1033381,5255,2,204567,349,407
岐阜県,295982,1303760,4981,0,284881,591,5529
静岡県,495611,1832026,8278,3,478956,749,7628
愛知県,1368611,4139442,15235,7,1349033,2872,1471
三重県,255471,834194,10169,2,226621,532,18149
滋賀県,235255,971547,5339,0,225722,324,3870
京都府,479145,1211794,12915,16,459222,1068,5940
大阪府,2104992,9768630,31957,28,2032077,6462,34496
兵庫県,1010557,2465506,13086,5,986750,2864,7857
奈良県,228355,742320,29896,1,195268,531,2660
和歌山県,134129,319456,90,1,129448,252,4339
鳥取県,63648,718256,9215,0,44778,77,9578
島根県,83324,363782,1321,0,81588,94,321
岡山県,276846,861681,6642,5,266592,410,3202
広島県,431756,2757315,16021,4,409656,758,5321
山口県,165353,834465,2955,1,158495,389,3514
徳島県,93690,329256,1348,0,90741,175,1426
香川県,143346,407751,2685,5,138120,295,2246
愛媛県,163260,633724,3770,1,156705,289,2496
高知県,100785,494109,5042,1,94023,296,1424
福岡県,1082719,3918607,27238,4,1029285,1966,24230
佐賀県,158179,377021,12822,1,125171,226,19960
長崎県,213447,760398,21489,3,177499,330,14129
熊本県,332094,540288,7001,2,320699,644,3750
大分県,176850,901703,2172,2,172076,373,2229
宮崎県,196564,238860,3841,3,189320,364,3039
鹿児島県,300597,745839,2059,0,286186,543,11809
沖縄県,501700,1190545,3019,6,494076,729,3876
