都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1306002,3964610,17949,7,717238,4386,566429
青森県,273001,415661,4384,4,151129,616,116872
岩手県,225213,657853,3234,1,103563,569,117847
宮城県,517132,1219124,21553,6,204624,882,290073
秋田県,193539,81563,8622,1,89825,553,94539
山形県,217925,357380,6608,0,90443,342,120532
福島県,386827,1156057,3568,1,180682,569,202008
茨城県,615366,1985898,20446,20,301424,1189,292307
栃木県,404119,1192963,5611,10,215803,962,181743
群馬県,424859,1184772,8095,9,225131,990,190643
埼玉県,1754901,4975223,18723,30,1160893,3544,571741
千葉県,1424262,3586421,18063,29,904076,3495,498628
東京都,4262577,11460571,50315,30,3093983,7585,1110694
神奈川県,2162942,6498499,26040,36,1450734,3971,682197
新潟県,437656,1240429,6552,1,223993,364,206747
富山県,226762,468409,3321,3,123822,297,99322
石川県,268662,763788,3990,1,155716,469,108487
福井県,192832,564408,2006,2,110918,183,79725
山梨県,182272,756196,1345,1,93672,343,86912
長野県,435726,1387724,7983,1,427365,794,416
岐阜県,518910,1712805,513,2,284881,1018,232498
静岡県,827931,2368870,8931,11,478956,1240,338804
愛知県,2048324,5334974,30015,39,2007992,3967,6350
三重県,439511,1080771,10301,4,226621,927,201662
滋賀県,360288,1239552,5556,1,225722,614,128396
京都府,659112,1495676,13280,45,459222,1523,185087
大阪府,2763508,11998491,45767,85,2032077,7956,677708
兵庫県,1434367,2465506,13516,15,986750,3598,430503
奈良県,335171,948298,30048,10,195268,773,109082
和歌山県,228694,319456,207,9,129448,472,98567
鳥取県,134447,1078378,9266,0,44778,237,80166
島根県,159219,503752,2443,0,156222,265,289
岡山県,472693,1132746,10641,13,457083,770,4199
広島県,770809,3293865,16259,10,409656,1237,343657
山口県,297680,1133706,3113,0,158495,678,135394
徳島県,157342,426246,1430,5,90741,375,64796
香川県,241707,529647,2902,5,138120,554,100131
愛媛県,301084,921568,3939,2,156705,613,139827
高知県,158952,494109,5103,4,94023,539,59287
福岡県,1542619,3918607,28754,19,1029285,2941,481639
佐賀県,253833,377021,12923,4,125171,443,115296
長崎県,325734,1059701,22723,2,177499,570,124942
熊本県,519668,540288,7384,24,320699,1186,190399
大分県,292018,1009928,2315,2,172076,651,116976
宮崎県,311205,238860,3926,4,189320,714,117245
鹿児島県,426437,915947,4015,10,286186,802,135434
沖縄県,570374,1367319,3308,4,494076,873,72117
