都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1352324,3964610,17380,2,717238,4585,613121
青森県,281860,415661,4169,0,151129,656,125906
岩手県,236527,733854,3179,1,103563,620,129165
宮城県,541272,1346309,21136,0,204624,963,314549
秋田県,202151,81563,8345,0,89825,603,103378
山形県,229579,378952,6471,0,90443,365,132300
福島県,408204,1156057,3568,0,180682,852,223102
茨城県,640348,2491785,19606,0,301424,1298,318020
栃木県,425679,1305230,5249,3,215803,1081,203546
群馬県,442952,1296903,7774,2,225131,1103,208944
埼玉県,1807130,5362105,17417,2,1160893,3995,624825
千葉県,1471649,3938748,15837,0,904076,3934,547802
東京都,4365703,12465453,47413,4,3093983,8091,1216216
神奈川県,2229104,7412301,4160,5,1450734,4324,769886
新潟県,462242,1371845,6370,1,223993,450,231429
富山県,238719,515319,3086,0,123822,320,111491
石川県,281125,763788,3882,0,155716,518,121009
福井県,201816,619260,1826,0,110918,200,88872
山梨県,192518,830928,1152,0,93672,418,97276
長野県,464179,1531055,1682,0,462197,881,581
岐阜県,545157,1899842,78,1,284881,1119,259079
静岡県,870228,2625221,8053,0,478956,1406,381813
愛知県,2117971,5984116,2927,3,2109614,4340,1090
三重県,462463,1208122,10035,0,226621,1059,224748
滋賀県,375334,1407569,5221,0,225722,678,143713
京都府,681442,1611956,12828,16,459222,1666,207726
大阪府,2840869,13212622,16749,7,2032077,8538,783505
兵庫県,1473253,2465506,12821,0,986750,3904,469778
奈良県,348010,1048012,29835,0,195268,877,122030
和歌山県,240624,319456,22,2,129448,529,110625
鳥取県,143334,1183625,9152,0,44778,267,89137
島根県,169418,557509,287,0,168785,301,45
岡山県,492833,1272633,616,1,490984,856,377
広島県,807888,3363112,15836,2,409656,1370,381026
山口県,315989,1241438,2883,0,158495,756,153855
徳島県,167715,474793,1294,0,90741,421,75259
香川県,254336,584530,2565,1,138120,625,113026
愛媛県,318031,1022428,3716,2,156705,696,156914
高知県,169824,494109,4976,0,94023,600,70225
福岡県,1591712,3918607,26443,0,1029285,3195,532789
佐賀県,261823,377021,12718,0,125171,495,123439
長崎県,337741,1199641,21257,0,177499,646,138339
熊本県,536500,540288,6752,2,320699,1314,207735
大分県,304714,1009928,2095,0,172076,777,129766
宮崎県,321077,238860,3752,0,189320,777,127228
鹿児島県,443866,949598,271,0,286186,893,156516
沖縄県,580517,1453385,1327,2,494076,1014,84100
