都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1334259,3964610,17387,2,717238,4537,595097
青森県,278132,415661,4199,0,151129,640,122164
岩手県,233659,703609,3163,0,103563,609,126324
宮城県,534488,1291505,21204,4,204624,938,307722
秋田県,199264,81563,8407,2,89825,588,100444
山形県,225209,370315,6471,0,90443,355,127940
福島県,401526,1156057,3568,2,180682,830,216446
茨城県,634624,1985898,19627,1,301424,1281,312292
栃木県,420186,1259700,5285,2,215803,1058,198040
群馬県,438111,1249330,7792,2,225131,1080,204108
埼玉県,1791601,5199486,17532,6,1160893,3906,609270
千葉県,1457171,3796186,15968,6,904076,3879,533248
東京都,4325291,12029915,47214,7,3093983,8002,1176092
神奈川県,2208371,7015846,3193,9,1450734,4255,750189
新潟県,453076,1308336,6383,2,223993,433,222267
富山県,235724,497201,3100,1,123822,313,108489
石川県,277271,763788,3852,0,155716,501,117202
福井県,198972,602544,1814,0,110918,196,86044
山梨県,189395,818639,1161,0,93672,402,94160
長野県,455225,1472617,1899,1,453115,862,651
岐阜県,538909,1826238,126,2,284881,1103,252799
静岡県,862981,2521699,8152,0,478956,1376,374497
愛知県,2101076,5747846,3658,4,2091992,4290,1136
三重県,458057,1160021,10060,1,226621,1039,220337
滋賀県,372201,1365058,5257,1,225722,669,140553
京都府,674658,1566077,12805,15,459222,1648,200983
大阪府,2819806,12718667,15695,13,2032077,8411,763623
兵庫県,1462128,2465506,12873,8,986750,3800,458705
奈良県,344541,1011642,29837,1,195268,858,118578
和歌山県,237695,319456,46,1,129448,516,107685
鳥取県,140897,1141849,9168,0,44778,260,86691
島根県,167103,536252,660,0,166042,296,105
岡山県,489107,1214527,986,4,486837,839,445
広島県,796623,3340032,15820,2,409656,1347,369800
山口県,312232,1203138,2919,1,158495,741,150077
徳島県,165721,456679,1343,0,90741,413,73224
香川県,251435,564142,2592,1,138120,613,110110
愛媛県,314750,981028,3737,1,156705,687,153621
高知県,168508,494109,5001,1,94023,586,68898
福岡県,1580546,3918607,26601,2,1029285,3165,521495
佐賀県,260280,377021,12748,1,125171,489,121872
長崎県,335417,1149310,21335,1,177499,636,135947
熊本県,532762,540288,6874,0,320699,1292,203897
大分県,302077,1009928,2148,1,172076,763,127090
宮崎県,319119,238860,3763,0,189320,774,125262
鹿児島県,439907,939535,751,0,286186,879,152091
沖縄県,576269,1420359,789,1,494076,1001,80403
