"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",138579,31704,106139,1612,8,876,1550505,"JP-01"
"Aomori","青森県",15416,3720,11648,48,0,0,144895,"JP-02"
"Iwate","岩手県",6863,1693,5115,55,1,0,162997,"JP-03"
"Miyagi","宮城県",30719,6315,23890,125,10,389,350944,"JP-04"
"Akita","秋田県",6752,1874,4849,29,0,0,38941,"JP-05"
"Yamagata","山形県",8893,2568,6267,58,0,0,142194,"JP-06"
"Fukushima","福島県",19671,3551,15938,182,3,0,569389,"JP-07"
"Ibaraki","茨城県",55548,9192,46113,243,9,0,43645,"JP-08"
"Tochigi","栃木県",34893,7515,27234,144,7,0,598928,"JP-09"
"Gunma","群馬県",41957,7135,34600,222,8,0,454276,"JP-10"
"Saitama","埼玉県",244456,38483,204866,1107,62,0,2045397,"JP-11"
"Chiba","千葉県",211466,42054,165014,1128,22,3270,1510630,"JP-12"
"Tokyo","東京都",813264,169698,640249,3317,74,0,5117701,"JP-13"
"Kanagawa","神奈川県",356300,54614,300249,1437,96,0,2180686,"JP-14"
"Niigata","新潟県",23047,3809,19173,65,3,0,429845,"JP-15"
"Toyama","富山県",11617,3901,7661,55,1,0,168017,"JP-16"
"Ishikawa","石川県",18946,4444,14328,151,8,23,259060,"JP-17"
"Fukui","福井県",8648,1401,7209,38,1,0,181700,"JP-18"
"Yamanashi","山梨県",12844,2203,10609,38,1,6,173670,"JP-19"
"Nagano","長野県",25187,4330,19276,121,1,1460,474588,"JP-20"
"Gifu","岐阜県",41690,7178,33635,245,7,632,595597,"JP-21"
"Shizuoka","静岡県",67659,13229,54273,265,6,108,899739,"JP-22"
"Aichi","愛知県",242363,41065,199972,1326,38,0,1877309,"JP-23"
"Mie","三重県",32231,5856,27011,202,5,838,339392,"JP-24"
"Shiga","滋賀県",35933,8366,27449,118,4,0,391438,"JP-25"
"Kyoto","京都府",98887,23916,72674,331,109,1966,609774,"JP-26"
"Osaka","大阪府",512829,140444,369010,3375,718,0,5258136,"JP-27"
"Hyogo","兵庫県",201035,58448,141027,1573,49,13,1141457,"JP-28"
"Nara","奈良県",40828,12155,28487,186,22,0,369379,"JP-29"
"Wakayama","和歌山県",17839,3866,13766,82,7,125,105575,"JP-30"
"Tottori","鳥取県",4757,665,4015,5,1,72,228737,"JP-31"
"Shimane","島根県",5306,733,4566,7,0,0,97893,"JP-32"
"Okayama","岡山県",39634,6016,27673,167,11,5778,398255,"JP-33"
"Hiroshima","広島県",63211,21424,41484,303,18,0,1318963,"JP-34"
"Yamaguchi","山口県",17268,2336,14821,111,2,0,318320,"JP-35"
"Tokushima","徳島県",7298,1417,5815,71,1,5,143293,"JP-36"
"Kagawa","香川県",13004,2558,10379,55,3,12,182202,"JP-37"
"Ehime","愛媛県",13663,1944,11618,101,4,0,237724,"JP-38"
"Kochi","高知県",9288,2098,7142,48,11,0,159492,"JP-39"
"Fukuoka","福岡県",186576,52530,128948,753,18,4345,1859107,"JP-40"
"Saga","佐賀県",17988,3811,13240,46,2,891,170967,"JP-41"
"Nagasaki","長崎県",20460,5404,15464,91,1,499,259215,"JP-42"
"Kumamoto","熊本県",39801,7441,32183,177,16,0,178320,"JP-43"
"Oita","大分県",19305,3107,16108,90,0,0,389969,"JP-44"
"Miyazaki","宮崎県",15500,2432,13041,65,1,38,115190,"JP-45"
"Kagoshima","鹿児島県",24507,4678,19384,97,3,348,239582,"JP-46"
"Okinawa","沖縄県",90993,4910,85631,421,31,31,561931,"JP-47"
