都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1347847,3964610,17387,2,717238,4575,608647
青森県,280974,415661,4160,1,151129,651,125034
岩手県,235833,727733,3166,2,103563,618,128486
宮城県,539923,1336516,21147,1,204624,961,313191
秋田県,201424,81563,8349,0,89825,602,102648
山形県,228677,377422,6458,0,90443,363,131413
福島県,407054,1156057,3568,0,180682,851,221953
茨城県,639084,2491785,19623,1,301424,1297,316740
栃木県,424539,1296753,5253,0,215803,1079,202404
群馬県,441971,1288062,7741,0,225131,1100,207999
埼玉県,1803424,5333150,17424,2,1160893,3987,621120
千葉県,1468193,3917683,15802,3,904076,3928,544387
東京都,4355620,12383390,47342,4,3093983,8079,1206216
神奈川県,2224165,7349246,4017,6,1450734,4317,765097
新潟県,460426,1360188,6359,1,223993,447,229627
富山県,237797,512704,3092,1,123822,319,110564
石川県,280059,763788,3859,0,155716,514,119970
福井県,201162,616392,1826,0,110918,199,88219
山梨県,191926,828906,1167,0,93672,416,96671
長野県,462210,1520931,1261,0,460737,879,667
岐阜県,543881,1886637,69,0,284881,1119,257812
静岡県,868677,2610188,8056,0,478956,1406,380259
愛知県,2114564,5951072,2788,3,2106426,4326,1024
三重県,461639,1201545,10044,0,226621,1051,223923
滋賀県,374637,1400375,5229,0,225722,678,143008
京都府,679578,1603257,12827,7,459222,1661,205868
大阪府,2835498,13116659,15740,7,2032077,8523,779158
兵庫県,1470879,2465506,12827,0,986750,3898,467404
奈良県,347094,1042258,29825,0,195268,873,121128
和歌山県,240169,319456,39,3,129448,526,110156
鳥取県,143005,1177486,9152,0,44778,267,88808
島根県,169188,551292,342,0,168473,301,72
岡山県,492097,1266338,525,1,490459,856,257
広島県,805651,3360582,15832,2,409656,1367,378796
山口県,315354,1235584,2885,0,158495,753,153221
徳島県,167420,471750,1285,0,90741,421,74973
香川県,253707,581230,2572,1,138120,620,112395
愛媛県,317282,1015773,3698,1,156705,696,156183
高知県,169634,494109,4977,0,94023,600,70034
福岡県,1589237,3918607,26412,2,1029285,3192,530348
佐賀県,261524,377021,12730,0,125171,493,123130
長崎県,337344,1192235,21241,0,177499,646,137958
熊本県,535758,540288,6749,2,320699,1311,206999
大分県,304214,1009928,2092,0,172076,774,129272
宮崎県,320704,238860,3760,0,189320,777,126847
鹿児島県,443264,948125,291,0,286186,890,155897
沖縄県,579239,1447622,1017,0,494076,1013,83133
