都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1322701,3964610,17664,5,717238,4469,583330
青森県,276114,415661,4195,1,151129,637,120153
岩手県,230150,673699,3189,0,103563,596,122802
宮城県,527091,1251089,21379,6,204624,917,300171
秋田県,196976,81563,8433,1,89825,578,98140
山形県,221906,364163,6499,1,90443,351,124613
福島県,395448,1156057,3568,0,180682,797,210401
茨城県,628704,1985898,19908,11,301424,1257,306115
栃木県,414587,1223269,5459,6,215803,1020,192305
群馬県,433428,1214176,7909,4,225131,1041,199347
埼玉県,1779261,5079619,18038,19,1160893,3745,596585
千葉県,1447149,3668968,17026,14,904076,3736,522311
東京都,4303377,11729224,48288,17,3093983,7840,1153266
神奈川県,2193853,6747541,10511,13,1450734,4135,728473
新潟県,446196,1270158,6376,1,223993,414,215413
富山県,232451,481886,3194,1,123822,305,105130
石川県,274026,763788,3900,1,155716,485,113925
福井県,196692,585429,1903,0,110918,193,83678
山梨県,186594,779327,1217,0,93672,380,91325
長野県,447691,1431366,4002,1,442960,832,103
岐阜県,531739,1771410,299,3,284881,1074,245485
静岡県,852350,2443456,8628,2,478956,1326,363440
愛知県,2084642,5553627,12626,16,2063474,4174,4368
三重県,451783,1127045,10135,6,226621,1009,214018
滋賀県,368536,1320089,5349,1,225722,640,136825
京都府,669571,1528234,12986,25,459222,1599,195764
大阪府,2801701,12333319,27091,45,2032077,8266,734267
兵庫県,1449427,2465506,13145,5,986750,3743,445789
奈良県,341552,978579,29916,6,195268,820,115548
和歌山県,234675,319456,126,6,129448,504,104597
鳥取県,138151,1107591,9205,0,44778,252,83916
島根県,163828,516504,1274,1,161962,287,305
岡山県,483990,1172792,5335,5,474425,810,3420
広島県,787344,3317357,16007,4,409656,1300,360381
山口県,307230,1161330,3091,0,158495,720,144924
徳島県,162587,437589,1382,2,90741,397,70067
香川県,248480,545673,2775,3,138120,592,106993
愛媛県,309709,944838,3816,4,156705,661,148527
高知県,166245,494109,5077,2,94023,569,66576
福岡県,1568013,3918607,27394,6,1029285,3089,508245
佐賀県,258097,377021,12801,0,125171,470,119655
長崎県,332108,1102292,22108,2,177499,614,131887
熊本県,528496,540288,7004,8,320699,1254,199539
大分県,298671,1009928,2218,0,172076,738,123639
宮崎県,316702,238860,3838,1,189320,754,122790
鹿児島県,435156,929491,1854,1,286186,848,146268
沖縄県,574289,1394289,1440,2,494076,898,77875
