都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,852422,3379088,18187,7,717238,2745,114252
青森県,169486,415661,4334,0,151129,330,13693
岩手県,121651,499008,3264,0,103563,204,14620
宮城県,286182,967673,21578,1,204624,420,59560
秋田県,115487,76794,8594,2,89825,258,16810
山形県,126952,303603,6630,0,90443,211,29668
福島県,209996,1156057,3568,0,180682,304,25442
茨城県,387328,1815549,20022,4,301424,723,65159
栃木県,241680,996675,5392,3,215803,523,19962
群馬県,256512,946980,8090,3,225131,517,22774
埼玉県,1245921,4125102,17988,10,1160893,2496,64544
千葉県,991581,3002063,16219,2,904076,2649,68637
東京都,3282617,9771862,49091,16,3093983,6013,133530
神奈川県,1555642,5058043,16234,16,1450734,3068,85606
新潟県,256746,1014743,6447,1,223993,182,26124
富山県,142316,382075,3213,0,123822,184,15097
石川県,175613,763788,3924,2,155716,296,15677
福井県,121878,476717,1903,1,110918,104,8953
山梨県,104132,575851,1287,0,93672,170,9003
長野県,239499,1105578,9053,0,227692,373,2381
岐阜県,315515,1364444,318,0,284881,623,29693
静岡県,522217,1933383,8238,1,478956,769,34254
愛知県,1421800,4318177,14223,8,1396333,2967,8277
三重県,270046,877089,10111,0,226621,551,32763
滋賀県,247652,1007580,5347,3,225722,365,16218
京都府,493973,1251862,12952,13,459222,1122,20677
大阪府,2174778,10174121,32806,15,2032077,6617,103278
兵庫県,1046501,2465506,13125,9,986750,2917,43709
奈良県,238274,776223,29884,3,195268,560,12562
和歌山県,143493,319456,192,1,129448,264,13589
鳥取県,69552,769048,9211,0,44778,85,15478
島根県,90489,382811,1889,1,88044,99,457
岡山県,294686,909239,4261,2,285479,420,4526
広島県,462766,2862669,16063,0,409656,783,36264
山口県,176866,865151,2982,1,158495,397,14992
徳島県,98139,349458,1337,1,90741,185,5876
香川県,152471,428047,2694,0,138120,305,11352
愛媛県,173735,671685,3791,2,156705,289,12950
高知県,104887,494109,5018,0,94023,309,5537
福岡県,1112712,3918607,26673,2,1029285,2027,54727
佐賀県,163988,377021,12792,0,125171,238,25787
長崎県,221746,813972,21376,0,177499,339,22532
熊本県,345242,540288,6988,2,320699,659,16896
大分県,184727,950046,2169,1,172076,395,10087
宮崎県,203819,238860,3820,1,189320,387,10292
鹿児島県,309022,761180,1138,1,286186,550,21148
沖縄県,509954,1231565,2050,6,494076,789,13039
