都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1324095,3964610,17628,6,717238,4477,584752
青森県,276300,415661,4175,1,151129,637,120359
岩手県,230630,676784,3201,0,103563,597,123269
宮城県,527969,1255110,21376,5,204624,919,301050
秋田県,197232,81563,8422,1,89825,578,98407
山形県,222257,364635,6488,1,90443,352,124974
福島県,396045,1156057,3568,0,180682,801,210994
茨城県,629779,1985898,19861,9,301424,1261,307233
栃木県,415284,1229236,5442,5,215803,1028,193011
群馬県,434005,1219728,7875,3,225131,1049,199950
埼玉県,1780848,5093876,17885,17,1160893,3772,598298
千葉県,1448594,3698650,16592,10,904076,3757,524169
東京都,4306103,11761568,48125,16,3093983,7867,1156128
神奈川県,2196019,6779512,8997,12,1450734,4166,732122
新潟県,446931,1273995,6374,1,223993,420,216144
富山県,232941,483639,3196,1,123822,305,105618
石川県,274506,763788,3893,3,155716,485,114412
福井県,197012,585429,1894,0,110918,193,84007
山梨県,186920,779327,1202,0,93672,382,91664
長野県,448598,1434646,3514,1,444663,834,413
岐阜県,532725,1778559,268,2,284881,1078,246498
静岡県,853990,2453591,8559,2,478956,1333,365142
愛知県,2086859,5575297,10954,13,2069340,4195,2370
三重県,452792,1127045,10130,7,226621,1016,215025
滋賀県,368999,1332563,5339,1,225722,645,137293
京都府,670268,1533994,12971,28,459222,1607,196468
大阪府,2804239,12379255,24380,41,2032077,8283,739499
兵庫県,1451374,2465506,13106,7,986750,3751,447767
奈良県,341931,982736,29905,5,195268,827,115931
和歌山県,235155,319456,118,3,129448,505,105084
鳥取県,138503,1112387,9197,0,44778,252,84276
島根県,164219,522108,1231,0,162484,288,216
岡山県,484786,1172792,5335,5,474425,814,4212
広島県,788709,3318588,15967,3,409656,1309,361777
山口県,307853,1172735,3064,0,158495,721,145573
徳島県,162952,444318,1380,2,90741,398,70433
香川県,248866,548451,2747,2,138120,593,107406
愛媛県,310331,945549,3806,5,156705,664,149156
高知県,166576,494109,5069,3,94023,572,66912
福岡県,1569872,3918607,27164,4,1029285,3103,510320
佐賀県,258386,377021,12783,0,125171,470,119962
長崎県,332540,1108087,22065,0,177499,619,132357
熊本県,529091,540288,6941,5,320699,1258,200193
大分県,299182,1009928,2203,0,172076,741,124162
宮崎県,316914,238860,3813,1,189320,760,123021
鹿児島県,435740,930711,1629,1,286186,856,147069
沖縄県,574500,1397520,1151,0,494076,911,78362
