都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1342422,3964610,17361,5,717238,4561,603262
青森県,279995,415661,4159,0,151129,647,124060
岩手県,234940,720982,3161,0,103563,617,127599
宮城県,538244,1321668,21131,2,204624,957,311532
秋田県,200532,81563,8341,0,89825,600,101766
山形県,227501,375687,6499,1,90443,360,130199
福島県,405549,1156057,3568,1,180682,850,220449
茨城県,637370,2491785,19576,2,301424,1292,315078
栃木県,423108,1285410,5240,3,215803,1075,200990
群馬県,440762,1274714,7731,0,225131,1094,206806
埼玉県,1799037,5291795,17405,1,1160893,3969,616770
千葉県,1463931,3873590,15891,3,904076,3922,540042
東京都,4343080,12271821,47134,3,3093983,8063,1193900
神奈川県,2217785,7231578,3077,2,1450734,4306,759668
新潟県,458220,1342780,6348,0,223993,445,227434
富山県,237036,508184,3083,1,123822,315,109816
石川県,278913,763788,3836,0,155716,509,118852
福井県,200310,611698,1803,0,110918,196,87393
山梨県,190852,824620,1149,0,93672,413,95618
長野県,460010,1504842,1299,1,458532,874,695
岐阜県,542242,1868444,47,0,284881,1114,256200
静岡県,866837,2584818,8060,0,478956,1398,378423
愛知県,2109923,5893158,2301,2,2102438,4321,863
三重県,460582,1186034,10049,0,226621,1043,222869
滋賀県,373789,1390487,5223,0,225722,676,142168
京都府,677493,1591431,12797,5,459222,1657,203817
大阪府,2829387,12996384,14311,5,2032077,8490,774509
兵庫県,1467747,2465506,12823,4,986750,3878,464296
奈良県,346181,1032774,29826,2,195268,872,120215
和歌山県,239364,319456,45,1,129448,522,109349
鳥取県,142393,1167152,9164,0,44778,264,88187
島根県,168706,548079,350,0,167950,299,107
岡山県,491201,1254240,659,1,489229,855,458
広島県,802622,3357273,15800,1,409656,1363,375803
山口県,314580,1224096,2883,0,158495,750,152452
徳島県,166941,467459,1307,0,90741,421,74472
香川県,252922,576737,2581,1,138120,618,111603
愛媛県,316603,1003821,3707,2,156705,695,155496
高知県,169386,494109,4976,0,94023,600,69787
福岡県,1586246,3918607,26410,1,1029285,3188,527363
佐賀県,261068,377021,12722,1,125171,492,122683
長崎県,336731,1180401,21224,0,177499,645,137363
熊本県,535056,540288,6764,2,320699,1308,206285
大分県,303521,1009928,2100,0,172076,774,128571
宮崎県,320253,238860,3749,0,189320,776,126408
鹿児島県,442457,945815,409,1,286186,886,154976
沖縄県,578003,1439965,669,0,494076,1011,82247
