都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1332010,3964610,17443,2,717238,4525,592804
青森県,277563,415661,4158,0,151129,640,121636
岩手県,233165,697758,3169,0,103563,608,125825
宮城県,533096,1281716,21255,6,204624,937,306280
秋田県,198774,81563,8418,1,89825,587,99944
山形県,224327,368532,6454,0,90443,355,127075
福島県,400262,1156057,3568,0,180682,821,215191
茨城県,633667,1985898,19673,2,301424,1274,311296
栃木県,419052,1250609,5311,3,215803,1055,196883
群馬県,437092,1239861,7825,1,225131,1071,203065
埼玉県,1788938,5171004,17536,8,1160893,3868,606641
千葉県,1455233,3767529,16056,7,904076,3864,531237
東京都,4320664,11952883,47364,9,3093983,7986,1171331
神奈川県,2205594,6945115,3958,8,1450734,4239,746663
新潟県,451453,1296913,6384,0,223993,431,220645
富山県,235231,493288,3104,1,123822,309,107996
石川県,276768,763788,3866,0,155716,496,116690
福井県,198649,597801,1825,0,110918,196,85710
山梨県,188871,808357,1175,0,93672,397,93627
長野県,453690,1460527,2030,1,451358,856,554
岐阜県,537599,1814905,140,1,284881,1097,251481
静岡県,861058,2501918,8239,2,478956,1368,372495
愛知県,2098070,5693669,4888,9,2087702,4273,1207
三重県,456978,1150732,10070,1,226621,1035,219252
滋賀県,371621,1357444,5283,1,225722,668,139948
京都府,673793,1558660,12813,11,459222,1640,200118
大阪府,2816731,12632639,17126,23,2032077,8384,759144
兵庫県,1460115,2465506,12850,5,986750,3789,456726
奈良県,344079,1002936,29852,0,195268,850,118109
和歌山県,237250,319456,49,1,129448,515,107238
鳥取県,140331,1134085,9166,0,44778,256,86131
島根県,166442,532009,763,0,165257,295,127
岡山県,488251,1214527,1420,7,485425,833,573
広島県,795029,3335390,15841,3,409656,1344,368188
山口県,311325,1194691,2920,1,158495,740,149170
徳島県,165141,453081,1344,0,90741,409,72647
香川県,250941,559439,2596,2,138120,612,109613
愛媛県,313664,972806,3773,3,156705,683,152503
高知県,168045,494109,5008,4,94023,582,68432
福岡県,1578300,3918607,26618,2,1029285,3157,519240
佐賀県,259803,377021,12738,0,125171,487,121407
長崎県,334747,1136444,21409,0,177499,630,135209
熊本県,531942,540288,6900,4,320699,1288,203055
大分県,301444,1009928,2141,2,172076,759,126468
宮崎県,318544,238860,3758,0,189320,770,124696
鹿児島県,438988,937026,798,0,286186,869,151135
沖縄県,575749,1414391,729,1,494076,923,80021
