都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,770741,3190352,17809,0,717238,2632,33062
青森県,160100,415661,4244,1,151129,308,4419
岩手県,111593,469691,3220,0,103563,198,4612
宮城県,266678,926082,21374,1,204624,402,40278
秋田県,104661,75723,8443,0,89825,235,6158
山形県,111176,292627,6575,0,90443,195,13963
福島県,193378,1156057,3568,0,180682,283,8845
茨城県,371149,1815549,19851,2,301424,697,49177
栃木県,229295,970976,5375,1,215803,505,7612
群馬県,242543,910836,7991,2,225131,477,8944
埼玉県,1208003,4005623,17829,6,1160893,2439,26842
千葉県,961611,2912854,16320,2,904076,2600,38615
東京都,3205499,9514052,48380,12,3093983,5918,57218
神奈川県,1509815,4828057,13453,21,1450734,3009,42619
新潟県,239936,972470,6464,0,223993,167,9312
富山県,132844,371284,3185,0,123822,181,5656
石川県,165994,763788,3920,1,155716,284,6074
福井県,116605,461927,1871,0,110918,100,3716
山梨県,97971,543086,1216,1,93672,158,2925
長野県,216241,1049250,4688,1,210446,351,756
岐阜県,299927,1316437,4981,0,284881,597,9468
静岡県,501753,1856699,8239,3,478956,756,13802
愛知県,1379824,4198662,10408,7,1364861,2891,1664
三重県,258959,846333,10150,1,226621,540,21648
滋賀県,238024,980561,5301,1,225722,335,6666
京都府,482675,1221885,12899,21,459222,1096,9458
大阪府,2121059,9866458,27308,20,2032077,6518,55156
兵庫県,1017920,2465506,12939,4,986750,2888,15343
奈良県,230521,750512,29864,1,195268,534,4855
和歌山県,135875,319456,63,0,129448,254,6110
鳥取県,64939,730614,9184,0,44778,79,10898
島根県,84867,368464,1077,0,83328,96,366
岡山県,280994,871130,3912,4,273230,413,3439
広島県,438615,2749321,16007,3,409656,769,12183
山口県,167556,842776,2950,0,158495,392,5719
徳島県,94917,335429,1333,0,90741,176,2667
香川県,144640,412212,2607,2,138120,297,3616
愛媛県,165485,643403,3755,1,156705,289,4736
高知県,101857,494109,5044,1,94023,300,2490
福岡県,1089673,3918607,26809,3,1029285,1985,31594
佐賀県,159507,377021,12776,0,125171,227,21333
長崎県,215306,773345,21380,3,177499,331,16096
熊本県,335098,540288,6933,2,320699,650,6816
大分県,178658,912730,2168,1,172076,387,4027
宮崎県,198320,238860,3823,1,189320,372,4805
鹿児島県,303142,750191,1368,0,286186,547,15041
沖縄県,504407,1200960,2944,5,494076,757,6630
