都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1104972,3772241,18851,10,717238,3423,365460
青森県,214780,415661,4696,3,151129,417,58538
岩手県,163223,564043,3392,0,103563,288,55980
宮城県,380826,1074522,22458,16,204624,552,153192
秋田県,151351,79652,8931,1,89825,334,52261
山形県,171729,324675,6857,1,90443,265,74164
福島県,279997,1156057,3568,2,180682,360,95387
茨城県,451681,1985898,20734,9,301424,813,128710
栃木県,295181,1066180,5707,10,215803,607,73064
群馬県,311770,1026048,8357,5,225131,626,77656
埼玉県,1403612,4397794,19488,19,1160893,2639,220592
千葉県,1112638,3188882,17127,8,904076,2763,188672
東京都,3595006,10329377,52228,21,3093983,6277,442518
神奈川県,1747232,5525593,50416,33,1450734,3226,242856
新潟県,327880,1104576,6784,7,223993,215,96888
富山県,173090,414003,3424,1,123822,210,45634
石川県,207120,763788,4123,2,155716,328,46953
福井県,143857,499868,2058,0,110918,127,30754
山梨県,130206,641504,1493,2,93672,201,34840
長野県,323934,1217903,17420,4,304058,504,1952
岐阜県,375136,1472545,682,1,284881,707,88866
静岡県,589986,2060773,8446,4,478956,826,101758
愛知県,1606291,4635591,47296,14,1543746,3118,12131
三重県,308628,925795,10300,3,226621,587,71120
滋賀県,279208,1097275,5579,2,225722,406,47501
京都府,535926,1325465,13351,65,459222,1187,62166
大阪府,2320352,10742399,50397,33,2032077,6783,231095
兵庫県,1128815,2465506,13580,20,986750,3011,125474
奈良県,262371,826847,29996,2,195268,606,36501
和歌山県,162382,319456,235,3,129448,303,32396
鳥取県,85361,870027,9307,0,44778,119,31157
島根県,109665,421075,3741,1,104679,127,1118
岡山県,339835,981045,11209,7,318885,474,9267
広島県,547449,3048140,16404,10,409656,886,120503
山口県,200673,910816,3079,1,158495,431,38668
徳島県,110626,375660,1471,2,90741,221,18193
香川県,173152,460948,2822,3,138120,338,31872
愛媛県,200253,737811,3927,2,156705,329,39292
高知県,116530,494109,5079,2,94023,338,17090
福岡県,1191079,3918607,27706,4,1029285,2108,131980
佐賀県,182017,377021,12951,1,125171,269,43626
長崎県,241161,884324,21719,3,177499,353,41590
熊本県,376595,540288,7282,8,320699,704,47910
大分県,204663,1009928,2271,3,172076,410,29906
宮崎県,219538,238860,3852,2,189320,409,25957
鹿児島県,324578,785864,2259,4,286186,563,35570
沖縄県,522846,1270269,3890,7,494076,820,24060
