都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1340346,3964610,17353,5,717238,4554,601201
青森県,279612,415661,4152,0,151129,645,123686
岩手県,234651,717917,3154,0,103563,616,127318
宮城県,537579,1316274,21157,3,204624,955,310843
秋田県,200230,81563,8353,1,89825,596,101456
山形県,227083,375000,6503,0,90443,360,129777
福島県,404833,1156057,3568,1,180682,849,219734
茨城県,636921,2491785,19579,2,301424,1291,314627
栃木県,422490,1281653,5248,0,215803,1072,200367
群馬県,440251,1271629,7736,1,225131,1093,206291
埼玉県,1797542,5276452,17405,1,1160893,3960,615284
千葉県,1462467,3873590,15895,3,904076,3914,538582
東京都,4338667,12222273,47116,3,3093983,8057,1189511
神奈川県,2215586,7203091,2700,4,1450734,4301,757851
新潟県,457318,1337500,6346,1,223993,445,226534
富山県,236783,506482,3080,0,123822,313,109568
石川県,278565,763788,3836,0,155716,509,118504
福井県,199989,611698,1811,0,110918,196,87064
山梨県,190527,822767,1155,0,93672,412,95288
長野県,459206,1501073,1534,2,457465,871,664
岐阜県,541558,1862684,78,1,284881,1114,255485
静岡県,866195,2575813,8091,0,478956,1396,377752
愛知県,2108195,5859333,2470,1,2100525,4315,885
三重県,460099,1186034,10043,0,226621,1042,222393
滋賀県,373499,1385511,5221,1,225722,676,141880
京都府,676913,1586615,12802,14,459222,1655,203234
大阪府,2827387,12942182,14696,6,2032077,8476,772138
兵庫県,1466646,2465506,12826,4,986750,3869,463201
奈良県,345891,1029656,29827,0,195268,868,119928
和歌山県,239024,319456,33,1,129448,522,109021
鳥取県,142125,1163465,9153,0,44778,263,87931
島根県,168495,544639,414,1,167685,299,97
岡山県,490834,1247165,593,2,488643,853,745
広島県,801544,3354251,15813,2,409656,1359,374716
山口県,314220,1224096,2884,0,158495,749,152092
徳島県,166766,465762,1309,0,90741,420,74296
香川県,252600,574441,2584,1,138120,618,111278
愛媛県,316362,997053,3712,2,156705,695,155250
高知県,169278,494109,4978,0,94023,597,69680
福岡県,1585104,3918607,26420,3,1029285,3184,526215
佐賀県,260910,377021,12709,0,125171,492,122538
長崎県,336519,1174768,21255,0,177499,645,137120
熊本県,534701,540288,6756,1,320699,1305,205941
大分県,303286,1009928,2099,0,172076,772,128339
宮崎県,320030,238860,3744,0,189320,776,126190
鹿児島県,442006,944761,486,1,286186,885,154449
沖縄県,577669,1436771,733,0,494076,1011,81849
