都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1353735,3964610,17388,2,717238,4588,614521
青森県,282058,415661,4173,0,151129,657,126099
岩手県,236679,734675,3175,1,103563,621,129320
宮城県,541603,1347738,21145,0,204624,964,314870
秋田県,202364,81563,8344,0,89825,603,103592
山形県,229773,378952,6480,0,90443,366,132484
福島県,408456,1156057,3568,0,180682,852,223354
茨城県,640539,2491785,19623,0,301424,1298,318194
栃木県,425902,1306870,5259,4,215803,1082,203758
群馬県,443095,1296903,7778,0,225131,1104,209082
埼玉県,1808045,5367483,17405,3,1160893,3997,625750
千葉県,1472311,3938748,15835,0,904076,3935,548465
東京都,4368180,12480430,47457,5,3093983,8094,1218646
神奈川県,2230305,7420531,4512,4,1450734,4324,770735
新潟県,462733,1374903,6373,1,223993,453,231914
富山県,238986,516125,3092,0,123822,321,111751
石川県,281370,763788,3886,0,155716,518,121250
福井県,201911,619260,1830,0,110918,200,88963
山梨県,192657,830928,1145,0,93672,418,97422
長野県,464483,1533349,1767,0,462508,881,673
岐阜県,545591,1899842,82,1,284881,1121,259507
静岡県,870511,2629330,8046,0,478956,1406,382103
愛知県,2118719,5996802,3096,3,2110361,4345,917
三重県,462620,1208122,10036,0,226621,1060,224903
滋賀県,375495,1409044,5214,0,225722,678,143881
京都府,681797,1613163,12827,16,459222,1667,208081
大阪府,2842080,13230478,16484,8,2032077,8539,784980
兵庫県,1473681,2465506,12819,0,986750,3904,470208
奈良県,348205,1050296,29836,0,195268,878,122223
和歌山県,240706,319456,18,3,129448,529,110711
鳥取県,143391,1184254,9150,0,44778,267,89196
島根県,169464,557509,242,0,168860,301,61
岡山県,492950,1272633,616,1,490984,856,494
広島県,808217,3363112,15832,1,409656,1371,381358
山口県,316095,1241438,2885,0,158495,756,153959
徳島県,167765,475032,1294,0,90741,421,75309
香川県,254435,585669,2564,1,138120,625,113126
愛媛県,318217,1022532,3730,2,156705,696,157086
高知県,169873,494109,4975,0,94023,600,70275
福岡県,1592162,3918607,26455,0,1029285,3195,533227
佐賀県,261880,377021,12719,0,125171,495,123495
長崎県,337828,1202284,21253,0,177499,646,138430
熊本県,536617,540288,6759,1,320699,1314,207845
大分県,304823,1009928,2090,0,172076,777,129880
宮崎県,321180,238860,3752,0,189320,777,127331
鹿児島県,443984,949815,274,0,286186,893,156631
沖縄県,580925,1454293,1378,2,494076,1014,84457
