"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns"
"Hokkaido","北海道",979,409,502,68,19,0
"Aomori","青森県",27,6,21,0,0,0
"Iwate","岩手県",0,0,0,0,0,0
"Miyagi","宮城県",88,6,81,1,0,0
"Akita","秋田県",16,1,15,0,0,0
"Yamagata","山形県",69,11,58,0,2,0
"Fukushima","福島県",81,24,57,0,2,0
"Ibaraki","茨城県",168,65,94,9,2,18
"Tochigi","栃木県",57,19,38,0,5,1
"Gunma","群馬県",147,53,76,18,2,0
"Saitama","埼玉県",973,255,674,44,9,0
"Chiba","千葉県",888,278,570,40,11,0
"Tokyo","東京都",4997,1755,3039,203,52,0
"Kanagawa","神奈川県",1203,376,768,59,34,0
"Niigata","新潟県",82,31,51,0,0,1
"Toyama","富山県",222,84,122,16,2,0
"Ishikawa","石川県",284,113,152,19,3,0
"Fukui","福井県",122,16,98,8,2,0
"Yamanashi","山梨県",57,6,51,0,1,0
"Nagano","長野県",76,25,51,"-",2,0
"Gifu","岐阜県",150,13,131,6,1,0
"Shizuoka","静岡県",73,12,60,1,2,0
"Aichi","愛知県",496,85,377,34,4,0
"Mie","三重県",45,10,34,1,0,0
"Shiga","滋賀県",97,20,76,1,1,0
"Kyoto","京都府",356,74,269,13,3,0
"Osaka","大阪府",1750,512,1176,62,45,2
"Hyogo","兵庫県",694,138,521,35,21,0
"Nara","奈良県",90,18,70,2,0,0
"Wakayama","和歌山県",63,10,50,3,0,0
"Tottori","鳥取県",3,2,1,0,0,0
"Shimane","島根県",24,10,14,0,1,0
"Okayama","岡山県",25,4,21,"-","-",0
"Hiroshima","広島県",165,71,92,2,1,0
"Yamaguchi","山口県",37,4,33,0,1,0
"Tokushima","徳島県",5,0,4,1,0,0
"Kagawa","香川県",28,6,22,0,0,0
"Ehime","愛媛県",51,9,39,3,0,0
"Kochi","高知県",74,5,66,3,0,0
"Fukuoka","福岡県",656,138,494,24,11,1
"Saga","佐賀県",46,19,27,0,0,2
"Nagasaki","長崎県",17,1,15,1,0,0
"Kumamoto","熊本県",48,20,25,3,2,0
"Oita","大分県",60,4,55,1,0,0
"Miyazaki","宮崎県",17,5,12,0,0,0
"Kagoshima","鹿児島県",11,3,8,0,0,0
"Okinawa","沖縄県",142,25,111,6,4,0
