都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1328633,3964610,17565,3,717238,4500,589330
青森県,277013,415661,4175,0,151129,638,121071
岩手県,232215,687061,3179,0,103563,602,124871
宮城県,530929,1267478,21342,8,204624,929,304034
秋田県,197957,81563,8398,2,89825,583,99151
山形県,223315,365969,6477,1,90443,354,126041
福島県,398124,1156057,3568,0,180682,813,213061
茨城県,631970,1985898,19704,6,301424,1269,309573
栃木県,417372,1240498,5342,4,215803,1042,195185
群馬県,435779,1230127,7855,4,225131,1062,201731
埼玉県,1785356,5131408,17688,12,1160893,3818,602957
千葉県,1452256,3738199,16313,8,904076,3821,528046
東京都,4314088,11852032,47613,11,3093983,7948,1164544
神奈川県,2201543,6860467,5419,15,1450734,4214,741176
新潟県,449386,1285383,6365,0,223993,422,218606
富山県,234286,488859,3142,1,123822,306,107016
石川県,275834,763788,3880,2,155716,487,115751
福井県,197981,592379,1875,0,110918,195,84993
山梨県,187950,798599,1176,0,93672,389,92713
長野県,451371,1448640,2504,0,448585,842,560
岐阜県,535583,1795143,201,2,284881,1087,249414
静岡県,857846,2474590,8333,3,478956,1357,369200
愛知県,2093152,5645654,6066,5,2081453,4240,1393
三重県,455200,1138814,10094,2,226621,1028,217457
滋賀県,370588,1344984,5290,1,225722,660,138916
京都府,672250,1547231,12858,17,459222,1628,198542
大阪府,2811417,12511907,18836,29,2032077,8347,752157
兵庫県,1456413,2465506,12975,9,986750,3773,452915
奈良県,343260,993591,29873,3,195268,838,117281
和歌山県,236418,319456,77,1,129448,510,106383
鳥取県,139472,1123015,9178,0,44778,254,85262
島根県,165428,527504,909,1,164014,291,214
岡山県,486886,1205601,2266,5,483159,828,633
広島県,792093,3327053,15902,2,409656,1327,365208
山口県,309864,1186342,2951,1,158495,731,147687
徳島県,164171,448761,1348,0,90741,404,71678
香川県,250091,554983,2656,3,138120,604,108711
愛媛県,312134,963818,3818,3,156705,673,150938
高知県,167433,494109,5021,1,94023,581,67808
福岡県,1574748,3918607,26857,3,1029285,3133,515473
佐賀県,259145,377021,12759,0,125171,480,120735
長崎県,333781,1122320,21977,1,177499,626,133679
熊本県,530701,540288,6884,4,320699,1276,201842
大分県,300441,1009928,2173,0,172076,748,125444
宮崎県,317751,238860,3785,0,189320,767,123879
鹿児島県,437654,934259,1050,0,286186,864,149554
沖縄県,575140,1405257,771,0,494076,917,79376
