都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1260739,3964610,18310,8,717238,4149,521042
青森県,260201,415661,4483,5,151129,553,104036
岩手県,210995,626849,3362,0,103563,456,103614
宮城県,486486,1166922,22029,13,204624,773,259060
秋田県,184207,81376,8786,4,89825,506,85090
山形県,207630,347301,6876,0,90443,320,109991
福島県,359795,1156057,3568,3,180682,487,175058
茨城県,565082,1985898,20886,23,301424,1018,241754
栃木県,373583,1145711,5845,12,215803,841,151094
群馬県,394619,1126185,8318,12,225131,865,160305
埼玉県,1666675,4775305,19526,43,1160893,3046,483210
千葉県,1338271,3392797,18861,23,904076,3090,412244
東京都,4102483,11055720,53230,54,3093983,6969,948301
神奈川県,2051968,6139287,51139,69,1450734,3659,546436
新潟県,412822,1194351,6736,6,223993,297,181796
富山県,212558,447462,3407,11,123822,264,85065
石川県,251015,763788,4125,3,155716,411,90763
福井県,179590,542361,2147,1,110918,155,66370
山梨県,166031,714668,1570,0,93672,264,70525
長野県,403798,1324543,15737,6,384832,712,2517
岐阜県,477907,1624595,825,3,284881,894,191307
静岡県,742532,2230789,9232,3,478956,988,253356
愛知県,1918719,5040236,53958,30,1833879,3609,27273
三重県,394553,993801,10417,8,226621,747,156768
滋賀県,335037,1183398,5667,5,225722,506,103142
京都府,622865,1432071,13526,73,459222,1341,148776
大阪府,2631184,11482859,91513,71,2032077,7331,500263
兵庫県,1331517,2465506,14060,31,986750,3304,327403
奈良県,313989,893320,30128,15,195268,682,87911
和歌山県,207858,319456,247,11,129448,404,77759
鳥取県,120475,999906,9327,0,44778,177,66193
島根県,146128,466454,6452,0,138373,207,1096
岡山県,432243,1045577,15355,13,397010,634,19244
広島県,703961,3303453,16678,15,409656,1064,276563
山口県,267994,1055687,3201,5,158495,581,105717
徳島県,142231,402585,1586,1,90741,303,49601
香川県,220572,501365,3321,3,138120,471,78660
愛媛県,273272,852451,4059,5,156705,481,112027
高知県,146505,494109,5165,8,94023,446,46871
福岡県,1443648,3918607,31199,16,1029285,2475,380689
佐賀県,235048,377021,13121,2,125171,370,96386
長崎県,298776,987140,23849,3,177499,453,96975
熊本県,481430,540288,8025,32,320699,970,151736
大分県,267327,1009928,2469,1,172076,518,92264
宮崎県,283538,238860,4077,4,189320,548,89593
鹿児島県,391018,864999,10954,9,286186,642,93236
沖縄県,554545,1324537,10025,8,494076,841,49603
