"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",61141,161,59512,1472,2,4,1214922,"JP-01"
"Aomori","青森県",5897,0,5859,38,0,0,99945,"JP-02"
"Iwate","岩手県",3487,0,3434,53,0,0,131184,"JP-03"
"Miyagi","宮城県",16280,4,16158,118,0,0,256971,"JP-04"
"Akita","秋田県",1925,0,1898,27,0,0,27409,"JP-05"
"Yamagata","山形県",3558,4,3498,56,0,0,109456,"JP-06"
"Fukushima","福島県",9487,1,9310,176,1,0,449485,"JP-07"
"Ibaraki","茨城県",24449,4,24225,220,0,0,40554,"JP-08"
"Tochigi","栃木県",15479,2,15360,117,0,0,511858,"JP-09"
"Gunma","群馬県",16868,27,16665,176,1,0,330750,"JP-10"
"Saitama","埼玉県",115830,75,114698,1057,7,0,1580664,"JP-11"
"Chiba","千葉県",100464,25,99409,1028,0,2,1177705,"JP-12"
"Tokyo","東京都",382196,152,378879,3165,6,0,3987941,"JP-13"
"Kanagawa","神奈川県",169266,92,167861,1313,2,0,1750358,"JP-14"
"Niigata","新潟県",8023,11,7951,61,0,0,308882,"JP-15"
"Toyama","富山県",4868,1,4815,52,0,0,126276,"JP-16"
"Ishikawa","石川県",7969,1,7817,129,0,22,206790,"JP-17"
"Fukui","福井県",3115,0,3077,38,0,0,123687,"JP-18"
"Yamanashi","山梨県",5156,0,5127,29,0,0,127517,"JP-19"
"Nagano","長野県",8885,1,8843,97,0,56,350369,"JP-20"
"Gifu","岐阜県",19254,15,19020,218,0,1,450882,"JP-21"
"Shizuoka","静岡県",26786,7,26570,209,0,0,688982,"JP-22"
"Aichi","愛知県",106575,53,105361,1161,0,0,1446418,"JP-23"
"Mie","三重県",14815,4,14975,163,0,327,258315,"JP-24"
"Shiga","滋賀県",12432,8,12320,104,0,0,283751,"JP-25"
"Kyoto","京都府",35988,22,35675,291,0,0,454300,"JP-26"
"Osaka","大阪府",203122,146,199912,3064,11,0,4008934,"JP-27"
"Hyogo","兵庫県",78681,56,77229,1396,6,0,823284,"JP-28"
"Nara","奈良県",15932,4,15779,149,0,0,272043,"JP-29"
"Wakayama","和歌山県",5302,3,5132,62,0,105,67395,"JP-30"
"Tottori","鳥取県",1669,0,1639,5,0,25,161505,"JP-31"
"Shimane","島根県",1732,2,1725,5,0,0,61558,"JP-32"
"Okayama","岡山県",15537,62,15321,136,1,18,298358,"JP-33"
"Hiroshima","広島県",22168,17,21949,202,0,0,958947,"JP-34"
"Yamaguchi","山口県",5788,0,5695,93,0,0,204869,"JP-35"
"Tokushima","徳島県",3291,1,3224,66,0,0,112551,"JP-36"
"Kagawa","香川県",4705,0,4666,38,0,1,139734,"JP-37"
"Ehime","愛媛県",5412,2,5328,82,0,0,167408,"JP-38"
"Kochi","高知県",4167,0,4134,33,0,0,105447,"JP-39"
"Fukuoka","福岡県",74609,64,73919,624,4,2,1367757,"JP-40"
"Saga","佐賀県",5866,0,5891,30,0,55,114964,"JP-41"
"Nagasaki","長崎県",6119,1,6045,73,0,0,195639,"JP-42"
"Kumamoto","熊本県",14395,0,14259,136,0,0,124640,"JP-43"
"Oita","大分県",8187,1,8102,84,0,0,291415,"JP-44"
"Miyazaki","宮崎県",6151,0,6094,41,0,16,73041,"JP-45"
"Kagoshima","鹿児島県",9103,0,9037,66,0,0,174165,"JP-46"
"Okinawa","沖縄県",50311,11,49906,398,0,4,422555,"JP-47"
