都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1044820,3676369,18841,16,717238,3182,305559
青森県,194892,415661,4558,4,151129,386,38819
岩手県,150340,546139,3382,1,103563,258,43137
宮城県,351996,1039305,22301,12,204624,506,124565
秋田県,139977,78366,8794,1,89825,317,41041
山形県,159731,320332,6901,1,90443,254,62133
福島県,258860,1156057,3568,2,180682,340,74270
茨城県,431256,1985898,20525,8,301424,769,108538
栃木県,277583,1042079,5605,2,215803,578,55597
群馬県,293809,1008015,8314,6,225131,587,59777
埼玉県,1350861,4315913,18988,14,1160893,2591,168389
千葉県,1071000,3146212,16888,12,904076,2725,147311
東京都,3491920,10145118,51759,17,3093983,6156,340022
神奈川県,1685081,5392417,40948,32,1450734,3150,190249
新潟県,305620,1078217,6684,2,223993,199,74744
富山県,163135,404171,3426,2,123822,201,35686
石川県,197452,763788,4087,1,155716,317,37332
福井県,137213,493162,2045,0,110918,116,24134
山梨県,122819,625587,1484,0,93672,185,27478
長野県,302895,1186889,19580,1,279903,450,2962
岐阜県,355748,1445276,672,0,284881,684,69511
静岡県,568710,2021666,8415,1,478956,802,80537
愛知県,1546937,4531998,41159,24,1487687,3064,15027
三重県,296568,911828,10274,3,226621,573,59100
滋賀県,269186,1073897,5539,5,225722,378,37547
京都府,521625,1303871,13288,47,459222,1158,47957
大阪府,2273440,10593280,48455,22,2032077,6728,186180
兵庫県,1101896,2465506,13390,17,986750,2982,98774
奈良県,254097,810242,29956,6,195268,584,28289
和歌山県,156962,319456,201,3,129448,288,27025
鳥取県,79936,831864,9289,0,44778,103,25766
島根県,103910,412406,4045,2,99145,113,607
岡山県,325782,964408,9986,7,308906,455,6435
広島県,523367,2976836,16351,11,409656,856,96504
山口県,193508,901613,3059,1,158495,416,31538
徳島県,106617,367800,1410,1,90741,202,14264
香川県,166810,450877,2836,2,138120,322,25532
愛媛県,191228,720959,3922,1,156705,318,30283
高知県,112143,494109,5061,0,94023,324,12735
福岡県,1164725,3918607,27468,2,1029285,2083,105889
佐賀県,175706,377021,12915,1,125171,260,37360
長崎県,234875,862032,21700,2,177499,349,35327
熊本県,365676,540288,7145,3,320699,688,37144
大分県,198099,1001330,2237,3,172076,404,23382
宮崎県,214150,238860,3856,1,189320,401,20573
鹿児島県,319358,778109,1978,1,286186,561,30633
沖縄県,518089,1259229,2898,8,494076,815,20300
