都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1207551,3964610,18594,7,717238,3910,467809
青森県,244348,415661,4797,2,151129,508,87914
岩手県,194213,603272,3423,1,103563,378,86849
宮城県,447601,1129943,22234,16,204624,673,220070
秋田県,173613,80766,8920,1,89825,441,74427
山形県,195169,341323,6887,0,90443,295,97544
福島県,330221,1156057,3568,5,180682,423,145548
茨城県,518881,1985898,20925,20,301424,936,195596
栃木県,342702,1115429,5816,7,215803,713,120370
群馬県,361318,1091557,8413,10,225131,750,127024
埼玉県,1560705,4628571,19510,27,1160893,2869,377433
千葉県,1245485,3334035,18220,21,904076,2909,320280
東京都,3894548,10767222,53857,44,3093983,6624,740084
神奈川県,1928050,5881266,69194,52,1450734,3456,404666
新潟県,383660,1163294,6747,5,223993,269,152651
富山県,197986,431255,3498,5,123822,236,70430
石川県,232493,763788,4157,4,155716,365,72255
福井県,164785,524388,2129,1,110918,138,51600
山梨県,149533,689858,1501,0,93672,242,54118
長野県,371850,1282308,17118,4,352078,622,2032
岐阜県,431655,1567303,872,6,284881,819,145083
静岡県,666880,2164327,9006,6,478956,896,178022
愛知県,1784646,4867533,70567,31,1690036,3397,20646
三重県,354066,974646,10369,3,226621,659,116417
滋賀県,311724,1148501,5699,7,225722,463,79840
京都府,584768,1386791,13482,80,459222,1257,110807
大阪府,2485252,11184398,88944,61,2032077,7033,357198
兵庫県,1237182,2465506,14109,21,986750,3149,233174
奈良県,291745,866158,30129,18,195268,657,65691
和歌山県,185086,319456,237,4,129448,350,55051
鳥取県,105148,949791,9326,0,44778,148,50896
島根県,130413,454164,7743,3,121495,166,1009
岡山県,388741,1045577,18510,11,356939,546,12746
広島県,630780,3144451,16591,6,409656,983,203550
山口県,231359,1003938,3259,2,158495,495,69110
徳島県,126689,390700,1539,3,90741,264,34145
香川県,196688,484244,2995,8,138120,396,55177
愛媛県,238081,803599,4022,7,156705,398,76956
高知県,132096,494109,5167,5,94023,377,32529
福岡県,1323938,3918607,30009,12,1029285,2251,262393
佐賀県,209692,377021,13068,1,125171,312,71141
長崎県,269331,942922,22663,3,177499,399,68770
熊本県,432805,540288,7900,12,320699,810,103396
大分県,236009,1009928,2371,4,172076,464,61098
宮崎県,247783,238860,4029,1,189320,458,53976
鹿児島県,352236,820945,7227,4,286186,584,58239
沖縄県,536751,1303461,5783,5,494076,837,36055
