"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",777260,17785,717238,2637,0,39600,3216586,"JP-01"
"Aomori","青森県",160914,4257,151129,308,2,5220,415661,"JP-02"
"Iwate","岩手県",112277,3209,103563,198,0,5307,472678,"JP-03"
"Miyagi","宮城県",268427,21339,204624,404,1,42060,932457,"JP-04"
"Akita","秋田県",105721,8490,89825,236,1,7170,75723,"JP-05"
"Yamagata","山形県",112521,6556,90443,196,0,15326,292745,"JP-06"
"Fukushima","福島県",194932,3568,180682,286,0,10396,1156057,"JP-07"
"Ibaraki","茨城県",373459,19804,301424,701,1,51530,1815549,"JP-08"
"Tochigi","栃木県",230437,5324,215803,510,1,8800,973108,"JP-09"
"Gunma","群馬県",243922,7968,225131,485,2,10338,917686,"JP-10"
"Saitama","埼玉県",1211770,17818,1160893,2449,6,30610,4021195,"JP-11"
"Chiba","千葉県",964670,16125,904076,2606,3,41863,2941588,"JP-12"
"Tokyo","東京都",3213332,48181,3093983,5928,10,65240,9545202,"JP-13"
"Kanagawa","神奈川県",1514326,11570,1450734,3015,18,49007,4872177,"JP-14"
"Niigata","新潟県",241570,6409,223993,170,0,10998,978695,"JP-15"
"Toyama","富山県",133832,3180,123822,181,0,6649,373108,"JP-16"
"Ishikawa","石川県",167057,3905,155716,285,1,7151,763788,"JP-17"
"Fukui","福井県",117227,1861,110918,100,1,4348,464610,"JP-18"
"Yamanashi","山梨県",98551,1227,93672,160,1,3492,543086,"JP-19"
"Nagano","長野県",218570,5129,212366,356,0,719,1058428,"JP-20"
"Gifu","岐阜県",301526,4981,284881,600,0,11064,1323985,"JP-21"
"Shizuoka","静岡県",504208,8229,478956,757,6,16266,1866320,"JP-22"
"Aichi","愛知県",1383373,8940,1369541,2896,5,1996,4212772,"JP-23"
"Mie","三重県",260494,10147,226621,541,3,23185,846333,"JP-24"
"Shiga","滋賀県",239015,5294,225722,339,1,7660,983889,"JP-25"
"Kyoto","京都府",483907,12879,459222,1101,20,10705,1225550,"JP-26"
"Osaka","大阪府",2127016,27689,2032077,6527,15,60723,9900200,"JP-27"
"Hyogo","兵庫県",1020740,12942,986750,2897,4,18151,2465506,"JP-28"
"Nara","奈良県",231441,29861,195268,541,2,5771,753821,"JP-29"
"Wakayama","和歌山県",136725,68,129448,254,0,6955,319456,"JP-30"
"Tottori","鳥取県",65353,9190,44778,80,0,11305,736973,"JP-31"
"Shimane","島根県",85411,1304,83778,98,0,231,368464,"JP-32"
"Okayama","岡山県",282672,3912,273230,414,4,5116,871130,"JP-33"
"Hiroshima","広島県",441153,15957,409656,769,4,14771,2780898,"JP-34"
"Yamaguchi","山口県",168322,2944,158495,394,0,6489,850137,"JP-35"
"Tokushima","徳島県",95300,1326,90741,177,0,3056,339343,"JP-36"
"Kagawa","香川県",145182,2590,138120,298,2,4174,413687,"JP-37"
"Ehime","愛媛県",166151,3752,156705,289,2,5405,644304,"JP-38"
"Kochi","高知県",102173,5033,94023,300,1,2817,494109,"JP-39"
"Fukuoka","福岡県",1092404,26751,1029285,1993,5,34375,3918607,"JP-40"
"Saga","佐賀県",159970,12759,125171,228,0,21812,377021,"JP-41"
"Nagasaki","長崎県",215976,21365,177499,331,3,16781,778621,"JP-42"
"Kumamoto","熊本県",336138,6918,320699,651,0,7870,540288,"JP-43"
"Oita","大分県",179315,2156,172076,388,1,4695,917322,"JP-44"
"Miyazaki","宮崎県",198895,3826,189320,375,1,5374,238860,"JP-45"
"Kagoshima","鹿児島県",303881,1388,286186,547,0,15760,751612,"JP-46"
"Okinawa","沖縄県",505130,2919,494076,760,4,7375,1203428,"JP-47"
