"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",1282862,18292,717238,4243,10,543089,3964610,"JP-01"
"Aomori","青森県",266670,4519,151129,574,3,110448,415661,"JP-02"
"Iwate","岩手県",218111,3359,103563,506,1,110683,640368,"JP-03"
"Miyagi","宮城県",501729,22051,204624,826,18,274228,1188393,"JP-04"
"Akita","秋田県",188569,8762,89825,518,3,89464,81563,"JP-05"
"Yamagata","山形県",212419,6890,90443,334,0,114752,351058,"JP-06"
"Fukushima","福島県",372832,3568,180682,519,5,188063,1156057,"JP-07"
"Ibaraki","茨城県",589986,21025,301424,1098,20,266439,1985898,"JP-08"
"Tochigi","栃木県",387968,5859,215803,894,11,165412,1165504,"JP-09"
"Gunma","群馬県",409252,8340,225131,917,12,174864,1148662,"JP-10"
"Saitama","埼玉県",1709754,19380,1160893,3243,42,526238,4858010,"JP-11"
"Chiba","千葉県",1379321,18877,904076,3238,37,453130,3484227,"JP-12"
"Tokyo","東京都",4183038,52884,3093983,7214,45,1028957,11199022,"JP-13"
"Kanagawa","神奈川県",2107812,56237,1450734,3792,50,597049,6268869,"JP-14"
"Niigata","新潟県",425007,6672,223993,321,6,194021,1212164,"JP-15"
"Toyama","富山県",218992,3398,123822,280,5,91492,455950,"JP-16"
"Ishikawa","石川県",259872,4174,155716,436,2,99546,763788,"JP-17"
"Fukui","福井県",185711,2171,110918,167,0,72455,549642,"JP-18"
"Yamanashi","山梨県",174031,1513,93672,307,1,78539,728368,"JP-19"
"Nagano","長野県",417915,14040,403752,751,3,628,1346846,"JP-20"
"Gifu","岐阜県",498178,840,284881,944,6,211513,1658878,"JP-21"
"Shizuoka","静岡県",786536,9292,478956,1064,13,297224,2286523,"JP-22"
"Aichi","愛知県",1981856,64427,1903451,3769,40,10209,5123874,"JP-23"
"Mie","三重県",417710,10436,226621,820,5,179833,1035452,"JP-24"
"Shiga","滋賀県",346623,5671,225722,548,8,114682,1207737,"JP-25"
"Kyoto","京都府",640923,13520,459222,1405,67,166776,1459758,"JP-26"
"Osaka","大阪府",2696483,85676,2032077,7581,88,571149,11690742,"JP-27"
"Hyogo","兵庫県",1377070,14107,986750,3405,25,372808,2465506,"JP-28"
"Nara","奈良県",323755,30157,195268,709,14,97621,911881,"JP-29"
"Wakayama","和歌山県",218870,276,129448,434,11,88712,319456,"JP-30"
"Tottori","鳥取県",127687,9318,44778,208,0,73383,1034445,"JP-31"
"Shimane","島根県",152599,4762,147292,237,0,308,485658,"JP-32"
"Okayama","岡山県",452833,26705,412307,690,14,13131,1113228,"JP-33"
"Hiroshima","広島県",740318,16723,409656,1124,16,312815,3307341,"JP-34"
"Yamaguchi","山口県",283982,3216,158495,628,5,121643,1086364,"JP-35"
"Tokushima","徳島県",149367,1557,90741,330,3,56739,407171,"JP-36"
"Kagawa","香川県",230776,3159,138120,509,6,88988,512044,"JP-37"
"Ehime","愛媛県",287588,4076,156705,539,2,126268,885375,"JP-38"
"Kochi","高知県",152931,5169,94023,499,6,53240,494109,"JP-39"
"Fukuoka","福岡県",1496353,31332,1029285,2661,21,433075,3918607,"JP-40"
"Saga","佐賀県",245540,13097,125171,407,3,106865,377021,"JP-41"
"Nagasaki","長崎県",313724,24046,177499,490,3,111689,1006381,"JP-42"
"Kumamoto","熊本県",502276,8007,320699,1059,31,172511,540288,"JP-43"
"Oita","大分県",280991,2477,172076,547,2,105891,1009928,"JP-44"
"Miyazaki","宮崎県",299726,4094,189320,632,5,105680,238860,"JP-45"
"Kagoshima","鹿児島県",410738,10939,286186,699,9,112914,893157,"JP-46"
"Okinawa","沖縄県",563578,8747,494076,847,10,59908,1342967,"JP-47"
