都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1320642,3964610,17664,4,717238,4459,581281
青森県,275747,415661,4227,0,151129,637,119754
岩手県,229515,672363,3191,0,103563,595,122166
宮城県,525785,1246250,21383,4,204624,913,298865
秋田県,196489,81563,8441,3,89825,577,97646
山形県,221351,362819,6510,0,90443,351,124047
福島県,394449,1156057,3568,0,180682,743,209456
茨城県,627825,1985898,19985,14,301424,1255,305161
栃木県,413523,1222824,5493,9,215803,1011,191216
群馬県,432540,1211030,7934,4,225131,1037,198438
埼玉県,1776867,5063930,18150,19,1160893,3729,594095
千葉県,1445092,3668968,17041,14,904076,3710,520265
東京都,4299296,11693002,48578,21,3093983,7820,1148915
神奈川県,2191050,6709573,12089,27,1450734,4127,724100
新潟県,445182,1264961,6403,1,223993,402,214384
富山県,231676,479419,3211,2,123822,304,104339
石川県,273341,763788,3907,1,155716,485,113233
福井県,196192,577665,1918,0,110918,192,83164
山梨県,186080,779327,1216,0,93672,379,90813
長野県,445696,1421388,4117,1,442110,830,1361
岐阜県,530166,1766124,321,4,284881,1069,243895
静岡県,850039,2430168,8668,4,478956,1310,361105
愛知県,2080427,5483418,14197,17,2060879,4165,1186
三重県,450620,1114856,10157,6,226621,1006,212836
滋賀県,367570,1305508,5350,0,225722,639,135859
京都府,668474,1526166,13057,23,459222,1591,194604
大阪府,2797527,12308385,27155,47,2032077,8249,730046
兵庫県,1446654,2465506,13201,6,986750,3722,442981
奈良県,340847,973454,29929,4,195268,812,114838
和歌山県,233988,319456,137,4,129448,502,103901
鳥取県,137719,1105938,9200,0,44778,252,83489
島根県,163154,516504,1301,1,161463,282,108
岡山県,482831,1172792,5335,5,474425,807,2264
広島県,786003,3315323,16042,4,409656,1295,359010
山口県,306173,1161330,3089,1,158495,714,143875
徳島県,161869,435613,1392,3,90741,394,69342
香川県,247678,543672,2783,3,138120,590,106185
愛媛県,308581,943930,3822,3,156705,656,147398
高知県,165692,494109,5081,2,94023,565,66023
福岡県,1565113,3918607,27582,8,1029285,3072,505174
佐賀県,257632,377021,12811,2,125171,465,119185
長崎県,331386,1095352,22185,4,177499,610,131092
熊本県,527871,540288,7078,8,320699,1248,198846
大分県,297916,1009928,2226,0,172076,734,122880
宮崎県,316189,238860,3853,1,189320,752,122264
鹿児島県,434231,928380,2018,1,286186,841,145186
沖縄県,573937,1390382,1644,1,494076,890,77327
