"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",1309720,17859,717238,4406,6,570217,3964610,"JP-01"
"Aomori","青森県",273802,4371,151129,620,4,117682,415661,"JP-02"
"Iwate","岩手県",226386,3224,103563,577,0,119022,659562,"JP-03"
"Miyagi","宮城県",519407,21506,204624,891,11,292386,1224454,"JP-04"
"Akita","秋田県",194411,8600,89825,561,1,95425,81563,"JP-05"
"Yamagata","山形県",218755,6534,90443,343,0,121435,358183,"JP-06"
"Fukushima","福島県",388886,3568,180682,574,1,204062,1156057,"JP-07"
"Ibaraki","茨城県",618428,20330,301424,1202,18,295472,1985898,"JP-08"
"Tochigi","栃木県",406700,5581,215803,976,8,184340,1197708,"JP-09"
"Gunma","群馬県",426876,8047,225131,998,10,192700,1188747,"JP-10"
"Saitama","埼玉県",1761083,18557,1160893,3590,27,578043,4992329,"JP-11"
"Chiba","千葉県",1430222,18043,904076,3557,29,504546,3586421,"JP-12"
"Tokyo","東京都",4273270,49846,3093983,7645,34,1121796,11506569,"JP-13"
"Kanagawa","神奈川県",2170392,22983,1450734,3995,31,692680,6544209,"JP-14"
"Niigata","新潟県",439520,6499,223993,375,3,208653,1247168,"JP-15"
"Toyama","富山県",228057,3268,123822,301,3,100666,471537,"JP-16"
"Ishikawa","石川県",269953,3973,155716,474,1,109790,763788,"JP-17"
"Fukui","福井県",193786,1989,110918,184,2,80695,570926,"JP-18"
"Yamanashi","山梨県",183359,1328,93672,356,2,88003,756196,"JP-19"
"Nagano","長野県",438187,7187,430402,815,2,217,1399550,"JP-20"
"Gifu","岐阜県",521858,470,284881,1030,4,235477,1720260,"JP-21"
"Shizuoka","静岡県",834068,8839,478956,1253,9,345020,2385740,"JP-22"
"Aichi","愛知県",2057269,26296,2018683,3999,39,8291,5371802,"JP-23"
"Mie","三重県",442160,10259,226621,966,5,204314,1100973,"JP-24"
"Shiga","滋賀県",362547,5522,225722,621,1,130682,1246936,"JP-25"
"Kyoto","京都府",661605,13210,459222,1540,43,187633,1499614,"JP-26"
"Osaka","大阪府",2772534,42637,2032077,8032,84,689788,12048002,"JP-27"
"Hyogo","兵庫県",1429021,13443,986750,3622,17,425206,2465506,"JP-28"
"Nara","奈良県",336716,30021,195268,778,9,110649,955073,"JP-29"
"Wakayama","和歌山県",229956,170,129448,485,5,99853,319456,"JP-30"
"Tottori","鳥取県",135210,9254,44778,240,0,80938,1080774,"JP-31"
"Shimane","島根県",160236,1899,157664,269,0,404,503752,"JP-32"
"Okayama","岡山県",475235,10641,457083,781,13,6730,1147065,"JP-33"
"Hiroshima","広島県",774724,16209,409656,1246,6,347613,3298382,"JP-34"
"Yamaguchi","山口県",299850,3116,158495,684,1,137555,1133706,"JP-35"
"Tokushima","徳島県",158438,1413,90741,383,5,65901,427337,"JP-36"
"Kagawa","香川県",243485,2855,138120,562,3,101948,532460,"JP-37"
"Ehime","愛媛県",303088,3936,156705,630,4,141817,923518,"JP-38"
"Kochi","高知県",160426,5102,94023,545,5,60756,494109,"JP-39"
"Fukuoka","福岡県",1548636,28325,1029285,2972,13,488054,3918607,"JP-40"
"Saga","佐賀県",254856,12914,125171,452,3,116319,377021,"JP-41"
"Nagasaki","長崎県",327252,22475,177499,577,0,126701,1070315,"JP-42"
"Kumamoto","熊本県",522005,7301,320699,1202,16,192803,540288,"JP-43"
"Oita","大分県",293566,2297,172076,673,2,118520,1009928,"JP-44"
"Miyazaki","宮崎県",312695,3890,189320,725,5,118760,238860,"JP-45"
"Kagoshima","鹿児島県",428383,3282,286186,811,8,138104,918575,"JP-46"
"Okinawa","沖縄県",571274,2914,494076,881,3,73403,1372066,"JP-47"
