都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1003558,3603553,18754,11,717238,3054,264512
青森県,188189,415661,4487,1,151129,366,32207
岩手県,142759,534634,3375,1,103563,242,35579
宮城県,333922,1021534,22296,11,204624,478,106524
秋田県,134060,78336,8801,2,89825,299,35135
山形県,152222,318889,6862,0,90443,239,54678
福島県,246167,1156057,3568,1,180682,330,61587
茨城県,419101,1985898,20453,5,301424,751,96473
栃木県,267588,1032986,5601,4,215803,566,45618
群馬県,283642,990410,8310,6,225131,564,49637
埼玉県,1323088,4267649,18875,21,1160893,2561,140759
千葉県,1047097,3103835,16744,6,904076,2710,123567
東京都,3436578,10060511,51347,17,3093983,6114,285134
神奈川県,1651272,5310881,38262,29,1450734,3122,159154
新潟県,292283,1064384,6675,7,223993,198,61417
富山県,157483,399730,3381,1,123822,194,30086
石川県,191852,763788,4058,1,155716,309,31769
福井県,132773,486909,2009,0,110918,108,19738
山梨県,118156,614030,1607,0,93672,178,22699
長野県,286610,1167496,18582,1,265338,427,2263
岐阜県,345621,1420763,634,0,284881,666,59440
静岡県,555862,2002855,8345,2,478956,795,67766
愛知県,1512096,4467508,36897,20,1461188,3035,10976
三重県,288680,897859,10243,2,226621,568,51248
滋賀県,262948,1045280,5442,2,225722,376,31408
京都府,513917,1291141,13282,27,459222,1145,40268
大阪府,2247925,10503917,40788,27,2032077,6698,168362
兵庫県,1086428,2465506,13365,11,986750,2965,83348
奈良県,249607,802774,29953,8,195268,572,23814
和歌山県,153439,319456,209,2,129448,282,23500
鳥取県,77051,820929,9255,0,44778,99,22919
島根県,100517,403929,3298,2,96278,112,829
岡山県,317205,951038,8253,5,300660,444,7848
広島県,507375,2920575,16300,5,409656,835,80584
山口県,189751,891635,3025,0,158495,413,27818
徳島県,104725,364303,1419,0,90741,196,12369
香川県,163462,447178,2779,1,138120,316,22247
愛媛県,186989,708640,3903,2,156705,315,26066
高知県,110040,494109,5044,1,94023,321,10652
福岡県,1150281,3918607,27227,4,1029285,2072,91697
佐賀県,172473,377021,12890,1,125171,253,34159
長崎県,231711,852960,21611,1,177499,346,32255
熊本県,360544,540288,7165,5,320699,680,32000
大分県,194246,986389,2213,1,172076,400,19557
宮崎県,211431,238860,3848,1,189320,398,17865
鹿児島県,316703,773598,1711,1,286186,558,28248
沖縄県,515869,1253659,2458,7,494076,812,18523
