"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",581465,58980,518159,2292,5,2034,2752029,"JP-01"
"Aomori","青森県",115236,14641,100429,166,0,0,338593,"JP-02"
"Iwate","岩手県",75582,10261,65184,137,0,0,382791,"JP-03"
"Miyagi","宮城県",190662,26423,159409,263,13,4567,788760,"JP-04"
"Akita","秋田県",65941,16086,49769,86,6,0,70406,"JP-05"
"Yamagata","山形県",64143,13506,50525,122,0,10,222935,"JP-06"
"Fukushima","福島県",124771,21671,102860,240,3,0,1022615,"JP-07"
"Ibaraki","茨城県",275078,20857,253691,530,4,0,1477266,"JP-08"
"Tochigi","栃木県",170963,22003,148573,387,6,0,874421,"JP-09"
"Gunma","群馬県",177643,40476,136767,400,8,0,807603,"JP-10"
"Saitama","埼玉県",963604,79245,882476,1883,38,0,3579163,"JP-11"
"Chiba","千葉県",769049,50080,694809,2093,12,22067,2600467,"JP-12"
"Tokyo","東京都",2699456,217010,2477429,5017,34,0,8624234,"JP-13"
"Kanagawa","神奈川県",1252883,40814,1209512,2557,58,0,4163808,"JP-14"
"Niigata","新潟県",160819,21163,139545,111,5,0,842941,"JP-15"
"Toyama","富山県",86040,17705,68216,119,7,0,315539,"JP-16"
"Ishikawa","石川県",113945,16644,97064,214,5,23,649493,"JP-17"
"Fukui","福井県",81227,11893,69272,62,3,0,410748,"JP-18"
"Yamanashi","山梨県",71425,9275,62124,99,0,73,457423,"JP-19"
"Nagano","長野県",146077,17134,124294,240,1,4409,913300,"JP-20"
"Gifu","岐阜県",213551,30852,178075,423,3,4201,1142089,"JP-21"
"Shizuoka","静岡県",362104,44156,312770,568,10,4610,1606318,"JP-22"
"Aichi","愛知県",1036370,129588,904381,2401,33,0,3532828,"JP-23"
"Mie","三重県",178790,29281,152539,397,2,3427,695640,"JP-24"
"Shiga","滋賀県",173869,22131,151471,267,3,0,832708,"JP-25"
"Kyoto","京都府",377890,61130,310767,824,79,5169,1078235,"JP-26"
"Osaka","大阪府",1730754,211907,1513088,5759,87,0,8819827,"JP-27"
"Hyogo","兵庫県",782883,78149,702236,2514,39,16,2137722,"JP-28"
"Nara","奈良県",171524,40800,130277,447,12,0,658948,"JP-29"
"Wakayama","和歌山県",97100,11849,84766,176,2,309,265276,"JP-30"
"Tottori","鳥取県",42979,7717,34832,40,1,390,594472,"JP-31"
"Shimane","島根県",59670,9017,50589,64,0,0,317298,"JP-32"
"Okayama","岡山県",192448,22412,158999,309,15,10728,744043,"JP-33"
"Hiroshima","広島県",291529,53756,237187,586,11,0,2342329,"JP-34"
"Yamaguchi","山口県",112257,18986,93006,265,5,0,729913,"JP-35"
"Tokushima","徳島県",55586,11040,44489,109,4,52,270507,"JP-36"
"Kagawa","香川県",101062,15858,84995,209,2,0,354364,"JP-37"
"Ehime","愛媛県",111561,24317,87031,213,5,0,526675,"JP-38"
"Kochi","高知県",66208,13844,52184,180,10,0,404831,"JP-39"
"Fukuoka","福岡県",864949,98876,737818,1555,15,26700,3545752,"JP-40"
"Saga","佐賀県",120659,14810,96439,176,2,9234,377021,"JP-41"
"Nagasaki","長崎県",150006,36014,113977,196,4,181,617227,"JP-42"
"Kumamoto","熊本県",251511,36708,214337,466,24,0,461219,"JP-43"
"Oita","大分県",130962,17142,113591,229,5,0,786209,"JP-44"
"Miyazaki","宮崎県",141039,24609,115721,227,5,482,223607,"JP-45"
"Kagoshima","鹿児島県",214327,32042,172423,331,11,9531,629100,"JP-46"
"Okinawa","沖縄県",439902,32845,406077,560,19,420,1102789,"JP-47"
