都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1158847,3908736,18655,13,717238,3681,419273
青森県,229445,415661,4825,5,151129,464,73027
岩手県,177559,581083,3406,0,103563,328,70262
宮城県,414129,1098464,22300,15,204624,603,186602
秋田県,163218,80243,8871,1,89825,393,64129
山形県,184291,334855,6905,1,90443,277,86666
福島県,305384,1156057,3568,2,180682,385,120749
茨城県,481331,1985898,20751,12,301424,864,158292
栃木県,317583,1087555,5753,10,215803,644,95383
群馬県,334853,1056825,8482,6,225131,681,100559
埼玉県,1474246,4501806,19546,21,1160893,2731,291076
千葉県,1171470,3279837,17993,16,904076,2817,246584
東京都,3727680,10533229,53179,23,3093983,6437,574081
神奈川県,1827212,5706962,57573,48,1450734,3320,315585
新潟県,356050,1135143,6763,6,223993,236,125058
富山県,185231,424084,3533,1,123822,215,57661
石川県,219488,763788,4125,5,155716,346,59301
福井県,153197,515161,2085,0,110918,132,40062
山梨県,139084,658915,1450,1,93672,218,43744
長野県,347228,1255836,17027,6,327224,560,2417
岐阜県,400033,1520207,786,4,284881,757,113609
静岡県,622265,2111249,8674,2,478956,848,133787
愛知県,1684133,4741140,56082,26,1602971,3244,21836
三重県,327372,958097,10322,5,226621,616,89813
滋賀県,293893,1116517,5638,6,225722,422,62111
京都府,557541,1351506,13379,85,459222,1212,83728
大阪府,2390067,10927877,71541,42,2032077,6881,279568
兵庫県,1174178,2465506,13749,18,986750,3064,170615
奈良県,275015,847281,30052,9,195268,623,49072
和歌山県,171648,319456,284,9,129448,318,41598
鳥取県,94030,902482,9322,0,44778,131,39799
島根県,118133,429825,5853,1,111074,140,1066
岡山県,360564,996914,11798,7,330078,505,18183
広島県,583614,3096847,16549,7,409656,919,156490
山口県,212496,981359,3152,3,158495,452,50397
徳島県,117359,383221,1509,3,90741,237,24872
香川県,182668,471612,2983,4,138120,362,41203
愛媛県,215740,761778,3967,4,156705,358,54710
高知県,123278,494109,5159,3,94023,349,23747
福岡県,1242428,3918607,28678,8,1029285,2146,182319
佐賀県,193443,377021,13017,0,125171,284,54971
長崎県,252346,912000,22021,2,177499,373,52453
熊本県,397892,540288,7711,10,320699,744,68738
大分県,217024,1009928,2300,3,172076,427,42221
宮崎県,230418,238860,3963,3,189320,425,36710
鹿児島県,334034,798048,3796,1,286186,569,43483
沖縄県,528964,1284736,4813,4,494076,826,29249
