都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1182245,3964610,18666,7,717238,3777,442564
青森県,236548,415661,4888,5,151129,484,80047
岩手県,185867,591994,3418,1,103563,352,78534
宮城県,429795,1110241,22359,14,204624,633,202179
秋田県,168534,80766,8870,2,89825,412,69427
山形県,189737,338870,6947,0,90443,287,92060
福島県,317664,1156057,3568,4,180682,406,133008
茨城県,497311,1985898,20952,13,301424,900,174035
栃木県,329614,1103161,5767,8,215803,673,107371
群馬県,347084,1070724,8485,3,225131,704,112764
埼玉県,1513225,4555583,19568,20,1160893,2791,329973
千葉県,1204999,3279837,18080,16,904076,2861,279982
東京都,3803076,10629462,54029,37,3093983,6521,648543
神奈川県,1872931,5767960,66958,47,1450734,3374,351865
新潟県,369271,1148862,6796,5,223993,256,138226
富山県,191286,427760,3525,6,123822,225,63714
石川県,225788,763788,4113,4,155716,352,65607
福井県,157989,515161,2108,1,110918,134,44829
山梨県,143958,672973,1482,0,93672,223,48581
長野県,357955,1265176,17422,9,338294,588,1651
岐阜県,414474,1536011,857,5,284881,783,127953
静岡県,640151,2136120,8833,7,478956,863,151499
愛知県,1728523,4807821,64451,28,1643464,3318,17290
三重県,337891,958097,10368,4,226621,633,100269
滋賀県,301747,1133840,5656,3,225722,438,69931
京都府,569480,1366786,13483,87,459222,1225,95550
大阪府,2431408,11041003,74626,46,2032077,6941,317764
兵庫県,1199562,2465506,13921,20,986750,3089,195802
奈良県,282156,855477,30102,14,195268,634,56152
和歌山県,176937,319456,289,8,129448,335,46865
鳥取県,98770,926062,9330,0,44778,138,44524
島根県,123789,440927,6376,2,115474,154,1785
岡山県,372444,1025328,15110,6,341859,526,14949
広島県,603227,3096847,16578,9,409656,952,176041
山口県,220471,981359,3198,4,158495,474,58304
徳島県,121493,387058,1531,3,90741,249,28972
香川県,188680,478068,3085,4,138120,375,47100
愛媛県,225924,780394,4019,4,156705,372,64828
高知県,127226,494109,5185,4,94023,358,27660
福岡県,1275572,3918607,29427,5,1029285,2181,214679
佐賀県,200773,377021,13059,3,125171,299,62244
長崎県,259772,925283,22278,3,177499,386,59609
熊本県,413280,540288,7870,12,320699,773,83938
大分県,224876,1009928,2332,3,172076,441,50027
宮崎県,237668,238860,4008,2,189320,441,43899
鹿児島県,341060,806481,5030,2,286186,569,49275
沖縄県,532084,1292236,4844,3,494076,830,32334
