都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1229707,3964610,18522,11,717238,4029,489918
青森県,250637,415661,4627,2,151129,529,94352
岩手県,201068,614683,3377,1,103563,405,93723
宮城県,463172,1147322,22239,15,204624,724,235585
秋田県,177969,81161,8777,2,89825,465,78902
山形県,199940,343532,6890,0,90443,309,102298
福島県,341554,1156057,3568,2,180682,453,156851
茨城県,537576,1985898,20997,23,301424,961,214194
栃木県,354485,1126673,5830,10,215803,741,132111
群馬県,374237,1111426,8426,13,225131,788,139892
埼玉県,1602989,4688796,19600,38,1160893,2942,419554
千葉県,1281420,3392797,18572,18,904076,2983,355789
東京都,3978178,10890854,53863,48,3093983,6734,823598
神奈川県,1977496,5974666,72756,36,1450734,3545,450461
新潟県,395702,1179189,6719,4,223993,285,164705
富山県,203756,427812,3420,6,123822,247,76267
石川県,239049,763788,4134,4,155716,383,78816
福井県,170368,534033,2123,1,110918,144,57183
山梨県,155213,689858,1494,0,93672,258,59789
長野県,382650,1301510,16731,1,364231,662,1026
岐阜県,449086,1589917,906,1,284881,854,162445
静岡県,693193,2193960,9095,7,478956,925,204217
愛知県,1837606,4924051,75688,27,1737860,3465,20593
三重県,370019,993801,10415,3,226621,689,132294
滋賀県,320833,1160581,5689,6,225722,481,88941
京都府,599103,1405398,13480,82,459222,1292,125109
大阪府,2538455,11313888,96689,67,2032077,7124,402565
兵庫県,1272483,2465506,14096,26,986750,3218,268419
奈良県,300145,878644,30134,11,195268,670,74073
和歌山県,192950,319456,259,5,129448,368,62875
鳥取県,110875,965020,9309,0,44778,157,56631
島根県,136346,466454,7290,2,128020,179,857
岡山県,404627,1045577,18510,11,356939,576,28602
広島県,657605,3144451,16622,13,409656,1007,230320
山口県,243926,1031617,3268,3,158495,520,81643
徳島県,132245,393835,1569,3,90741,278,39657
香川県,205441,491631,3111,8,138120,420,63790
愛媛県,251053,816870,4085,6,156705,422,89841
高知県,137082,494109,5166,7,94023,401,37492
福岡県,1369779,3918607,30466,13,1029285,2311,307717
佐賀県,218678,377021,13093,1,125171,331,80083
長崎県,279839,958393,23133,3,177499,419,78788
熊本県,451492,540288,8159,17,320699,865,121769
大分県,247578,1009928,2423,2,172076,488,72591
宮崎県,259771,238860,4086,5,189320,490,65875
鹿児島県,365101,836021,9052,6,286186,600,69263
沖縄県,542444,1311431,7449,4,494076,837,40082
