完了_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性確認_件数,陰性確認_件数,死亡確認_件数,備考
2020/7/8,180009,福井県,,0,0,0,
2020/7/9,180009,福井県,,0,0,0,
2020/7/10,180009,福井県,,0,0,0,
2020/7/11,180009,福井県,,0,0,0,
2020/7/12,180009,福井県,,1,0,0,
2020/7/13,180009,福井県,,1,0,0,
2020/7/14,180009,福井県,,0,0,0,
2020/7/15,180009,福井県,,1,0,0,
2020/7/16,180009,福井県,,0,0,0,
2020/7/17,180009,福井県,,1,0,0,
2020/7/18,180009,福井県,,0,0,0,
2020/7/19,180009,福井県,,0,0,0,
2020/7/20,180009,福井県,,0,0,0,
2020/7/21,180009,福井県,,0,1,0,
2020/7/22,180009,福井県,,0,0,0,
2020/7/23,180009,福井県,,1,0,0,
2020/7/24,180009,福井県,,0,0,0,
2020/7/25,180009,福井県,,0,2,0,
2020/7/26,180009,福井県,,2,0,0,
2020/7/27,180009,福井県,,0,0,0,
2020/7/28,180009,福井県,,0,0,0,
2020/7/29,180009,福井県,,6,0,0,
2020/7/30,180009,福井県,,2,0,0,
2020/7/31,180009,福井県,,2,0,0,
2020/8/1,180009,福井県,,0,0,0,
2020/8/2,180009,福井県,,1,1,0,
2020/8/3,180009,福井県,,2,0,0,
2020/8/4,180009,福井県,,3,0,0,
2020/8/5,180009,福井県,,4,3,0,
2020/8/6,180009,福井県,,3,2,0,
2020/8/7,180009,福井県,,1,2,0,
2020/8/8,180009,福井県,,0,3,0,
2020/8/9,180009,福井県,,1,0,0,
2020/8/10,180009,福井県,,0,0,0,
2020/8/11,180009,福井県,,0,0,0,
2020/8/12,180009,福井県,,0,4,0,
2020/8/13,180009,福井県,,0,2,0,
2020/8/14,180009,福井県,,0,2,0,
2020/8/15,180009,福井県,,0,2,0,
2020/8/16,180009,福井県,,1,2,0,
2020/8/17,180009,福井県,,0,1,0,
2020/8/18,180009,福井県,,0,0,0,
2020/8/19,180009,福井県,,0,0,0,
2020/8/20,180009,福井県,,1,0,0,
2020/8/21,180009,福井県,,1,0,0,
2020/8/22,180009,福井県,,4,1,0,
2020/8/23,180009,福井県,,2,0,0,
2020/8/24,180009,福井県,,1,3,0,
2020/8/25,180009,福井県,,7,0,0,
2020/8/26,180009,福井県,,6,0,0,
2020/8/27,180009,福井県,,13,2,0,
2020/8/28,180009,福井県,,16,0,0,
2020/8/29,180009,福井県,,5,1,0,
2020/8/30,180009,福井県,,11,1,0,
2020/8/31,180009,福井県,,6,3,0,
2020/9/1,180009,福井県,,4,2,0,
2020/9/2,180009,福井県,,4,2,0,
2020/9/3,180009,福井県,,2,4,0,
2020/9/4,180009,福井県,,3,3,0,
2020/9/5,180009,福井県,,2,0,0,
2020/9/6,180009,福井県,,0,5,0,
2020/9/7,180009,福井県,,0,3,0,
2020/9/8,180009,福井県,,1,10,0,
2020/9/9,180009,福井県,,0,3,0,
2020/9/10,180009,福井県,,0,0,0,
2020/9/11,180009,福井県,,0,0,0,
2020/9/12,180009,福井県,,0,6,0,
2020/9/13,180009,福井県,,0,4,0,
2020/9/14,180009,福井県,,0,3,0,
2020/9/15,180009,福井県,,0,13,0,
2020/9/16,180009,福井県,,0,3,1,
2020/9/17,180009,福井県,,0,2,0,
2020/9/18,180009,福井県,,0,0,0,
2020/9/19,180009,福井県,,0,3,0,
2020/9/20,180009,福井県,,0,2,0,
2020/9/21,180009,福井県,,0,1,1,
2020/9/22,180009,福井県,,0,2,0,
2020/9/23,180009,福井県,,0,1,0,
2020/9/24,180009,福井県,,0,4,0,
2020/9/25,180009,福井県,,0,0,0,
2020/9/26,180009,福井県,,0,1,0,
2020/9/27,180009,福井県,,0,0,1,
2020/9/28,180009,福井県,,0,0,0,
2020/9/29,180009,福井県,,0,0,0,
2020/9/30,180009,福井県,,0,0,0,
2020/10/1,180009,福井県,,0,1,0,
2020/10/2,180009,福井県,,0,0,0,
2020/10/3,180009,福井県,,0,1,0,
2020/10/4,180009,福井県,,0,0,0,
2020/10/5,180009,福井県,,0,0,0,
2020/10/6,180009,福井県,,2,0,0,
2020/10/7,180009,福井県,,1,2,0,
2020/10/8,180009,福井県,,1,0,0,
2020/10/9,180009,福井県,,1,0,0,
2020/10/10,180009,福井県,,0,0,0,
2020/10/11,180009,福井県,,0,1,0,
2020/10/12,180009,福井県,,0,0,0,
