日付,国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社（主に行政検査）,大学等,医療機関,小計,民間検査会社（主に自費検査）,計
2021/6/14,0,0,2408,45218,5270,26889,79785,,79785
2021/6/15,0,10,3754,42216,4798,21514,72292,,72292
2021/6/16,0,28,2876,59061,4387,20300,86652,,86652
2021/6/17,0,0,3286,60939,4303,18927,87455,,87455
2021/6/18,0,0,3276,56033,3875,19566,82750,,82750
2021/6/19,0,0,2706,55092,1358,10829,69985,,69985
2021/6/20,0,0,1978,12322,985,6857,22142,,22142
2021/6/21,0,0,2314,42259,5076,24577,74226,,74226
2021/6/22,0,0,2956,43778,4699,21046,72479,,72479
2021/6/23,0,1,3169,58919,4153,19799,86041,,86041
2021/6/24,0,0,3161,67480,3885,18815,93341,,93341
2021/6/25,0,0,3478,68911,3387,19554,95330,,95330
2021/6/26,0,0,2437,62229,1378,9817,75861,,75861
2021/6/27,0,0,1485,10771,971,6371,19598,,19598
2021/6/28,0,0,2223,44801,5439,25801,78264,,78264
2021/6/29,0,0,3215,43207,4540,21749,72711,,72711
2021/6/30,0,0,3089,56878,4003,19793,83763,,83763
2021/7/1,0,2,3022,60812,4082,19112,87030,,87030
2021/7/2,0,0,2535,51084,3981,19674,77274,,77274
2021/7/3,0,0,2017,43683,1533,10954,58187,,58187
2021/7/4,0,21,1211,8488,875,6686,17281,,17281
2021/7/5,0,0,2363,37448,5095,26545,71451,,71451
2021/7/6,0,0,3510,35209,4738,22041,65498,,65498
2021/7/7,0,0,2852,45616,4385,20121,72974,,72974
2021/7/8,0,0,3309,49231,3961,20551,77052,,77052
2021/7/9,0,0,3525,48273,4092,20818,76708,,76708
2021/7/10,0,0,2662,41496,1534,11453,57145,,57145
2021/7/11,0,0,1752,10760,1084,7072,20668,,20668
2021/7/12,0,0,2387,31771,5673,27038,66869,25358,92227
2021/7/13,0,0,3114,35848,4794,22503,66259,30454,96713
2021/7/14,0,0,3968,49210,4537,21752,79467,40790,120257
2021/7/15,0,0,3649,54182,4079,20969,82879,51814,134693
2021/7/16,7,0,3842,54802,3978,21402,84031,48333,132364
2021/7/17,10,17,3029,48005,1563,12615,65239,38234,103473
2021/7/18,0,0,2518,12812,1200,7202,23732,30601,54333
2021/7/19,2,0,3655,40691,4900,28268,77516,35979,113495
2021/7/20,0,0,4022,39967,4410,23979,72378,44811,117189
2021/7/21,0,0,5135,54843,4482,24495,88955,55999,144954
2021/7/22,0,0,4507,30611,1283,10702,47103,45280,92383
2021/7/23,0,0,3618,21386,1480,10080,36564,44962,81526
2021/7/24,0,0,4217,61896,1996,17256,85365,44264,129629
2021/7/25,0,18,3145,15229,1321,10673,30386,38820,69206
2021/7/26,4,20,4417,34036,6500,36674,81651,39399,121050
2021/7/27,0,3,6024,51255,5734,29579,92595,47623,140218
2021/7/28,0,0,6178,61027,5274,27199,99678,64759,164437
2021/7/29,0,0,7078,63796,4990,27486,103350,70883,174233
2021/7/30,0,0,7739,62893,5011,29097,104740,68157,172897
2021/7/31,0,0,7308,61830,1888,18068,89094,59488,148582
2021/8/1,0,0,4487,19339,1201,10295,35322,46872,82194
2021/8/2,0,0,5985,53210,6558,38791,104544,51917,156461
2021/8/3,0,0,9051,59971,5814,32961,107797,65523,173320
2021/8/4,0,0,9812,68279,4805,32905,115801,77758,193559
2021/8/5,0,0,8934,68099,4892,31451,113376,82086,195462
2021/8/6,0,0,10158,73871,4601,32531,121161,80002,201163
2021/8/7,0,0,8912,69594,2271,21514,102291,69785,172076
2021/8/8,0,0,6619,26917,789,12111,46436,54210,100646
2021/8/9,0,0,7806,23589,1813,15601,48809,45109,93918
2021/8/10,0,0,6924,61371,6990,43965,119250,49534,168784
2021/8/11,0,0,9899,77643,6321,36932,130795,72233,203028
2021/8/12,0,19,10692,82024,5691,35158,133584,71302,204886
2021/8/13,0,0,10206,77675,4965,33592,126438,66026,192464
2021/8/14,0,0,9197,66063,2224,20899,98383,55045,153428
2021/8/15,0,23,7385,23176,1454,13363,45401,34838,80239
2021/8/16,0,0,9049,60920,7259,46548,123776,36303,160079
2021/8/17,0,0,11422,79725,6882,42522,140551,59732,200283
2021/8/18,0,0,11638,94632,6519,41833,154622,70183,224805
2021/8/19,1,0,11189,97804,5637,41726,156357,83323,239680
2021/8/20,0,0,12476,103697,6181,44664,167018,85805,252823
2021/8/21,0,0,11531,94333,2644,25506,134014,70379,204393
2021/8/22,0,0,10425,33798,1526,13932,59681,48582,108263
2021/8/23,0,0,10749,78851,7397,54257,151254,56124,207378
2021/8/24,0,1,13200,95788,6848,45021,160858,70842,231700
2021/8/25,0,0,12741,101094,6207,42725,162767,88068,250835
2021/8/26,0,22,11795,109734,6053,41253,168857,100965,269822
2021/8/27,0,0,12380,101087,6070,42855,162392,110172,272564
2021/8/28,0,0,10027,100273,2315,24506,137121,90339,227460
2021/8/29,0,0,7796,30494,1393,12823,52506,64280,116786
2021/8/30,0,22,9944,73006,7147,51358,141477,61029,202506
2021/8/31,0,0,11540,90216,6382,40745,148883,83606,232489
2021/9/1,0,0,11562,94414,5833,38428,150237,89313,239550
2021/9/2,0,0,9506,86655,5966,35732,137859,84579,222438
2021/9/3,0,0,10642,83341,5300,37209,136492,88278,224770
2021/9/4,0,0,8852,74015,2580,19942,105389,80735,186124
2021/9/5,0,0,7041,27538,1380,10983,46942,54032,100974
2021/9/6,0,0,6820,57011,7472,43416,114719,50316,165035
2021/9/7,0,0,9553,74378,6146,34458,124535,80744,205279
2021/9/8,0,0,8306,76380,10336,32968,127990,76504,204494
2021/9/9,0,20,7684,77616,5406,30207,120933,86899,207832
2021/9/10,0,0,7299,76107,5479,30989,119874,88346,208220
2021/9/11,0,0,6253,64490,1950,16831,89524,76761,166285
2021/9/12,0,19,4143,26523,1039,9712,41436,49016,90452
2021/9/13,0,0,4810,43800,6727,39102,94439,45859,140298
2021/9/14,0,0,5413,56979,5619,30972,98983,75519,174502
2021/9/15,0,0,5192,63282,4919,28799,102192,85680,187872
2021/9/16,0,0,4799,60599,4473,25667,95538,90013,185551
2021/9/17,0,0,4215,60000,4205,27192,95612,85312,180924
2021/9/18,0,0,2921,53452,1681,15123,73177,65066,138243
2021/9/19,0,0,2627,18189,873,8072,29761,38664,68425
2021/9/20,0,0,3612,14032,1613,10987,30244,27278,57522
2021/9/21,0,0,3570,40613,6080,34203,84466,52366,136832
2021/9/22,0,0,4275,62335,4204,26616,97430,71982,169412
2021/9/23,0,0,2845,42196,1384,9914,56339,66039,122378
2021/9/24,0,20,2319,33399,5076,29151,69965,74218,144183
2021/9/25,0,0,2754,77812,1704,13868,96138,73192,169330
2021/9/26,0,0,1754,15509,968,8063,26294,45231,71525
2021/9/27,0,0,2159,34373,6596,31362,74490,36016,110506
2021/9/28,0,0,3445,43108,4972,25257,76782,69193,145975
2021/9/29,0,0,2174,53668,4647,23461,83950,76563,160513
2021/9/30,0,0,1934,63248,4206,22688,92076,76698,168774
2021/10/1,0,0,2222,56724,4378,22561,85885,72964,158849
2021/10/2,0,21,1781,33383,1915,12755,49855,45839,95694
2021/10/3,0,0,1588,9727,1422,8028,20765,30966,51731
2021/10/4,0,0,1907,34343,5521,29849,71620,23453,95073
2021/10/5,0,0,1702,33571,4688,23999,63960,44707,108667
2021/10/6,0,0,1433,36742,4272,22148,64595,56299,120894
2021/10/7,0,0,1352,39939,3755,21873,66919,64960,131879
2021/10/8,0,0,1533,38340,3682,22498,66053,67384,133437
2021/10/9,0,0,1111,38724,1157,11193,52185,54218,106403
2021/10/10,0,0,755,8660,1077,7705,18197,40086,58283
2021/10/11,0,0,1307,23234,5116,28273,57930,29932,87862
2021/10/12,0,0,1402,30231,4750,22828,59211,51637,110848
2021/10/13,0,0,1461,34817,4133,20650,61061,63845,124906
2021/10/14,0,0,1152,37642,3890,19995,62679,75424,138103
2021/10/15,0,0,1092,38645,4356,20709,64802,74501,139303
2021/10/16,0,0,931,33724,1240,15329,51224,62170,113394
2021/10/17,0,0,855,7947,985,6973,16760,41893,58653
2021/10/18,0,0,829,22988,5315,26222,55354,29058,84412
2021/10/19,0,0,873,26610,4464,22021,53968,51320,105288
2021/10/20,0,0,990,33430,3939,20245,58604,66303,124907
2021/10/21,0,0,668,36133,3845,18931,59577,76467,136044
2021/10/22,0,0,982,37006,3725,20314,62027,71813,133840
2021/10/23,0,0,445,34914,1466,10703,47528,61877,109405
2021/10/24,0,0,570,12272,960,7868,21670,41583,63253
2021/10/25,0,0,835,21974,5478,27283,55570,31435,87005
2021/10/26,0,0,1032,26025,4392,21841,53290,54646,107936
2021/10/27,0,0,861,30078,3916,20097,54952,68779,123731
2021/10/28,0,0,792,38831,3798,19841,63262,76265,139527
2021/10/29,0,0,949,35067,3569,19858,59443,76218,135661
2021/10/30,0,0,449,28088,1351,10642,40530,60984,101514
2021/10/31,0,0,586,6996,974,6712,15268,40683,55951
2021/11/1,0,0,555,23440,4501,26247,54743,26915,81658
2021/11/2,0,0,817,22554,3838,20770,47979,41350,89329
2021/11/3,0,0,450,14228,1239,7692,23609,46075,69684
2021/11/4,0,0,954,14288,4396,23073,42711,52234,94945
2021/11/5,0,0,1022,23397,4143,20911,49473,55066,104539
2021/11/6,0,0,645,25532,1491,11166,38834,49283,88117
2021/11/7,0,0,508,5887,988,6923,14306,36410,50716
2021/11/8,0,0,476,22166,5375,27146,55163,24984,80147
2021/11/9,0,0,548,20888,4512,22812,48760,46058,94818
2021/11/10,0,0,536,21389,4317,19448,45690,57343,103033
2021/11/11,0,0,872,26425,4078,18794,50169,65242,115411
2021/11/12,0,0,917,26131,3887,18773,49708,65232,114940
2021/11/13,0,0,351,21149,1355,9774,32629,54077,86706
2021/11/14,0,0,223,5038,995,6329,12585,39322,51907
2021/11/15,0,0,177,20621,5706,26678,53182,24012,77194
2021/11/16,0,0,407,19289,4444,21164,45304,44642,89946
2021/11/17,0,0,480,22445,3984,19269,46178,58265,104443
2021/11/18,0,0,375,26647,3801,18294,49117,64447,113564
2021/11/19,0,21,520,25027,3241,18541,47350,62217,109567
2021/11/20,0,0,193,23884,1356,9939,35372,57329,92701
2021/11/21,0,0,322,6405,959,5977,13663,38846,52509
2021/11/22,0,0,439,19164,5159,24256,49018,24592,73610
2021/11/23,0,0,235,13710,1406,7558,22909,45398,68307
2021/11/24,0,14,378,16368,4647,22950,44357,52901,97258
2021/11/25,0,0,279,25875,4165,19272,49591,71597,121188
2021/11/26,0,0,294,31346,4039,19322,55001,68815,123816
2021/11/27,0,0,211,21532,1527,9871,33141,61713,94854
2021/11/28,0,21,345,12291,895,6496,20048,41705,61753
2021/11/29,0,19,177,18317,5543,25358,49414,25054,74468
2021/11/30,0,0,429,18532,4494,21188,44643,41042,85685
2021/12/1,0,0,370,20193,4564,20453,45580,53323,98903
2021/12/2,0,0,405,23781,3975,18515,46676,55064,101740
2021/12/3,0,0,510,19227,4029,20061,43827,53757,97584
2021/12/4,0,0,420,19504,1603,10380,31907,47237,79144
2021/12/5,0,0,470,5340,960,6405,13175,34798,47973
2021/12/6,0,1,344,18493,5640,26436,50914,23487,74401
2021/12/7,0,0,354,17826,4541,21759,44480,43209,87689
2021/12/8,0,0,596,17790,4144,19736,42266,53214,95480
2021/12/9,0,0,633,22752,4112,18875,46372,62446,108818
2021/12/10,0,0,955,22791,4193,20192,48131,59478,107609
2021/12/11,0,6,541,21655,1339,10504,34045,51815,85860
2021/12/12,0,0,686,5903,1083,7032,14704,36319,51023
2021/12/13,0,0,508,18125,5733,26249,50615,22807,73422
2021/12/14,0,0,630,18575,4407,21794,45406,40383,85789
2021/12/15,0,0,740,19507,4218,20305,44770,55405,100175
2021/12/16,0,0,582,23731,3959,19491,47763,56937,104700
2021/12/17,0,1,595,21622,4156,20484,46858,57180,104038
2021/12/18,0,0,856,21976,1593,11917,36342,51019,87361
2021/12/19,0,0,643,6643,1119,6877,15282,36454,51736
2021/12/20,0,0,1300,17093,5249,26647,50289,24996,75285
2021/12/21,0,0,1348,18157,4216,22737,46458,47804,94262
2021/12/22,0,3,1544,22321,3775,20578,48221,59653,107874
2021/12/23,0,0,1441,23039,3461,19480,47421,64468,111889
2021/12/24,0,0,1843,20936,2865,19906,45550,66888,112438
2021/12/25,0,0,1478,24376,1162,11682,38698,63164,101862
2021/12/26,0,0,851,10014,945,7851,19661,50128,69789
2021/12/27,0,0,1710,21086,3475,25447,51718,36112,87830
2021/12/28,0,0,2452,22165,3031,20403,48051,58991,107042
2021/12/29,0,0,1908,22397,1088,15261,40654,66196,106850
2021/12/30,0,0,1727,14527,1048,11630,28932,56596,85528
2021/12/31,0,0,1864,10389,928,9576,22757,51630,74387
2022/1/1,0,0,1273,6861,694,8714,17542,32059,49601
2022/1/2,0,0,1750,7175,1345,10748,21018,17667,38685
2022/1/3,0,0,1784,9216,2439,12996,26435,12453,38888
2022/1/4,0,0,2850,21506,7065,37226,68647,24252,92899
2022/1/5,0,0,2692,38035,6309,34571,81607,49500,131107
2022/1/6,0,0,3546,38413,5428,34626,82013,61486,143499
2022/1/7,0,0,4952,43889,5115,37222,91178,69034,160212
2022/1/8,0,0,5258,47248,2456,23016,77978,60309,138287
2022/1/9,0,0,5419,24544,1226,13947,45136,48488,93624
2022/1/10,0,0,5989,21570,2684,16052,46295,37858,84153
2022/1/11,0,0,7068,51237,8470,58583,125358,51298,176656
2022/1/12,0,0,9037,75476,7281,48579,140373,68370,208743
2022/1/13,0,0,10893,80285,7857,49776,148811,85711,234522
2022/1/14,0,22,11677,87485,7691,56503,163378,89599,252977
2022/1/15,0,0,12589,87883,3771,34844,139087,71209,210296
2022/1/16,0,0,11805,40387,2410,19437,74039,59505,133544
2022/1/17,0,2,13179,79633,9997,78029,180840,47267,228107
2022/1/18,0,0,16344,114188,9129,68026,207687,63154,270841
2022/1/19,0,0,16300,125503,8792,67309,217904,88356,306260
2022/1/20,0,0,16969,140472,8245,67650,233336,98071,331407
2022/1/21,0,0,16128,141010,8173,71014,236325,100680,337005
2022/1/22,0,0,14714,136609,3615,44209,199147,91820,290967
2022/1/23,0,0,13093,56354,2670,23912,96029,70381,166410
2022/1/24,0,0,15133,121665,11030,94633,242461,57032,299493
2022/1/25,0,23,14299,154303,9641,76619,254885,72581,327466
2022/1/26,0,0,15039,160108,9644,72531,257322,101636,358958
2022/1/27,0,0,14638,156443,8533,71457,251071,111512,362583
2022/1/28,0,0,14704,161287,7592,75337,258920,110694,369614
2022/1/29,0,0,13435,141262,3806,44517,203020,93742,296762
2022/1/30,0,0,11508,57413,2210,25130,96261,74124,170385
2022/1/31,0,40,12381,118276,10794,90576,232067,55484,287551
2022/2/1,0,0,12319,149970,9509,72679,244477,78558,323035
2022/2/2,0,0,11962,143395,8502,71395,235254,108142,343396
2022/2/3,0,32,11316,146794,8355,67532,234029,108723,342752
2022/2/4,0,0,12269,150174,7610,71159,241212,114922,356134
2022/2/5,0,0,10156,135288,3517,41839,190800,100993,291793
2022/2/6,0,0,9320,51130,2213,20738,83401,82800,166201
2022/2/7,0,0,9477,120489,10363,86472,226801,58677,285478
2022/2/8,0,0,11501,140944,8809,68794,230048,90515,320563
2022/2/9,0,0,11007,143702,8063,64381,227153,117539,344692
2022/2/10,0,0,11805,145728,6780,60648,224961,131676,356637
2022/2/11,0,0,11439,94448,2124,20680,128691,121143,249834
2022/2/12,0,0,9420,108165,3284,45965,166834,89023,255857
2022/2/13,0,0,9652,45772,2215,20289,77928,65541,143469
2022/2/14,0,0,8967,91023,10892,82995,193877,53993,247870
2022/2/15,0,0,11146,127814,8896,65464,213320,88990,302310
2022/2/16,0,0,10344,123992,7552,61516,203404,115927,319331
2022/2/17,0,0,10667,132485,7206,55652,206010,123180,329190
2022/2/18,0,0,11235,124975,5948,59818,201976,119503,321479
2022/2/19,0,0,9523,131480,2776,35664,179443,103410,282853
2022/2/20,0,0,9277,40726,2015,20844,72862,83400,156262
2022/2/21,0,0,9306,88990,9238,74932,182466,54085,236551
2022/2/22,0,0,10893,111445,6472,60631,189441,91109,280550
2022/2/23,0,0,9764,76919,2129,19971,108783,121376,230159
2022/2/24,0,0,9977,99763,7872,62402,180014,112250,292264
2022/2/25,0,0,9778,120313,5875,57743,193709,108893,302602
2022/2/26,0,0,8841,106103,2725,33904,151573,104112,255685
2022/2/27,0,0,7614,49219,1697,16732,75262,86132,161394
2022/2/28,0,20,8121,84264,9032,72055,173492,53005,226497
2022/3/1,0,0,10051,100621,7073,55910,173655,85684,259339
2022/3/2,0,0,9234,100720,7242,51571,168767,112505,281272
2022/3/3,0,17,8663,99702,6696,49218,164296,117468,281764
2022/3/4,0,20,8653,90872,5979,51661,157185,116713,273898
2022/3/5,0,0,7598,101803,2704,30754,142859,96716,239575
2022/3/6,0,0,7350,35773,1540,15236,59899,76772,136671
2022/3/7,0,20,7989,69202,8901,66095,152207,49729,201936
2022/3/8,0,0,8622,97881,7165,51631,165299,86598,251897
2022/3/9,0,0,9257,104131,6625,47099,167112,112306,279418
2022/3/10,0,0,7996,102180,5878,45458,161512,117183,278695
2022/3/11,0,22,7885,96788,5730,48941,159366,112935,272301
2022/3/12,0,22,7262,104087,2442,27787,141600,98979,240579
2022/3/13,0,0,6755,34498,1533,16228,59014,73425,132439
2022/3/14,0,10,6987,67340,8138,62342,144817,52870,197687
2022/3/15,0,0,7617,92801,6681,50071,157170,83099,240269
2022/3/16,0,3,7530,97341,5847,44554,155275,109152,264427
2022/3/17,0,45,7500,90746,5703,41216,145210,116154,261364
2022/3/18,0,23,6565,75714,4905,40801,128008,116853,244861
2022/3/19,0,0,5627,66267,2314,23897,98105,94601,192706
2022/3/20,0,0,4889,29639,1107,13120,48755,,48755
2022/3/21,0,0,4763,12469,1866,16153,35251,,35251
2022/3/22,0,0,3518,40555,7358,52365,103796,,103796
2022/3/23,0,0,4883,62279,4507,30557,102226,,102226
