"lastUpdate","description","srcurl_web","srcurl_pdf","srcurl_pdf_archived","url_csv","url_json"
"2021-06-26","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19531.html","https://www.mhlw.go.jp/content/10906000/000798124.pdf","https://www.stopcovid19.jp/data/covid19japan/000798124.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-06-26.csv","https://www.stopcovid19.jp/data/covid19japan/000798124.pdf.json"
"2021-06-27","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19539.html","https://www.mhlw.go.jp/content/10906000/000798260.pdf","https://www.stopcovid19.jp/data/covid19japan/000798260.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-06-27.csv","https://www.stopcovid19.jp/data/covid19japan/000798260.pdf.json"
"2021-06-28","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19565.html","https://www.mhlw.go.jp/content/10906000/000798970.pdf","https://www.stopcovid19.jp/data/covid19japan/000798970.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-06-28.csv","https://www.stopcovid19.jp/data/covid19japan/000798970.pdf.json"
"2021-06-29","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19580.html","https://www.mhlw.go.jp/content/10906000/000799438.pdf","https://www.stopcovid19.jp/data/covid19japan/000799438.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-06-29.csv","https://www.stopcovid19.jp/data/covid19japan/000799438.pdf.json"
"2021-06-30","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19599.html","https://www.mhlw.go.jp/content/10906000/000800083.pdf","https://www.stopcovid19.jp/data/covid19japan/000800083.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-06-30.csv","https://www.stopcovid19.jp/data/covid19japan/000800083.pdf.json"
"2021-07-01","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19631.html","https://www.mhlw.go.jp/content/10906000/000800623.pdf","https://www.stopcovid19.jp/data/covid19japan/000800623.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-01.csv","https://www.stopcovid19.jp/data/covid19japan/000800623.pdf.json"
"2021-07-02","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19651.html","https://www.mhlw.go.jp/content/10906000/000801152.pdf","https://www.stopcovid19.jp/data/covid19japan/000801152.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-02.csv","https://www.stopcovid19.jp/data/covid19japan/000801152.pdf.json"
"2021-07-03","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19653.html","https://www.mhlw.go.jp/content/10906000/000801170.pdf","https://www.stopcovid19.jp/data/covid19japan/000801170.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-03.csv","https://www.stopcovid19.jp/data/covid19japan/000801170.pdf.json"
"2021-07-04","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19660.html","https://www.mhlw.go.jp/content/10906000/000801257.pdf","https://www.stopcovid19.jp/data/covid19japan/000801257.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-04.csv","https://www.stopcovid19.jp/data/covid19japan/000801257.pdf.json"
"2021-07-05","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19686.html","https://www.mhlw.go.jp/content/10906000/000801841.pdf","https://www.stopcovid19.jp/data/covid19japan/000801841.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-05.csv","https://www.stopcovid19.jp/data/covid19japan/000801841.pdf.json"
"2021-07-06","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19710.html","https://www.mhlw.go.jp/content/10906000/000802198.pdf","https://www.stopcovid19.jp/data/covid19japan/000802198.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-06.csv","https://www.stopcovid19.jp/data/covid19japan/000802198.pdf.json"
"2021-07-07","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19728.html","https://www.mhlw.go.jp/content/10906000/000803390.pdf","https://www.stopcovid19.jp/data/covid19japan/000803390.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-07.csv","https://www.stopcovid19.jp/data/covid19japan/000803390.pdf.json"
"2021-07-08","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19762.html","https://www.mhlw.go.jp/content/10906000/000803948.pdf","https://www.stopcovid19.jp/data/covid19japan/000803948.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-08.csv","https://www.stopcovid19.jp/data/covid19japan/000803948.pdf.json"
"2021-07-09","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19771.html","https://www.mhlw.go.jp/content/10906000/000804501.pdf","https://www.stopcovid19.jp/data/covid19japan/000804501.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-09.csv","https://www.stopcovid19.jp/data/covid19japan/000804501.pdf.json"
"2021-07-10","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19773.html","https://www.mhlw.go.jp/content/10906000/000804514.pdf","https://www.stopcovid19.jp/data/covid19japan/000804514.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-10.csv","https://www.stopcovid19.jp/data/covid19japan/000804514.pdf.json"
"2021-07-11","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_19778.html","https://www.mhlw.go.jp/content/10906000/000804597.pdf","https://www.stopcovid19.jp/data/covid19japan/000804597.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-07-11.csv","https://www.stopcovid19.jp/data/covid19japan/000804597.pdf.json"
